dataset,ordering,metric,parameter,value
aaup,TSNE,neumann_stress,no_param,69401.3533977
aaup,TSNE,path_length_euclidian,no_param,233011.441345
aaup,TSNE,path_length_manhattan,no_param,615014.0
aaup,TSNE,fom,no_param,0.323275862069
aaup,random,neumann_stress,no_param,98923.2857838
aaup,random,path_length_euclidian,no_param,684278.609171
aaup,random,path_length_manhattan,no_param,1846834.0
aaup,random,fom,no_param,0.584482758621
aaup,original,neumann_stress,no_param,94687.9729764
aaup,original,path_length_euclidian,no_param,604410.130036
aaup,original,path_length_manhattan,no_param,1590736.0
aaup,original,fom,no_param,0.489655172414
aaup,TSPmeans,neumann_stress,no_param,55921.2207618
aaup,TSPmeans,path_length_euclidian,no_param,90500.5947791
aaup,TSPmeans,path_length_manhattan,no_param,252522.0
aaup,TSPmeans,fom,no_param,0.24224137931
aaup,EM,neumann_stress,no_param,56938.4816879
aaup,EM,path_length_euclidian,no_param,99097.2269478
aaup,EM,path_length_manhattan,no_param,265514.0
aaup,EM,fom,no_param,0.253448275862
aaup,EMmanhattan,neumann_stress,no_param,56648.1663549
aaup,EMmanhattan,path_length_euclidian,no_param,96170.8559057
aaup,EMmanhattan,path_length_manhattan,no_param,253876.0
aaup,EMmanhattan,fom,no_param,0.254310344828
aaup,HColo,neumann_stress,no_param,56468.4274956
aaup,HColo,path_length_euclidian,no_param,93329.9597981
aaup,HColo,path_length_manhattan,no_param,258588.0
aaup,HColo,fom,no_param,0.238793103448
aaup,LK,neumann_stress,no_param,55545.6119121
aaup,LK,path_length_euclidian,no_param,85070.9047959
aaup,LK,path_length_manhattan,no_param,238384.0
aaup,LK,fom,no_param,0.239655172414
aaup,MDS,neumann_stress,no_param,78516.3467221
aaup,MDS,path_length_euclidian,no_param,297182.809926
aaup,MDS,path_length_manhattan,no_param,862586.0
aaup,MDS,fom,no_param,0.404310344828
