dataset,ordering,metric,parameter,value
abalone,TSNE,neumann_stress,no_param,106.825692575
abalone,TSNE,path_length_euclidian,no_param,171.044382163
abalone,TSNE,path_length_manhattan,no_param,360.36
abalone,TSNE,fom,no_param,0.83300589391
abalone,random,neumann_stress,no_param,156.457924873
abalone,random,path_length_euclidian,no_param,981.701490549
abalone,random,path_length_manhattan,no_param,1947.067
abalone,random,fom,no_param,0.88867059594
abalone,original,neumann_stress,no_param,131.735880523
abalone,original,path_length_euclidian,no_param,505.869369018
abalone,original,path_length_manhattan,no_param,980.651
abalone,original,fom,no_param,0.817943680419
abalone,TSPmeans,neumann_stress,no_param,99.850446196
abalone,TSPmeans,path_length_euclidian,no_param,82.4041783208
abalone,TSPmeans,path_length_manhattan,no_param,176.524
abalone,TSPmeans,fom,no_param,0.829076620825
abalone,EM,neumann_stress,no_param,100.556997335
abalone,EM,path_length_euclidian,no_param,93.4190991591
abalone,EM,path_length_manhattan,no_param,191.041
abalone,EM,fom,no_param,0.827111984283
abalone,EMmanhattan,neumann_stress,no_param,100.162024789
abalone,EMmanhattan,path_length_euclidian,no_param,91.1761522021
abalone,EMmanhattan,path_length_manhattan,no_param,181.349
abalone,EMmanhattan,fom,no_param,0.811394891945
abalone,HColo,neumann_stress,no_param,99.6587612997
abalone,HColo,path_length_euclidian,no_param,83.9684388555
abalone,HColo,path_length_manhattan,no_param,179.186
abalone,HColo,fom,no_param,0.804191224623
abalone,LK,neumann_stress,no_param,99.1862620848
abalone,LK,path_length_euclidian,no_param,75.8199285753
abalone,LK,path_length_manhattan,no_param,161.843
abalone,LK,fom,no_param,0.823182711198
abalone,MDS,neumann_stress,no_param,125.258225939
abalone,MDS,path_length_euclidian,no_param,258.948963685
abalone,MDS,path_length_manhattan,no_param,530.991
abalone,MDS,fom,no_param,0.88343156516
