dataset,ordering,metric,parameter,value
alon,TSNE,neumann_stress,no_param,843999.00113
alon,TSNE,path_length_euclidian,no_param,1557699.14787
alon,TSNE,path_length_manhattan,no_param,32835204.9592
alon,TSNE,fom,no_param,0.475409836066
alon,random,neumann_stress,no_param,872541.109199
alon,random,path_length_euclidian,no_param,1647348.1819
alon,random,path_length_manhattan,no_param,35674928.8393
alon,random,fom,no_param,0.459016393443
alon,original,neumann_stress,no_param,808132.432172
alon,original,path_length_euclidian,no_param,1425466.22253
alon,original,path_length_manhattan,no_param,28630263.0122
alon,original,fom,no_param,0.606557377049
alon,TSPmeans,neumann_stress,no_param,742812.048776
alon,TSPmeans,path_length_euclidian,no_param,1167638.91408
alon,TSPmeans,path_length_manhattan,no_param,24253312.8206
alon,TSPmeans,fom,no_param,0.262295081967
alon,EM,neumann_stress,no_param,744062.384389
alon,EM,path_length_euclidian,no_param,1160909.98618
alon,EM,path_length_manhattan,no_param,22588042.3983
alon,EM,fom,no_param,0.344262295082
alon,EMmanhattan,neumann_stress,no_param,762136.68082
alon,EMmanhattan,path_length_euclidian,no_param,1214872.7454
alon,EMmanhattan,path_length_manhattan,no_param,23646478.6166
alon,EMmanhattan,fom,no_param,0.377049180328
alon,HColo,neumann_stress,no_param,705797.876758
alon,HColo,path_length_euclidian,no_param,1058099.22335
alon,HColo,path_length_manhattan,no_param,22365530.2462
alon,HColo,fom,no_param,0.229508196721
alon,LK,neumann_stress,no_param,822719.371168
alon,LK,path_length_euclidian,no_param,1437041.0985
alon,LK,path_length_manhattan,no_param,29363548.3591
alon,LK,fom,no_param,0.409836065574
alon,MDS,neumann_stress,no_param,799253.416521
alon,MDS,path_length_euclidian,no_param,1369329.07419
alon,MDS,path_length_manhattan,no_param,29515816.3802
alon,MDS,fom,no_param,0.426229508197
