dataset,ordering,metric,parameter,value
auto,TSNE,neumann_stress,no_param,992207.7583
auto,TSNE,path_length_euclidian,no_param,1564053.50706
auto,TSNE,path_length_manhattan,no_param,1777798.48
auto,TSNE,fom,no_param,0.919191919192
auto,random,neumann_stress,no_param,1000166.34762
auto,random,path_length_euclidian,no_param,1677206.41223
auto,random,path_length_manhattan,no_param,1903950.92
auto,random,fom,no_param,0.893939393939
auto,TSPmeans,neumann_stress,no_param,748985.440497
auto,TSPmeans,path_length_euclidian,no_param,141846.637124
auto,TSPmeans,path_length_manhattan,no_param,199508.2
auto,TSPmeans,fom,no_param,0.752525252525
auto,EM,neumann_stress,no_param,761143.902242
auto,EM,path_length_euclidian,no_param,450816.263551
auto,EM,path_length_manhattan,no_param,510984.0
auto,EM,fom,no_param,0.414141414141
auto,EMmanhattan,neumann_stress,no_param,773402.728988
auto,EMmanhattan,path_length_euclidian,no_param,443314.847086
auto,EMmanhattan,path_length_manhattan,no_param,496678.7
auto,EMmanhattan,fom,no_param,0.323232323232
auto,HColo,neumann_stress,no_param,686119.513932
auto,HColo,path_length_euclidian,no_param,138586.570837
auto,HColo,path_length_manhattan,no_param,192282.56
auto,HColo,fom,no_param,0.712121212121
auto,LK,neumann_stress,no_param,740393.164533
auto,LK,path_length_euclidian,no_param,131022.036997
auto,LK,path_length_manhattan,no_param,183300.48
auto,LK,fom,no_param,0.69696969697
auto,MDS,neumann_stress,no_param,707921.739
auto,MDS,path_length_euclidian,no_param,181102.608303
auto,MDS,path_length_manhattan,no_param,254013.26
auto,MDS,fom,no_param,0.883838383838
