dataset,ordering,metric,parameter,value
bike,TSNE,neumann_stress,no_param,129478.681373
bike,TSNE,path_length_euclidian,no_param,3416218.9085
bike,TSNE,path_length_manhattan,no_param,5450701.1954
bike,random,neumann_stress,no_param,142218.683042
bike,random,path_length_euclidian,no_param,4502624.15384
bike,random,path_length_manhattan,no_param,7159232.813
bike,original,neumann_stress,no_param,89304.9610127
bike,original,path_length_euclidian,no_param,1566463.99142
bike,original,path_length_manhattan,no_param,2362193.8958
bike,TSPmeans,neumann_stress,no_param,54034.1325903
bike,TSPmeans,path_length_euclidian,no_param,85886.2828638
bike,TSPmeans,path_length_manhattan,no_param,190566.7518
bike,EM,neumann_stress,no_param,68588.7650138
bike,EM,path_length_euclidian,no_param,795540.639015
bike,EM,path_length_manhattan,no_param,1241977.5636
bike,EMmanhattan,neumann_stress,no_param,67290.080815
bike,EMmanhattan,path_length_euclidian,no_param,705462.058066
bike,EMmanhattan,path_length_manhattan,no_param,1107352.0444
