dataset,ordering,metric,parameter,value
cars,TSNE,neumann_stress,no_param,178148.285959
cars,TSNE,path_length_euclidian,no_param,41509.7061266
cars,TSNE,path_length_manhattan,no_param,53941.0
cars,random,neumann_stress,no_param,214905.599371
cars,random,path_length_euclidian,no_param,374631.188028
cars,random,path_length_manhattan,no_param,423578.8
cars,original,neumann_stress,no_param,193858.957212
cars,original,path_length_euclidian,no_param,170422.956994
cars,original,path_length_manhattan,no_param,191426.8
cars,TSPmeans,neumann_stress,no_param,171962.693379
cars,TSPmeans,path_length_euclidian,no_param,13854.01416
cars,TSPmeans,path_length_manhattan,no_param,19961.0
cars,EM,neumann_stress,no_param,178039.89483
cars,EM,path_length_euclidian,no_param,72282.4478174
cars,EM,path_length_manhattan,no_param,78609.8
cars,EMmanhattan,neumann_stress,no_param,177113.381771
cars,EMmanhattan,path_length_euclidian,no_param,64814.3220691
cars,EMmanhattan,path_length_manhattan,no_param,70128.2
cars,HColo,neumann_stress,no_param,169602.452809
cars,HColo,path_length_euclidian,no_param,14704.5553053
cars,HColo,path_length_manhattan,no_param,20736.6
cars,LK,neumann_stress,no_param,169676.22328
cars,LK,path_length_euclidian,no_param,11474.5885492
cars,LK,path_length_manhattan,no_param,16840.6
cars,MDS,neumann_stress,no_param,174388.22788
cars,MDS,path_length_euclidian,no_param,21825.8087412
cars,MDS,path_length_manhattan,no_param,29550.0
