dataset,ordering,metric,parameter,value
community,TSNE,neumann_stress,no_param,828.704940583
community,TSNE,path_length_euclidian,no_param,4242.08898349
community,TSNE,path_length_manhattan,no_param,28709.42
community,random,neumann_stress,no_param,1061.58288407
community,random,path_length_euclidian,no_param,9033.84984073
community,random,path_length_manhattan,no_param,46368.3
community,original,neumann_stress,no_param,878.839594294
community,original,path_length_euclidian,no_param,5429.99773331
community,original,path_length_manhattan,no_param,39976.1
community,TSPmeans,neumann_stress,no_param,762.377913907
community,TSPmeans,path_length_euclidian,no_param,2949.89052472
community,TSPmeans,path_length_manhattan,no_param,20005.68
community,EM,neumann_stress,no_param,851.352285856
community,EM,path_length_euclidian,no_param,4510.520381
community,EM,path_length_manhattan,no_param,20332.9
community,EMmanhattan,neumann_stress,no_param,991.347739157
community,EMmanhattan,path_length_euclidian,no_param,7064.61956336
community,EMmanhattan,path_length_manhattan,no_param,22497.92
community,HColo,neumann_stress,no_param,760.789068292
community,HColo,path_length_euclidian,no_param,2899.32340165
community,HColo,path_length_manhattan,no_param,19614.14
community,LK,neumann_stress,no_param,752.928516898
community,LK,path_length_euclidian,no_param,2762.87116235
community,LK,path_length_manhattan,no_param,18606.14
community,MDS,neumann_stress,no_param,875.65158088
community,MDS,path_length_euclidian,no_param,4967.73289138
community,MDS,path_length_manhattan,no_param,35293.92
