dataset,ordering,metric,parameter,value
golub,TSNE,neumann_stress,no_param,1155.65282612
golub,TSNE,path_length_euclidian,no_param,2217.50023653
golub,TSNE,path_length_manhattan,no_param,150086.905424
golub,TSNE,fom,no_param,0.43661971831
golub,random,neumann_stress,no_param,1148.37281238
golub,random,path_length_euclidian,no_param,2176.58227745
golub,random,path_length_manhattan,no_param,147748.051678
golub,random,fom,no_param,0.43661971831
golub,original,neumann_stress,no_param,968.553456623
golub,original,path_length_euclidian,no_param,1110.89640854
golub,original,path_length_manhattan,no_param,72996.977574
golub,original,fom,no_param,0.0422535211268
golub,TSPmeans,neumann_stress,no_param,937.69908289
golub,TSPmeans,path_length_euclidian,no_param,1022.16089252
golub,TSPmeans,path_length_manhattan,no_param,66513.493342
golub,TSPmeans,fom,no_param,0.183098591549
golub,EM,neumann_stress,no_param,933.949886267
golub,EM,path_length_euclidian,no_param,1014.21906137
golub,EM,path_length_manhattan,no_param,65968.586576
golub,EM,fom,no_param,0.154929577465
golub,EMmanhattan,neumann_stress,no_param,957.378599853
golub,EMmanhattan,path_length_euclidian,no_param,1090.09917914
golub,EMmanhattan,path_length_manhattan,no_param,71916.667626
golub,EMmanhattan,fom,no_param,0.323943661972
golub,HColo,neumann_stress,no_param,929.512408103
golub,HColo,path_length_euclidian,no_param,1011.85224849
golub,HColo,path_length_manhattan,no_param,65640.47653
golub,HColo,fom,no_param,0.140845070423
golub,LK,neumann_stress,no_param,927.625279615
golub,LK,path_length_euclidian,no_param,992.56350171
golub,LK,path_length_manhattan,no_param,64027.046166
golub,LK,fom,no_param,0.0985915492958
golub,MDS,neumann_stress,no_param,976.69383669
golub,MDS,path_length_euclidian,no_param,1162.86673065
golub,MDS,path_length_manhattan,no_param,77506.158304
golub,MDS,fom,no_param,0.225352112676
