dataset,ordering,metric,parameter,value
income,TSNE,neumann_stress,no_param,266843.816002
income,TSNE,path_length_euclidian,no_param,426961.007754
income,TSNE,path_length_manhattan,no_param,499165.12
income,random,neumann_stress,no_param,266373.434634
income,random,path_length_euclidian,no_param,420284.384809
income,random,path_length_manhattan,no_param,496852.3
income,original,neumann_stress,no_param,267203.086513
income,original,path_length_euclidian,no_param,427124.044684
income,original,path_length_manhattan,no_param,514960.18
income,TSPmeans,neumann_stress,no_param,219014.234451
income,TSPmeans,path_length_euclidian,no_param,122627.180623
income,TSPmeans,path_length_manhattan,no_param,173517.18
income,EM,neumann_stress,no_param,264259.339619
income,EM,path_length_euclidian,no_param,385861.817407
income,EM,path_length_manhattan,no_param,437966.84
income,EMmanhattan,neumann_stress,no_param,265558.613581
income,EMmanhattan,path_length_euclidian,no_param,388233.329465
income,EMmanhattan,path_length_manhattan,no_param,437615.3
income,HColo,neumann_stress,no_param,191003.837852
income,HColo,path_length_euclidian,no_param,118489.750648
income,HColo,path_length_manhattan,no_param,167471.84
income,LK,neumann_stress,no_param,229064.784114
income,LK,path_length_euclidian,no_param,114883.854748
income,LK,path_length_manhattan,no_param,159186.0
income,MDS,neumann_stress,no_param,235106.248424
income,MDS,path_length_euclidian,no_param,199412.744593
income,MDS,path_length_manhattan,no_param,293456.48
