dataset,ordering,metric,parameter,value
iris,TSNE,neumann_stress,no_param,186.457914993
iris,TSNE,path_length_euclidian,no_param,374.452825199
iris,TSNE,path_length_manhattan,no_param,627.6
iris,TSNE,fom,no_param,0.677852348993
iris,random,neumann_stress,no_param,183.246526795
iris,random,path_length_euclidian,no_param,369.844706861
iris,random,path_length_manhattan,no_param,620.2
iris,random,fom,no_param,0.630872483221
iris,TSPmeans,neumann_stress,no_param,123.602296835
iris,TSPmeans,path_length_euclidian,no_param,55.5617519059
iris,TSPmeans,path_length_manhattan,no_param,90.8
iris,TSPmeans,fom,no_param,0.0939597315436
iris,EM,neumann_stress,no_param,123.48420971
iris,EM,path_length_euclidian,no_param,57.3238624505
iris,EM,path_length_manhattan,no_param,93.4
iris,EM,fom,no_param,0.0805369127517
iris,EMmanhattan,neumann_stress,no_param,123.399132806
iris,EMmanhattan,path_length_euclidian,no_param,58.0044291188
iris,EMmanhattan,path_length_manhattan,no_param,91.4
iris,EMmanhattan,fom,no_param,0.0939597315436
iris,HColo,neumann_stress,no_param,121.967677849
iris,HColo,path_length_euclidian,no_param,57.221812685
iris,HColo,path_length_manhattan,no_param,92.6
iris,HColo,fom,no_param,0.0671140939597
iris,LK,neumann_stress,no_param,122.308334466
iris,LK,path_length_euclidian,no_param,51.5504782466
iris,LK,path_length_manhattan,no_param,84.8
iris,LK,fom,no_param,0.0805369127517
iris,MDS,neumann_stress,no_param,127.804671722
iris,MDS,path_length_euclidian,no_param,91.6769798009
iris,MDS,path_length_manhattan,no_param,149.0
iris,MDS,fom,no_param,0.107382550336
