dataset,ordering,metric,parameter,value
magic,TSNE,neumann_stress,no_param,106535.491519
magic,TSNE,path_length_euclidian,no_param,2489782.66783
magic,TSNE,path_length_manhattan,no_param,5056634.4224
magic,TSNE,fom,no_param,0.44040170356
magic,random,neumann_stress,no_param,109760.315117
magic,random,path_length_euclidian,no_param,2842910.44184
magic,random,path_length_manhattan,no_param,5737627.1946
magic,random,fom,no_param,0.451390714549
magic,original,neumann_stress,no_param,108664.251568
magic,original,path_length_euclidian,no_param,2761397.21158
magic,original,path_length_manhattan,no_param,5523695.3794
magic,original,fom,no_param,5.25789999474e-05
magic,TSPmeans,neumann_stress,no_param,69673.5696145
magic,TSPmeans,path_length_euclidian,no_param,390372.657494
magic,TSPmeans,path_length_manhattan,no_param,849500.3608
magic,TSPmeans,fom,no_param,0.241968557758
magic,EM,neumann_stress,no_param,75583.1092725
magic,EM,path_length_euclidian,no_param,750160.714039
magic,EM,path_length_manhattan,no_param,1403282.7006
magic,EM,fom,no_param,0.208002523792
magic,EMmanhattan,neumann_stress,no_param,76980.5815865
magic,EMmanhattan,path_length_euclidian,no_param,804778.627665
magic,EMmanhattan,path_length_manhattan,no_param,1441689.423
magic,EMmanhattan,fom,no_param,0.206214837794
