dataset,ordering,metric,parameter,value
noisy_wave,TSNE,neumann_stress,no_param,2560.32358267
noisy_wave,TSNE,path_length_euclidian,no_param,44049.2726945
noisy_wave,TSNE,path_length_manhattan,no_param,223711.34
noisy_wave,TSNE,fom,no_param,0.193038607722
noisy_wave,random,neumann_stress,no_param,2976.52050876
noisy_wave,random,path_length_euclidian,no_param,57781.3858376
noisy_wave,random,path_length_manhattan,no_param,289184.86
noisy_wave,random,fom,no_param,0.669933986797
noisy_wave,original,neumann_stress,no_param,2970.17916171
noisy_wave,original,path_length_euclidian,no_param,57552.4390606
noisy_wave,original,path_length_manhattan,no_param,287975.68
noisy_wave,original,fom,no_param,0.667933586717
noisy_wave,TSPmeans,neumann_stress,no_param,2321.63729436
noisy_wave,TSPmeans,path_length_euclidian,no_param,35723.1452862
noisy_wave,TSPmeans,path_length_manhattan,no_param,181450.66
noisy_wave,TSPmeans,fom,no_param,0.210642128426
noisy_wave,EM,neumann_stress,no_param,2323.64129006
noisy_wave,EM,path_length_euclidian,no_param,35784.6788431
noisy_wave,EM,path_length_manhattan,no_param,181751.84
noisy_wave,EM,fom,no_param,0.217643528706
noisy_wave,EMmanhattan,neumann_stress,no_param,2337.54156667
noisy_wave,EMmanhattan,path_length_euclidian,no_param,36252.8673876
noisy_wave,EMmanhattan,path_length_manhattan,no_param,178913.36
noisy_wave,EMmanhattan,fom,no_param,0.217843568714
noisy_wave,HColo,neumann_stress,no_param,2299.48303981
noisy_wave,HColo,path_length_euclidian,no_param,34800.5408127
noisy_wave,HColo,path_length_manhattan,no_param,176500.28
noisy_wave,HColo,fom,no_param,0.182236447289
noisy_wave,LK,neumann_stress,no_param,2251.43008145
noisy_wave,LK,path_length_euclidian,no_param,33264.2650752
noisy_wave,LK,path_length_manhattan,no_param,168951.22
noisy_wave,LK,fom,no_param,0.238447689538
noisy_wave,MDS,neumann_stress,no_param,2650.54464526
noisy_wave,MDS,path_length_euclidian,no_param,46453.8387547
noisy_wave,MDS,path_length_manhattan,no_param,235111.38
noisy_wave,MDS,fom,no_param,0.415683136627
