dataset,ordering,metric,parameter,value
olive,TSNE,neumann_stress,no_param,4843.47320165
olive,TSNE,path_length_euclidian,no_param,12227.2873501
olive,TSNE,path_length_manhattan,no_param,26550.2
olive,TSNE,fom,no_param,0.178313253012
olive,random,neumann_stress,no_param,6664.54020674
olive,random,path_length_euclidian,no_param,30962.5475791
olive,random,path_length_manhattan,no_param,70054.4
olive,random,fom,no_param,0.884337349398
olive,original,neumann_stress,no_param,4813.1612679
olive,original,path_length_euclidian,no_param,12177.641156
olive,original,path_length_manhattan,no_param,25360.0
olive,original,fom,no_param,0.0409638554217
olive,TSPmeans,neumann_stress,no_param,4215.25834208
olive,TSPmeans,path_length_euclidian,no_param,6708.00666425
olive,TSPmeans,path_length_manhattan,no_param,14600.0
olive,TSPmeans,fom,no_param,0.0819277108434
olive,EM,neumann_stress,no_param,4264.96627534
olive,EM,path_length_euclidian,no_param,7119.98478011
olive,EM,path_length_manhattan,no_param,14950.0
olive,EM,fom,no_param,0.0746987951807
olive,EMmanhattan,neumann_stress,no_param,4297.1616685
olive,EMmanhattan,path_length_euclidian,no_param,7404.77795518
olive,EMmanhattan,path_length_manhattan,no_param,14840.8
olive,EMmanhattan,fom,no_param,0.0963855421687
olive,HColo,neumann_stress,no_param,4228.74806683
olive,HColo,path_length_euclidian,no_param,6822.35725813
olive,HColo,path_length_manhattan,no_param,14906.2
olive,HColo,fom,no_param,0.0746987951807
olive,LK,neumann_stress,no_param,4149.34806465
olive,LK,path_length_euclidian,no_param,6289.73213491
olive,LK,path_length_manhattan,no_param,13635.0
olive,LK,fom,no_param,0.0722891566265
olive,MDS,neumann_stress,no_param,5488.44497795
olive,MDS,path_length_euclidian,no_param,16656.7462161
olive,MDS,path_length_manhattan,no_param,37396.4
olive,MDS,fom,no_param,0.409638554217
