dataset,ordering,metric,parameter,value
parkinson,TSNE,neumann_stress,no_param,9824.92957492
parkinson,TSNE,path_length_euclidian,no_param,22306.7487314
parkinson,TSNE,path_length_manhattan,no_param,34315.147638
parkinson,TSNE,fom,no_param,0.40206185567
parkinson,random,neumann_stress,no_param,10081.8319356
parkinson,random,path_length_euclidian,no_param,24200.5178044
parkinson,random,path_length_manhattan,no_param,37280.727222
parkinson,random,fom,no_param,0.412371134021
parkinson,original,neumann_stress,no_param,8750.97624667
parkinson,original,path_length_euclidian,no_param,11879.0737404
parkinson,original,path_length_manhattan,no_param,15793.223086
parkinson,original,fom,no_param,0.0463917525773
parkinson,TSPmeans,neumann_stress,no_param,6527.52725577
parkinson,TSPmeans,path_length_euclidian,no_param,3112.39974309
parkinson,TSPmeans,path_length_manhattan,no_param,5178.352708
parkinson,TSPmeans,fom,no_param,0.180412371134
parkinson,EM,neumann_stress,no_param,8577.8967292
parkinson,EM,path_length_euclidian,no_param,11521.2627348
parkinson,EM,path_length_manhattan,no_param,15479.553584
parkinson,EM,fom,no_param,0.134020618557
parkinson,EMmanhattan,neumann_stress,no_param,8655.64880389
parkinson,EMmanhattan,path_length_euclidian,no_param,11305.7290004
parkinson,EMmanhattan,path_length_manhattan,no_param,14875.568106
parkinson,EMmanhattan,fom,no_param,0.118556701031
parkinson,HColo,neumann_stress,no_param,6290.88241342
parkinson,HColo,path_length_euclidian,no_param,3232.36276624
parkinson,HColo,path_length_manhattan,no_param,5408.366668
parkinson,HColo,fom,no_param,0.164948453608
parkinson,LK,neumann_stress,no_param,6382.97824021
parkinson,LK,path_length_euclidian,no_param,2858.88968791
parkinson,LK,path_length_manhattan,no_param,4807.27425
parkinson,LK,fom,no_param,0.185567010309
parkinson,MDS,neumann_stress,no_param,7079.41882636
parkinson,MDS,path_length_euclidian,no_param,6293.96817248
parkinson,MDS,path_length_manhattan,no_param,10440.843056
parkinson,MDS,fom,no_param,0.252577319588
