dataset,ordering,metric,parameter,value
subway,TSNE,neumann_stress,no_param,2280873202.59
subway,TSNE,path_length_euclidian,no_param,8654110514.05
subway,TSNE,path_length_manhattan,no_param,70909719710.0
subway,random,neumann_stress,no_param,3121013954.56
subway,random,path_length_euclidian,no_param,16211304653.3
subway,random,path_length_manhattan,no_param,139265566180.0
subway,original,neumann_stress,no_param,2197354956.62
subway,original,path_length_euclidian,no_param,10033027648.7
subway,original,path_length_manhattan,no_param,83614329886.0
subway,TSPmeans,neumann_stress,no_param,2003533046.17
subway,TSPmeans,path_length_euclidian,no_param,6457673664.81
subway,TSPmeans,path_length_manhattan,no_param,52637843918.0
subway,EM,neumann_stress,no_param,1131928549.95
subway,EM,path_length_euclidian,no_param,4818429570.28
subway,EM,path_length_manhattan,no_param,34876929842.0
subway,EMmanhattan,neumann_stress,no_param,1290804973.12
subway,EMmanhattan,path_length_euclidian,no_param,4588174412.02
subway,EMmanhattan,path_length_manhattan,no_param,32847799890.0
subway,HColo,neumann_stress,no_param,1075054709.47
subway,HColo,path_length_euclidian,no_param,4377835608.15
subway,HColo,path_length_manhattan,no_param,33354951528.0
subway,LK,neumann_stress,no_param,2592634122.57
subway,LK,path_length_euclidian,no_param,8461654044.38
subway,LK,path_length_manhattan,no_param,70510934542.0
subway,MDS,neumann_stress,no_param,1465754558.76
subway,MDS,path_length_euclidian,no_param,7208685254.63
subway,MDS,path_length_manhattan,no_param,56123529040.0
