dataset,ordering,metric,parameter,value
traffic,TSNE,neumann_stress,no_param,35672.9527386
traffic,TSNE,path_length_euclidian,no_param,472221.582899
traffic,TSNE,path_length_manhattan,no_param,17882602.0
traffic,random,neumann_stress,no_param,48262.6893122
traffic,random,path_length_euclidian,no_param,805898.122532
traffic,random,path_length_manhattan,no_param,32315588.0
traffic,original,neumann_stress,no_param,48359.9858921
traffic,original,path_length_euclidian,no_param,810779.735946
traffic,original,path_length_manhattan,no_param,32459940.0
traffic,TSPmeans,neumann_stress,no_param,33254.6062808
traffic,TSPmeans,path_length_euclidian,no_param,414388.637119
traffic,TSPmeans,path_length_manhattan,no_param,15477406.0
traffic,EM,neumann_stress,no_param,33277.4212879
traffic,EM,path_length_euclidian,no_param,415217.759274
traffic,EM,path_length_manhattan,no_param,15477904.0
traffic,EMmanhattan,neumann_stress,no_param,34491.9372227
traffic,EMmanhattan,path_length_euclidian,no_param,443931.67572
traffic,EMmanhattan,path_length_manhattan,no_param,16644142.0
traffic,HColo,neumann_stress,no_param,33038.3747099
traffic,HColo,path_length_euclidian,no_param,408802.258117
traffic,HColo,path_length_manhattan,no_param,15275480.0
traffic,LK,neumann_stress,no_param,35445.7436048
traffic,LK,path_length_euclidian,no_param,472342.518296
traffic,LK,path_length_manhattan,no_param,17849064.0
traffic,MDS,neumann_stress,no_param,36650.6407503
traffic,MDS,path_length_euclidian,no_param,498975.757414
traffic,MDS,path_length_manhattan,no_param,19009812.0
