dataset,ordering,metric,parameter,value
waveform,TSNE,neumann_stress,no_param,1875.7598556
waveform,TSNE,path_length_euclidian,no_param,31310.0644287
waveform,TSNE,path_length_manhattan,no_param,115925.66
waveform,TSNE,fom,no_param,0.23024604921
waveform,random,neumann_stress,no_param,2405.95445147
waveform,random,path_length_euclidian,no_param,48498.0673389
waveform,random,path_length_manhattan,no_param,182102.16
waveform,random,fom,no_param,0.670934186837
waveform,original,neumann_stress,no_param,2401.33479351
waveform,original,path_length_euclidian,no_param,48318.4958886
waveform,original,path_length_manhattan,no_param,181616.0
waveform,original,fom,no_param,0.673334666933
waveform,TSPmeans,neumann_stress,no_param,1630.21208318
waveform,TSPmeans,path_length_euclidian,no_param,22807.4309058
waveform,TSPmeans,path_length_manhattan,no_param,84464.18
waveform,TSPmeans,fom,no_param,0.205041008202
waveform,EM,neumann_stress,no_param,1643.28051023
waveform,EM,path_length_euclidian,no_param,23254.949134
waveform,EM,path_length_manhattan,no_param,85324.18
waveform,EM,fom,no_param,0.216643328666
waveform,EMmanhattan,neumann_stress,no_param,1654.44578208
waveform,EMmanhattan,path_length_euclidian,no_param,23607.722267
waveform,EMmanhattan,path_length_manhattan,no_param,83561.4
waveform,EMmanhattan,fom,no_param,0.21524304861
waveform,HColo,neumann_stress,no_param,1613.85530475
waveform,HColo,path_length_euclidian,no_param,22065.3807275
waveform,HColo,path_length_manhattan,no_param,81560.24
waveform,HColo,fom,no_param,0.21724344869
waveform,LK,neumann_stress,no_param,1573.0924364
waveform,LK,path_length_euclidian,no_param,20835.2057604
waveform,LK,path_length_manhattan,no_param,77171.24
waveform,LK,fom,no_param,0.210842168434
waveform,MDS,neumann_stress,no_param,1974.61014098
waveform,MDS,path_length_euclidian,no_param,33906.0852341
waveform,MDS,path_length_manhattan,no_param,125871.28
waveform,MDS,fom,no_param,0.415283056611
