dataset,ordering,metric,parameter,value
wdbc,TSNE,neumann_stress,no_param,96775.9304213
wdbc,TSNE,path_length_euclidian,no_param,70116.314807
wdbc,TSNE,path_length_manhattan,no_param,114451.602507
wdbc,TSNE,fom,no_param,0.12323943662
wdbc,random,neumann_stress,no_param,129184.236023
wdbc,random,path_length_euclidian,no_param,403197.23415
wdbc,random,path_length_manhattan,no_param,618961.687593
wdbc,random,fom,no_param,0.496478873239
wdbc,original,neumann_stress,no_param,124889.781144
wdbc,original,path_length_euclidian,no_param,357837.203438
wdbc,original,path_length_manhattan,no_param,550512.662855
wdbc,original,fom,no_param,0.375
wdbc,TSPmeans,neumann_stress,no_param,87212.4317736
wdbc,TSPmeans,path_length_euclidian,no_param,26632.9859081
wdbc,TSPmeans,path_length_manhattan,no_param,48154.8605828
wdbc,TSPmeans,fom,no_param,0.0950704225352
wdbc,EM,neumann_stress,no_param,91354.5528711
wdbc,EM,path_length_euclidian,no_param,61842.1199832
wdbc,EM,path_length_manhattan,no_param,95290.7706348
wdbc,EM,fom,no_param,0.0633802816901
wdbc,EMmanhattan,neumann_stress,no_param,90015.6573951
wdbc,EMmanhattan,path_length_euclidian,no_param,53780.4326173
wdbc,EMmanhattan,path_length_manhattan,no_param,81902.0869788
wdbc,EMmanhattan,fom,no_param,0.0492957746479
wdbc,HColo,neumann_stress,no_param,87894.3059066
wdbc,HColo,path_length_euclidian,no_param,30576.5528039
wdbc,HColo,path_length_manhattan,no_param,52244.7352968
wdbc,HColo,fom,no_param,0.0933098591549
wdbc,LK,neumann_stress,no_param,87505.8604952
wdbc,LK,path_length_euclidian,no_param,23960.7514353
wdbc,LK,path_length_manhattan,no_param,44186.8942748
wdbc,LK,fom,no_param,0.0880281690141
wdbc,MDS,neumann_stress,no_param,92249.3030456
wdbc,MDS,path_length_euclidian,no_param,56043.7826374
wdbc,MDS,path_length_manhattan,no_param,95648.9691368
wdbc,MDS,fom,no_param,0.147887323944
