dataset,ordering,metric,parameter,value
wine,TSNE,neumann_stress,no_param,33201.0902235
wine,TSNE,path_length_euclidian,no_param,60417.0375427
wine,TSNE,path_length_manhattan,no_param,65131.211998
wine,TSNE,fom,no_param,0.61581920904
wine,random,neumann_stress,no_param,33721.1413006
wine,random,path_length_euclidian,no_param,64512.7277408
wine,random,path_length_manhattan,no_param,69302.627998
wine,random,fom,no_param,0.689265536723
wine,TSPmeans,neumann_stress,no_param,23026.4689952
wine,TSPmeans,path_length_euclidian,no_param,4268.49326304
wine,TSPmeans,path_length_manhattan,no_param,6519.267998
wine,TSPmeans,fom,no_param,0.271186440678
wine,EM,neumann_stress,no_param,26594.1182416
wine,EM,path_length_euclidian,no_param,24634.597657
wine,EM,path_length_manhattan,no_param,26893.62
wine,EM,fom,no_param,0.0621468926554
wine,EMmanhattan,neumann_stress,no_param,26091.4213805
wine,EMmanhattan,path_length_euclidian,no_param,21925.1230553
wine,EMmanhattan,path_length_manhattan,no_param,24255.048
wine,EMmanhattan,fom,no_param,0.0395480225989
wine,HColo,neumann_stress,no_param,22420.1052341
wine,HColo,path_length_euclidian,no_param,4287.2759986
wine,HColo,path_length_manhattan,no_param,6468.911998
wine,HColo,fom,no_param,0.282485875706
wine,LK,neumann_stress,no_param,22693.7417331
wine,LK,path_length_euclidian,no_param,3527.02827897
wine,LK,path_length_manhattan,no_param,5626.499998
wine,LK,fom,no_param,0.265536723164
wine,MDS,neumann_stress,no_param,24659.206685
wine,MDS,path_length_euclidian,no_param,6125.25206634
wine,MDS,path_length_manhattan,no_param,8380.499998
wine,MDS,fom,no_param,0.344632768362
