dataset,ordering,metric,parameter,value
yeast,TSNE,neumann_stress,no_param,83.9726975387
yeast,TSNE,path_length_euclidian,no_param,272.885867844
yeast,TSNE,path_length_manhattan,no_param,533.68
yeast,TSNE,fom,no_param,0.566419420094
yeast,random,neumann_stress,no_param,99.2310593462
yeast,random,path_length_euclidian,no_param,551.833543491
yeast,random,path_length_manhattan,no_param,1041.38
yeast,random,fom,no_param,0.747134187458
yeast,original,neumann_stress,no_param,96.6824245891
yeast,original,path_length_euclidian,no_param,491.193859535
yeast,original,path_length_manhattan,no_param,918.92
yeast,original,fom,no_param,0.483479433581
yeast,TSPmeans,neumann_stress,no_param,77.7483164277
yeast,TSPmeans,path_length_euclidian,no_param,151.156144011
yeast,TSPmeans,path_length_manhattan,no_param,293.36
yeast,TSPmeans,fom,no_param,0.493594066082
yeast,EM,neumann_stress,no_param,77.6607636433
yeast,EM,path_length_euclidian,no_param,156.558180435
yeast,EM,path_length_manhattan,no_param,299.98
yeast,EM,fom,no_param,0.515846257586
yeast,EMmanhattan,neumann_stress,no_param,77.7276008462
yeast,EMmanhattan,path_length_euclidian,no_param,158.969807214
yeast,EMmanhattan,path_length_manhattan,no_param,290.32
yeast,EMmanhattan,fom,no_param,0.504383007417
yeast,HColo,neumann_stress,no_param,76.8435174514
yeast,HColo,path_length_euclidian,no_param,142.391635553
yeast,HColo,path_length_manhattan,no_param,278.38
yeast,HColo,fom,no_param,0.509103169252
yeast,LK,neumann_stress,no_param,75.9775410987
yeast,LK,path_length_euclidian,no_param,130.971762297
yeast,LK,path_length_manhattan,no_param,255.2
yeast,LK,fom,no_param,0.50101146325
yeast,MDS,neumann_stress,no_param,94.1958143885
yeast,MDS,path_length_euclidian,no_param,419.34544948
yeast,MDS,path_length_manhattan,no_param,824.5
yeast,MDS,fom,no_param,0.695212407283
