dataset,ordering,metric,parameter,value
aaup,TSNE,grid_entropy,5,97.4737684431
aaup,TSNE,grid_entropy,10,347.501008213
aaup,TSNE,grid_entropy,15,721.63356819
aaup,TSNE,grid_entropy,20,1214.07665169
aaup,TSNE,grid_entropy,30,2488.780939
aaup,TSNE,grid_stddev,5,675.844432234
aaup,TSNE,grid_stddev,10,2197.84491872
aaup,TSNE,grid_stddev,15,4199.90404537
aaup,TSNE,grid_stddev,20,6767.52007344
aaup,TSNE,grid_stddev,30,12795.4518969
aaup,random,grid_entropy,5,105.957341803
aaup,random,grid_entropy,10,396.736847192
aaup,random,grid_entropy,15,839.497696429
aaup,random,grid_entropy,20,1418.74028613
aaup,random,grid_entropy,30,2942.21429507
aaup,random,grid_stddev,5,870.042511397
aaup,random,grid_stddev,10,3345.27556121
aaup,random,grid_stddev,15,7224.87124434
aaup,random,grid_stddev,20,12571.7918191
aaup,random,grid_stddev,30,27323.7705453
aaup,TSPmeans,grid_entropy,5,96.1041626399
aaup,TSPmeans,grid_entropy,10,339.377612149
aaup,TSPmeans,grid_entropy,15,704.161365322
aaup,TSPmeans,grid_entropy,20,1176.89183547
aaup,TSPmeans,grid_entropy,30,2440.62424036
aaup,TSPmeans,grid_stddev,5,629.949118691
aaup,TSPmeans,grid_stddev,10,2039.73556847
aaup,TSPmeans,grid_stddev,15,3750.05505961
aaup,TSPmeans,grid_stddev,20,5770.22112959
aaup,TSPmeans,grid_stddev,30,10981.8866213
aaup,EM,grid_entropy,5,96.1449254072
aaup,EM,grid_entropy,10,335.34852296
aaup,EM,grid_entropy,15,696.042366332
aaup,EM,grid_entropy,20,1176.70343395
aaup,EM,grid_entropy,30,2429.6666174
aaup,EM,grid_stddev,5,621.038811872
aaup,EM,grid_stddev,10,1949.5331098
aaup,EM,grid_stddev,15,3661.33163927
aaup,EM,grid_stddev,20,5769.8357191
aaup,EM,grid_stddev,30,10881.3303018
aaup,EMmanhattan,grid_entropy,5,94.457870148
aaup,EMmanhattan,grid_entropy,10,335.602153656
aaup,EMmanhattan,grid_entropy,15,697.30853538
aaup,EMmanhattan,grid_entropy,20,1170.45630674
aaup,EMmanhattan,grid_entropy,30,2413.285145
aaup,EMmanhattan,grid_stddev,5,620.124540348
aaup,EMmanhattan,grid_stddev,10,1950.19632669
aaup,EMmanhattan,grid_stddev,15,3626.38610893
aaup,EMmanhattan,grid_stddev,20,5722.20240033
aaup,EMmanhattan,grid_stddev,30,10427.6107996
aaup,HColo,grid_entropy,5,96.7622245728
aaup,HColo,grid_entropy,10,340.343130764
aaup,HColo,grid_entropy,15,706.946917029
aaup,HColo,grid_entropy,20,1178.51370137
aaup,HColo,grid_entropy,30,2420.06170851
aaup,HColo,grid_stddev,5,631.661127454
aaup,HColo,grid_stddev,10,2020.65457636
aaup,HColo,grid_stddev,15,3748.57945191
aaup,HColo,grid_stddev,20,5878.26676155
aaup,HColo,grid_stddev,30,10787.1389936
aaup,LK,grid_entropy,5,99.1279096883
aaup,LK,grid_entropy,10,347.194309871
aaup,LK,grid_entropy,15,722.678488011
aaup,LK,grid_entropy,20,1206.56495334
aaup,LK,grid_entropy,30,2463.68876101
aaup,LK,grid_stddev,5,683.123344749
aaup,LK,grid_stddev,10,2047.49268025
aaup,LK,grid_stddev,15,3933.67302445
aaup,LK,grid_stddev,20,6127.73864218
aaup,LK,grid_stddev,30,10996.6317798
aaup,MDS,grid_entropy,5,97.8969060189
aaup,MDS,grid_entropy,10,351.852556501
aaup,MDS,grid_entropy,15,734.478967356
aaup,MDS,grid_entropy,20,1240.33787018
aaup,MDS,grid_entropy,30,2570.13126514
aaup,MDS,grid_stddev,5,732.570162435
aaup,MDS,grid_stddev,10,2561.40271019
aaup,MDS,grid_stddev,15,5173.43984352
aaup,MDS,grid_stddev,20,8676.39125251
aaup,MDS,grid_stddev,30,17478.0186593
