dataset,ordering,metric,parameter,value
abalone,TSNE,grid_entropy,5,94.9811175023
abalone,TSNE,grid_entropy,10,333.752671363
abalone,TSNE,grid_entropy,15,695.943508588
abalone,TSNE,grid_entropy,20,1173.47065985
abalone,TSNE,grid_entropy,30,2453.84591973
abalone,TSNE,grid_stddev,5,696.359060382
abalone,TSNE,grid_stddev,10,2088.89219351
abalone,TSNE,grid_stddev,15,4173.36662414
abalone,TSNE,grid_stddev,20,6191.41200451
abalone,TSNE,grid_stddev,30,11710.0525772
abalone,random,grid_entropy,5,109.888864726
abalone,random,grid_entropy,10,409.411706612
abalone,random,grid_entropy,15,878.543760338
abalone,random,grid_entropy,20,1496.92938193
abalone,random,grid_entropy,30,3142.02556886
abalone,random,grid_stddev,5,916.47360551
abalone,random,grid_stddev,10,3273.67463227
abalone,random,grid_stddev,15,7425.34462582
abalone,random,grid_stddev,20,12933.3862885
abalone,random,grid_stddev,30,28640.6559313
abalone,TSPmeans,grid_entropy,5,93.7467775853
abalone,TSPmeans,grid_entropy,10,322.821422104
abalone,TSPmeans,grid_entropy,15,675.604866887
abalone,TSPmeans,grid_entropy,20,1137.69676079
abalone,TSPmeans,grid_entropy,30,2370.91689916
abalone,TSPmeans,grid_stddev,5,552.810469321
abalone,TSPmeans,grid_stddev,10,1401.48450808
abalone,TSPmeans,grid_stddev,15,2702.81064336
abalone,TSPmeans,grid_stddev,20,4367.12572994
abalone,TSPmeans,grid_stddev,30,8509.12184796
abalone,EM,grid_entropy,5,92.2316490771
abalone,EM,grid_entropy,10,320.435940254
abalone,EM,grid_entropy,15,667.012140918
abalone,EM,grid_entropy,20,1137.0541319
abalone,EM,grid_entropy,30,2368.178353
abalone,EM,grid_stddev,5,561.287526637
abalone,EM,grid_stddev,10,1497.18545716
abalone,EM,grid_stddev,15,2740.39217456
abalone,EM,grid_stddev,20,4704.47542939
abalone,EM,grid_stddev,30,8230.30901552
abalone,EMmanhattan,grid_entropy,5,93.4365049004
abalone,EMmanhattan,grid_entropy,10,323.388827896
abalone,EMmanhattan,grid_entropy,15,671.308483721
abalone,EMmanhattan,grid_entropy,20,1140.79063408
abalone,EMmanhattan,grid_entropy,30,2381.87266934
abalone,EMmanhattan,grid_stddev,5,580.69679129
abalone,EMmanhattan,grid_stddev,10,1492.6452338
abalone,EMmanhattan,grid_stddev,15,2722.036324
abalone,EMmanhattan,grid_stddev,20,4398.9589064
abalone,EMmanhattan,grid_stddev,30,8536.71830233
abalone,HColo,grid_entropy,5,91.3429693337
abalone,HColo,grid_entropy,10,323.334333831
abalone,HColo,grid_entropy,15,675.37384044
abalone,HColo,grid_entropy,20,1144.89065806
abalone,HColo,grid_entropy,30,2389.62227214
abalone,HColo,grid_stddev,5,537.581766646
abalone,HColo,grid_stddev,10,1421.6803426
abalone,HColo,grid_stddev,15,2833.43046247
abalone,HColo,grid_stddev,20,4383.53685239
abalone,HColo,grid_stddev,30,8814.76100989
abalone,LK,grid_entropy,5,93.9559946075
abalone,LK,grid_entropy,10,328.703661429
abalone,LK,grid_entropy,15,698.867320949
abalone,LK,grid_entropy,20,1173.54218872
abalone,LK,grid_entropy,30,2442.63816372
abalone,LK,grid_stddev,5,567.907039636
abalone,LK,grid_stddev,10,1499.69953938
abalone,LK,grid_stddev,15,3018.00067529
abalone,LK,grid_stddev,20,4723.12397975
abalone,LK,grid_stddev,30,8985.42926651
abalone,MDS,grid_entropy,5,90.7416422423
abalone,MDS,grid_entropy,10,318.952774052
abalone,MDS,grid_entropy,15,672.937121087
abalone,MDS,grid_entropy,20,1140.5505849
abalone,MDS,grid_entropy,30,2396.09068718
abalone,MDS,grid_stddev,5,668.259750543
abalone,MDS,grid_stddev,10,1960.15486092
abalone,MDS,grid_stddev,15,4082.65837534
abalone,MDS,grid_stddev,20,6813.44038095
abalone,MDS,grid_stddev,30,14011.7930778
