dataset,ordering,metric,parameter,value
alon,TSNE,grid_entropy,5,117.990576748
alon,TSNE,grid_entropy,10,462.675565579
alon,TSNE,grid_entropy,15,1016.02975179
alon,TSNE,grid_entropy,20,1752.38098298
alon,TSNE,grid_entropy,30,3735.92991815
alon,TSNE,grid_stddev,5,1183.63747572
alon,TSNE,grid_stddev,10,4596.55725999
alon,TSNE,grid_stddev,15,9874.14323271
alon,TSNE,grid_stddev,20,16843.9482507
alon,TSNE,grid_stddev,30,37274.0399361
alon,random,grid_entropy,5,117.957634973
alon,random,grid_entropy,10,463.341135994
alon,random,grid_entropy,15,1019.19263611
alon,random,grid_entropy,20,1767.30537418
alon,random,grid_entropy,30,3762.67507085
alon,random,grid_stddev,5,1196.92386722
alon,random,grid_stddev,10,4679.66757259
alon,random,grid_stddev,15,10338.3986715
alon,random,grid_stddev,20,18074.522807
alon,random,grid_stddev,30,39717.8285651
alon,TSPmeans,grid_entropy,5,116.699295614
alon,TSPmeans,grid_entropy,10,455.169335243
alon,TSPmeans,grid_entropy,15,1000.71637575
alon,TSPmeans,grid_entropy,20,1729.93030563
alon,TSPmeans,grid_entropy,30,3688.70481747
alon,TSPmeans,grid_stddev,5,1130.18043082
alon,TSPmeans,grid_stddev,10,4143.1975821
alon,TSPmeans,grid_stddev,15,9003.62672123
alon,TSPmeans,grid_stddev,20,15366.0021664
alon,TSPmeans,grid_stddev,30,33459.3703313
alon,EM,grid_entropy,5,114.582801796
alon,EM,grid_entropy,10,449.188952334
alon,EM,grid_entropy,15,990.031067412
alon,EM,grid_entropy,20,1717.0930731
alon,EM,grid_entropy,30,3673.84191635
alon,EM,grid_stddev,5,988.468780339
alon,EM,grid_stddev,10,3793.455609
alon,EM,grid_stddev,15,8397.221691
alon,EM,grid_stddev,20,14735.2554207
alon,EM,grid_stddev,30,32672.7050799
alon,EMmanhattan,grid_entropy,5,115.487229333
alon,EMmanhattan,grid_entropy,10,449.444173471
alon,EMmanhattan,grid_entropy,15,990.360816921
alon,EMmanhattan,grid_entropy,20,1719.23267949
alon,EMmanhattan,grid_entropy,30,3676.61690972
alon,EMmanhattan,grid_stddev,5,1048.927699
alon,EMmanhattan,grid_stddev,10,3929.44237508
alon,EMmanhattan,grid_stddev,15,8522.31185799
alon,EMmanhattan,grid_stddev,20,15061.0357059
alon,EMmanhattan,grid_stddev,30,33458.2243448
alon,HColo,grid_entropy,5,115.222640554
alon,HColo,grid_entropy,10,449.421965735
alon,HColo,grid_entropy,15,992.024678239
alon,HColo,grid_entropy,20,1721.16475434
alon,HColo,grid_entropy,30,3680.61046333
alon,HColo,grid_stddev,5,1006.83301566
alon,HColo,grid_stddev,10,3813.14883167
alon,HColo,grid_stddev,15,8530.28727283
alon,HColo,grid_stddev,20,14831.4270602
alon,HColo,grid_stddev,30,32958.2749555
alon,LK,grid_entropy,5,117.629031222
alon,LK,grid_entropy,10,459.383389877
alon,LK,grid_entropy,15,1009.14235635
alon,LK,grid_entropy,20,1744.71835441
alon,LK,grid_entropy,30,3709.37529771
alon,LK,grid_stddev,5,1188.35269291
alon,LK,grid_stddev,10,4475.94622676
alon,LK,grid_stddev,15,9815.61556459
alon,LK,grid_stddev,20,16805.6277662
alon,LK,grid_stddev,30,35483.5059083
alon,MDS,grid_entropy,5,116.950986917
alon,MDS,grid_entropy,10,456.853489641
alon,MDS,grid_entropy,15,1005.4740323
alon,MDS,grid_entropy,20,1745.77515765
alon,MDS,grid_entropy,30,3710.86691156
alon,MDS,grid_stddev,5,1123.06489996
alon,MDS,grid_stddev,10,4193.7412831
alon,MDS,grid_stddev,15,9166.8649195
alon,MDS,grid_stddev,20,16372.3926308
alon,MDS,grid_stddev,30,34762.8939785
