dataset,ordering,metric,parameter,value
auto,TSNE,grid_entropy,5,53.3956587468
auto,TSNE,grid_entropy,10,176.983069575
auto,TSNE,grid_entropy,15,351.232676861
auto,TSNE,grid_entropy,20,553.571964015
auto,TSNE,grid_entropy,30,1038.85649105
auto,TSNE,grid_stddev,5,2043.11511231
auto,TSNE,grid_stddev,10,7822.50086727
auto,TSNE,grid_stddev,15,16939.2783589
auto,TSNE,grid_stddev,20,27720.3707534
auto,TSNE,grid_stddev,30,58707.7967967
auto,random,grid_entropy,5,54.0687845937
auto,random,grid_entropy,10,179.369243817
auto,random,grid_entropy,15,356.371060834
auto,random,grid_entropy,20,562.25811758
auto,random,grid_entropy,30,1054.96284061
auto,random,grid_stddev,5,2045.6930252
auto,random,grid_stddev,10,7868.81953947
auto,random,grid_stddev,15,16944.4130399
auto,random,grid_stddev,20,28000.8593006
auto,random,grid_stddev,30,59150.867839
auto,TSPmeans,grid_entropy,5,50.9527813108
auto,TSPmeans,grid_entropy,10,164.623289607
auto,TSPmeans,grid_entropy,15,322.317839268
auto,TSPmeans,grid_entropy,20,502.646178638
auto,TSPmeans,grid_entropy,30,931.71230384
auto,TSPmeans,grid_stddev,5,2025.427006
auto,TSPmeans,grid_stddev,10,7596.44500752
auto,TSPmeans,grid_stddev,15,16050.6876453
auto,TSPmeans,grid_stddev,20,25756.1624983
auto,TSPmeans,grid_stddev,30,53036.6948052
auto,EM,grid_entropy,5,50.4611543726
auto,EM,grid_entropy,10,159.335651677
auto,EM,grid_entropy,15,304.11578094
auto,EM,grid_entropy,20,464.05580478
auto,EM,grid_entropy,30,825.954419358
auto,EM,grid_stddev,5,2020.79796252
auto,EM,grid_stddev,10,7276.00025813
auto,EM,grid_stddev,15,14957.6981565
auto,EM,grid_stddev,20,23366.0088656
auto,EM,grid_stddev,30,46363.2223548
auto,EMmanhattan,grid_entropy,5,50.5341773111
auto,EMmanhattan,grid_entropy,10,158.174014801
auto,EMmanhattan,grid_entropy,15,301.598117317
auto,EMmanhattan,grid_entropy,20,453.051567121
auto,EMmanhattan,grid_entropy,30,808.342543926
auto,EMmanhattan,grid_stddev,5,2024.15040212
auto,EMmanhattan,grid_stddev,10,7444.28883181
auto,EMmanhattan,grid_stddev,15,15186.6322668
auto,EMmanhattan,grid_stddev,20,23706.8901651
auto,EMmanhattan,grid_stddev,30,46907.8466813
auto,HColo,grid_entropy,5,50.8774991323
auto,HColo,grid_entropy,10,163.680962943
auto,HColo,grid_entropy,15,321.656918473
auto,HColo,grid_entropy,20,497.131097185
auto,HColo,grid_entropy,30,924.473752292
auto,HColo,grid_stddev,5,2019.47568596
auto,HColo,grid_stddev,10,7506.31916616
auto,HColo,grid_stddev,15,15774.5534891
auto,HColo,grid_stddev,20,25464.9316392
auto,HColo,grid_stddev,30,52270.625985
auto,LK,grid_entropy,5,51.3042888183
auto,LK,grid_entropy,10,165.274739829
auto,LK,grid_entropy,15,319.106798613
auto,LK,grid_entropy,20,496.837130288
auto,LK,grid_entropy,30,913.508671195
auto,LK,grid_stddev,5,2024.86577429
auto,LK,grid_stddev,10,7542.96373922
auto,LK,grid_stddev,15,15865.6833404
auto,LK,grid_stddev,20,25525.4588965
auto,LK,grid_stddev,30,52201.5083283
auto,MDS,grid_entropy,5,51.4436480747
auto,MDS,grid_entropy,10,167.069096463
auto,MDS,grid_entropy,15,325.265620734
auto,MDS,grid_entropy,20,513.760856909
auto,MDS,grid_entropy,30,947.822946917
auto,MDS,grid_stddev,5,2027.90422992
auto,MDS,grid_stddev,10,7584.32428964
auto,MDS,grid_stddev,15,15895.79584
auto,MDS,grid_stddev,20,26040.6216961
auto,MDS,grid_stddev,30,52757.944434
