dataset,ordering,metric,parameter,value
bike,TSNE,grid_entropy,5,75.656948088
bike,TSNE,grid_entropy,10,264.553203383
bike,TSNE,grid_entropy,15,498.056235182
bike,TSNE,grid_entropy,20,954.039582725
bike,TSNE,grid_entropy,30,1901.80466127
bike,TSNE,grid_stddev,5,1773.48512663
bike,TSNE,grid_stddev,10,6767.22033835
bike,TSNE,grid_stddev,15,12703.4808388
bike,TSNE,grid_stddev,20,24923.5084076
bike,TSNE,grid_stddev,30,50202.3946088
bike,random,grid_entropy,5,77.6697186117
bike,random,grid_entropy,10,277.765777054
bike,random,grid_entropy,15,534.112854995
bike,random,grid_entropy,20,1014.98749572
bike,random,grid_entropy,30,2047.95678737
bike,random,grid_stddev,5,1791.93911089
bike,random,grid_stddev,10,6914.82630846
bike,random,grid_stddev,15,13261.7667258
bike,random,grid_stddev,20,25747.252852
bike,random,grid_stddev,30,52775.469068
bike,TSPmeans,grid_entropy,5,73.7966899871
bike,TSPmeans,grid_entropy,10,252.026545267
bike,TSPmeans,grid_entropy,15,463.282275321
bike,TSPmeans,grid_entropy,20,884.967523749
bike,TSPmeans,grid_entropy,30,1720.88762495
bike,TSPmeans,grid_stddev,5,1713.22374484
bike,TSPmeans,grid_stddev,10,6374.01799714
bike,TSPmeans,grid_stddev,15,11458.241508
bike,TSPmeans,grid_stddev,20,22595.3958782
bike,TSPmeans,grid_stddev,30,43716.6318666
bike,EM,grid_entropy,5,75.8521715732
bike,EM,grid_entropy,10,258.073211895
bike,EM,grid_entropy,15,463.770664389
bike,EM,grid_entropy,20,885.313310809
bike,EM,grid_entropy,30,1680.89889936
bike,EM,grid_stddev,5,1697.94451537
bike,EM,grid_stddev,10,6064.90625449
bike,EM,grid_stddev,15,7837.8166469
bike,EM,grid_stddev,20,18264.3083312
bike,EM,grid_stddev,30,26690.179025
bike,EMmanhattan,grid_entropy,5,75.2972442923
bike,EMmanhattan,grid_entropy,10,255.68525751
bike,EMmanhattan,grid_entropy,15,460.037433611
bike,EMmanhattan,grid_entropy,20,882.674268829
bike,EMmanhattan,grid_entropy,30,1678.15605709
bike,EMmanhattan,grid_stddev,5,1693.26285465
bike,EMmanhattan,grid_stddev,10,5971.10993368
bike,EMmanhattan,grid_stddev,15,7692.62669247
bike,EMmanhattan,grid_stddev,20,18117.8578374
bike,EMmanhattan,grid_stddev,30,26504.64549
