dataset,ordering,metric,parameter,value
cars,TSNE,grid_entropy,5,74.8394781872
cars,TSNE,grid_entropy,10,241.575184786
cars,TSNE,grid_entropy,15,471.45571928
cars,TSNE,grid_entropy,20,789.172866503
cars,TSNE,grid_entropy,30,1553.26465727
cars,TSNE,grid_stddev,5,1524.561311
cars,TSNE,grid_stddev,10,5033.82315999
cars,TSNE,grid_stddev,15,9404.73090793
cars,TSNE,grid_stddev,20,16393.1080531
cars,TSNE,grid_stddev,30,33487.4755857
cars,random,grid_entropy,5,80.876233036
cars,random,grid_entropy,10,274.747357054
cars,random,grid_entropy,15,559.943276197
cars,random,grid_entropy,20,922.354520489
cars,random,grid_entropy,30,1844.40127284
cars,random,grid_stddev,5,1666.3714373
cars,random,grid_stddev,10,6418.14964948
cars,random,grid_stddev,15,14202.2609247
cars,random,grid_stddev,20,25018.2744159
cars,random,grid_stddev,30,54965.1916827
cars,TSPmeans,grid_entropy,5,71.9192867891
cars,TSPmeans,grid_entropy,10,233.017380499
cars,TSPmeans,grid_entropy,15,460.943107838
cars,TSPmeans,grid_entropy,20,753.766828047
cars,TSPmeans,grid_entropy,30,1481.92115592
cars,TSPmeans,grid_stddev,5,1342.88702175
cars,TSPmeans,grid_stddev,10,4489.25757878
cars,TSPmeans,grid_stddev,15,8659.6545722
cars,TSPmeans,grid_stddev,20,14756.2155599
cars,TSPmeans,grid_stddev,30,30069.8577518
cars,EM,grid_entropy,5,71.7790512767
cars,EM,grid_entropy,10,225.572037506
cars,EM,grid_entropy,15,440.280274071
cars,EM,grid_entropy,20,710.601640189
cars,EM,grid_entropy,30,1371.30206938
cars,EM,grid_stddev,5,1308.14212111
cars,EM,grid_stddev,10,3846.42693334
cars,EM,grid_stddev,15,6882.08522896
cars,EM,grid_stddev,20,10948.0508824
cars,EM,grid_stddev,30,21396.8722529
cars,EMmanhattan,grid_entropy,5,70.2951232304
cars,EMmanhattan,grid_entropy,10,224.484089949
cars,EMmanhattan,grid_entropy,15,439.082636223
cars,EMmanhattan,grid_entropy,20,706.511450785
cars,EMmanhattan,grid_entropy,30,1362.69733848
cars,EMmanhattan,grid_stddev,5,1223.59096942
cars,EMmanhattan,grid_stddev,10,3741.7960086
cars,EMmanhattan,grid_stddev,15,6509.40797377
cars,EMmanhattan,grid_stddev,20,10168.0589138
cars,EMmanhattan,grid_stddev,30,19552.1600312
cars,HColo,grid_entropy,5,70.1963425525
cars,HColo,grid_entropy,10,230.244278794
cars,HColo,grid_entropy,15,460.890826873
cars,HColo,grid_entropy,20,754.548323017
cars,HColo,grid_entropy,30,1489.07846552
cars,HColo,grid_stddev,5,1238.05506818
cars,HColo,grid_stddev,10,4167.14725355
cars,HColo,grid_stddev,15,8437.07027843
cars,HColo,grid_stddev,20,14006.2141697
cars,HColo,grid_stddev,30,29522.6468917
cars,LK,grid_entropy,5,71.846358025
cars,LK,grid_entropy,10,231.942402415
cars,LK,grid_entropy,15,460.53797762
cars,LK,grid_entropy,20,754.257349976
cars,LK,grid_entropy,30,1478.82612505
cars,LK,grid_stddev,5,1265.90009583
cars,LK,grid_stddev,10,4133.9734567
cars,LK,grid_stddev,15,8013.41082632
cars,LK,grid_stddev,20,13692.1121051
cars,LK,grid_stddev,30,28077.0465981
cars,MDS,grid_entropy,5,72.9075429313
cars,MDS,grid_entropy,10,235.762630643
cars,MDS,grid_entropy,15,471.973313988
cars,MDS,grid_entropy,20,774.133885156
cars,MDS,grid_entropy,30,1516.16090239
cars,MDS,grid_stddev,5,1343.88206986
cars,MDS,grid_stddev,10,4438.31224301
cars,MDS,grid_stddev,15,9052.99261044
cars,MDS,grid_stddev,20,15173.8130781
cars,MDS,grid_stddev,30,31463.7644074
