dataset,ordering,metric,parameter,value
community,TSNE,grid_entropy,5,108.526160546
community,TSNE,grid_entropy,10,423.477288114
community,TSNE,grid_entropy,15,921.010703002
community,TSNE,grid_entropy,20,1602.13596685
community,TSNE,grid_entropy,30,3410.36928326
community,TSNE,grid_stddev,5,1474.85632187
community,TSNE,grid_stddev,10,5714.8367191
community,TSNE,grid_stddev,15,12364.8550483
community,TSNE,grid_stddev,20,21151.9388485
community,TSNE,grid_stddev,30,45396.1480684
community,random,grid_entropy,5,108.870331461
community,random,grid_entropy,10,427.084870336
community,random,grid_entropy,15,937.152208031
community,random,grid_entropy,20,1638.64044355
community,random,grid_entropy,30,3518.57992728
community,random,grid_stddev,5,1477.57743092
community,random,grid_stddev,10,5784.32545583
community,random,grid_stddev,15,12783.6752096
community,random,grid_stddev,20,22262.5870286
community,random,grid_stddev,30,49230.1203658
community,TSPmeans,grid_entropy,5,108.381394363
community,TSPmeans,grid_entropy,10,422.198930164
community,TSPmeans,grid_entropy,15,918.939656321
community,TSPmeans,grid_entropy,20,1597.61829559
community,TSPmeans,grid_entropy,30,3400.3372011
community,TSPmeans,grid_stddev,5,1459.20753664
community,TSPmeans,grid_stddev,10,5639.64131736
community,TSPmeans,grid_stddev,15,12230.9338315
community,TSPmeans,grid_stddev,20,20916.2141707
community,TSPmeans,grid_stddev,30,44834.6210129
community,EM,grid_entropy,5,108.086679639
community,EM,grid_entropy,10,417.860464747
community,EM,grid_entropy,15,907.968322103
community,EM,grid_entropy,20,1572.25819117
community,EM,grid_entropy,30,3331.6036251
community,EM,grid_stddev,5,1461.7756193
community,EM,grid_stddev,10,5568.15999098
community,EM,grid_stddev,15,11999.1314699
community,EM,grid_stddev,20,20336.5887049
community,EM,grid_stddev,30,43153.8160798
community,EMmanhattan,grid_entropy,5,107.965113549
community,EMmanhattan,grid_entropy,10,417.791809486
community,EMmanhattan,grid_entropy,15,906.337958046
community,EMmanhattan,grid_entropy,20,1569.82864132
community,EMmanhattan,grid_entropy,30,3330.6552943
community,EMmanhattan,grid_stddev,5,1455.140808
community,EMmanhattan,grid_stddev,10,5555.95837604
community,EMmanhattan,grid_stddev,15,11949.9286625
community,EMmanhattan,grid_stddev,20,20225.1553899
community,EMmanhattan,grid_stddev,30,43132.0834666
community,HColo,grid_entropy,5,108.675289053
community,HColo,grid_entropy,10,423.509098002
community,HColo,grid_entropy,15,922.360582232
community,HColo,grid_entropy,20,1602.70679582
community,HColo,grid_entropy,30,3411.03005533
community,HColo,grid_stddev,5,1476.68127106
community,HColo,grid_stddev,10,5697.28418853
community,HColo,grid_stddev,15,12367.9358049
community,HColo,grid_stddev,20,21094.0709309
community,HColo,grid_stddev,30,45319.2723205
community,LK,grid_entropy,5,108.770628817
community,LK,grid_entropy,10,425.370814358
community,LK,grid_entropy,15,930.228740554
community,LK,grid_entropy,20,1619.42795676
community,LK,grid_entropy,30,3452.15839527
community,LK,grid_stddev,5,1474.85393052
community,LK,grid_stddev,10,5743.59359072
community,LK,grid_stddev,15,12606.782247
community,LK,grid_stddev,20,21710.4481992
community,LK,grid_stddev,30,46896.3912162
community,MDS,grid_entropy,5,108.689166526
community,MDS,grid_entropy,10,425.717238388
community,MDS,grid_entropy,15,931.762708167
community,MDS,grid_entropy,20,1621.26546198
community,MDS,grid_entropy,30,3465.56464803
community,MDS,grid_stddev,5,1475.84321801
community,MDS,grid_stddev,10,5772.46953786
community,MDS,grid_stddev,15,12678.7673236
community,MDS,grid_stddev,20,21751.24857
community,MDS,grid_stddev,30,47362.7127674
