dataset,ordering,metric,parameter,value
golub,TSNE,grid_entropy,5,123.05845186
golub,TSNE,grid_entropy,10,488.039607297
golub,TSNE,grid_entropy,15,1083.56552089
golub,TSNE,grid_entropy,20,1897.98906326
golub,TSNE,grid_entropy,30,4108.03832532
golub,TSNE,grid_stddev,5,1802.03673942
golub,TSNE,grid_stddev,10,7193.42708194
golub,TSNE,grid_stddev,15,16177.1906864
golub,TSNE,grid_stddev,20,28704.191682
golub,TSNE,grid_stddev,30,64396.0442755
golub,random,grid_entropy,5,123.125272704
golub,random,grid_entropy,10,488.467588476
golub,random,grid_entropy,15,1086.36037166
golub,random,grid_entropy,20,1896.8928527
golub,random,grid_entropy,30,4107.28301416
golub,random,grid_stddev,5,1800.75772477
golub,random,grid_stddev,10,7194.0882532
golub,random,grid_stddev,15,16169.6483584
golub,random,grid_stddev,20,28690.0753595
golub,random,grid_stddev,30,64414.4058572
golub,TSPmeans,grid_entropy,5,121.867920298
golub,TSPmeans,grid_entropy,10,477.323227908
golub,TSPmeans,grid_entropy,15,1053.07671518
golub,TSPmeans,grid_entropy,20,1830.24387432
golub,TSPmeans,grid_entropy,30,3940.35581564
golub,TSPmeans,grid_stddev,5,1784.50219753
golub,TSPmeans,grid_stddev,10,7113.0094473
golub,TSPmeans,grid_stddev,15,15955.5718021
golub,TSPmeans,grid_stddev,20,28330.3409293
golub,TSPmeans,grid_stddev,30,63614.2226432
golub,EM,grid_entropy,5,121.89465924
golub,EM,grid_entropy,10,477.308902132
golub,EM,grid_entropy,15,1050.16846809
golub,EM,grid_entropy,20,1830.53191708
golub,EM,grid_entropy,30,3939.14882464
golub,EM,grid_stddev,5,1786.66334169
golub,EM,grid_stddev,10,7103.28298403
golub,EM,grid_stddev,15,15958.5329661
golub,EM,grid_stddev,20,28322.4496763
golub,EM,grid_stddev,30,63562.5145068
golub,EMmanhattan,grid_entropy,5,122.125658863
golub,EMmanhattan,grid_entropy,10,477.600942757
golub,EMmanhattan,grid_entropy,15,1049.54890856
golub,EMmanhattan,grid_entropy,20,1831.4663481
golub,EMmanhattan,grid_entropy,30,3941.07507289
golub,EMmanhattan,grid_stddev,5,1795.53064152
golub,EMmanhattan,grid_stddev,10,7131.64002933
golub,EMmanhattan,grid_stddev,15,15957.5589762
golub,EMmanhattan,grid_stddev,20,28352.8366495
golub,EMmanhattan,grid_stddev,30,63582.0024752
golub,HColo,grid_entropy,5,121.86496239
golub,HColo,grid_entropy,10,477.189030465
golub,HColo,grid_entropy,15,1052.80164118
golub,HColo,grid_entropy,20,1828.04744237
golub,HColo,grid_entropy,30,3937.18453123
golub,HColo,grid_stddev,5,1785.55490979
golub,HColo,grid_stddev,10,7109.8228284
golub,HColo,grid_stddev,15,15973.7790035
golub,HColo,grid_stddev,20,28328.4931614
golub,HColo,grid_stddev,30,63538.082004
golub,LK,grid_entropy,5,121.879560924
golub,LK,grid_entropy,10,477.270780679
golub,LK,grid_entropy,15,1051.5914886
golub,LK,grid_entropy,20,1827.91604997
golub,LK,grid_entropy,30,3942.45009173
golub,LK,grid_stddev,5,1789.2114101
golub,LK,grid_stddev,10,7115.61661327
golub,LK,grid_stddev,15,15976.5236185
golub,LK,grid_stddev,20,28337.4503312
golub,LK,grid_stddev,30,63554.3173936
golub,MDS,grid_entropy,5,122.010894213
golub,MDS,grid_entropy,10,478.330867628
golub,MDS,grid_entropy,15,1054.45457393
golub,MDS,grid_entropy,20,1833.0934712
golub,MDS,grid_entropy,30,3956.91832647
golub,MDS,grid_stddev,5,1791.51886609
golub,MDS,grid_stddev,10,7143.79632885
golub,MDS,grid_stddev,15,16023.0673589
golub,MDS,grid_stddev,20,28435.4033
golub,MDS,grid_stddev,30,63887.1342591
