dataset,ordering,metric,parameter,value
income,TSNE,grid_entropy,5,47.744877349
income,TSNE,grid_entropy,10,155.22436006
income,TSNE,grid_entropy,15,311.580682745
income,TSNE,grid_entropy,20,472.857307682
income,TSNE,grid_entropy,30,885.856483156
income,TSNE,grid_stddev,5,1880.75947185
income,TSNE,grid_stddev,10,6695.68036736
income,TSNE,grid_stddev,15,14911.9697268
income,TSNE,grid_stddev,20,24712.2763738
income,TSNE,grid_stddev,30,50569.336146
income,random,grid_entropy,5,47.8822212756
income,random,grid_entropy,10,156.359100229
income,random,grid_entropy,15,312.228445123
income,random,grid_entropy,20,477.634179451
income,random,grid_entropy,30,897.708172557
income,random,grid_stddev,5,1884.68188048
income,random,grid_stddev,10,6716.65075666
income,random,grid_stddev,15,14926.6267433
income,random,grid_stddev,20,24775.5192473
income,random,grid_stddev,30,50991.4234919
income,TSPmeans,grid_entropy,5,47.4047647317
income,TSPmeans,grid_entropy,10,153.624188997
income,TSPmeans,grid_entropy,15,307.373100891
income,TSPmeans,grid_entropy,20,463.464661304
income,TSPmeans,grid_entropy,30,865.528755631
income,TSPmeans,grid_stddev,5,1874.63112351
income,TSPmeans,grid_stddev,10,6646.39699354
income,TSPmeans,grid_stddev,15,14739.0964562
income,TSPmeans,grid_stddev,20,24061.7291339
income,TSPmeans,grid_stddev,30,49330.3907982
income,EM,grid_entropy,5,45.4723600878
income,EM,grid_entropy,10,138.778645339
income,EM,grid_entropy,15,269.990271077
income,EM,grid_entropy,20,399.813185796
income,EM,grid_entropy,30,705.222840835
income,EM,grid_stddev,5,1811.36402987
income,EM,grid_stddev,10,5842.64229542
income,EM,grid_stddev,15,12366.0461057
income,EM,grid_stddev,20,19577.3700993
income,EM,grid_stddev,30,36133.9994088
income,EMmanhattan,grid_entropy,5,45.2833324206
income,EMmanhattan,grid_entropy,10,139.724493428
income,EMmanhattan,grid_entropy,15,273.676292524
income,EMmanhattan,grid_entropy,20,399.570151075
income,EMmanhattan,grid_entropy,30,712.031287814
income,EMmanhattan,grid_stddev,5,1808.54495721
income,EMmanhattan,grid_stddev,10,5898.57027254
income,EMmanhattan,grid_stddev,15,12775.5951219
income,EMmanhattan,grid_stddev,20,19730.4152888
income,EMmanhattan,grid_stddev,30,37345.9854905
income,HColo,grid_entropy,5,47.4048603877
income,HColo,grid_entropy,10,153.664487474
income,HColo,grid_entropy,15,305.546846837
income,HColo,grid_entropy,20,466.780918415
income,HColo,grid_entropy,30,852.639363374
income,HColo,grid_stddev,5,1876.2608108
income,HColo,grid_stddev,10,6642.542993
income,HColo,grid_stddev,15,14684.8832754
income,HColo,grid_stddev,20,24232.0080791
income,HColo,grid_stddev,30,48544.7885353
income,LK,grid_entropy,5,47.455447328
income,LK,grid_entropy,10,153.368778456
income,LK,grid_entropy,15,304.596328941
income,LK,grid_entropy,20,460.831105829
income,LK,grid_entropy,30,850.082219841
income,LK,grid_stddev,5,1876.67486848
income,LK,grid_stddev,10,6630.25449343
income,LK,grid_stddev,15,14635.329128
income,LK,grid_stddev,20,23888.4374277
income,LK,grid_stddev,30,48208.727005
income,MDS,grid_entropy,5,47.4463219832
income,MDS,grid_entropy,10,153.657659666
income,MDS,grid_entropy,15,307.714517216
income,MDS,grid_entropy,20,468.832716845
income,MDS,grid_entropy,30,870.658025632
income,MDS,grid_stddev,5,1875.12597971
income,MDS,grid_stddev,10,6634.80744919
income,MDS,grid_stddev,15,14763.557802
income,MDS,grid_stddev,20,24377.0830094
income,MDS,grid_stddev,30,49255.681284
