dataset,ordering,metric,parameter,value
iris,TSNE,grid_entropy,5,73.8312893734
iris,TSNE,grid_entropy,10,241.987666019
iris,TSNE,grid_entropy,15,478.317823836
iris,TSNE,grid_entropy,20,729.851687675
iris,TSNE,grid_entropy,30,1392.03912306
iris,TSNE,grid_stddev,5,1420.10745295
iris,TSNE,grid_stddev,10,5588.08240976
iris,TSNE,grid_stddev,15,12204.294918
iris,TSNE,grid_stddev,20,20904.468002
iris,TSNE,grid_stddev,30,45969.8309851
iris,random,grid_entropy,5,74.7544514563
iris,random,grid_entropy,10,241.611513787
iris,random,grid_entropy,15,484.779377086
iris,random,grid_entropy,20,741.459474375
iris,random,grid_entropy,30,1381.83364056
iris,random,grid_stddev,5,1435.4006814
iris,random,grid_stddev,10,5546.45033326
iris,random,grid_stddev,15,12356.7069649
iris,random,grid_stddev,20,21206.7140941
iris,random,grid_stddev,30,44895.1492671
iris,TSPmeans,grid_entropy,5,62.1111391727
iris,TSPmeans,grid_entropy,10,191.318993947
iris,TSPmeans,grid_entropy,15,372.937426301
iris,TSPmeans,grid_entropy,20,567.264020149
iris,TSPmeans,grid_entropy,30,1054.42566412
iris,TSPmeans,grid_stddev,5,815.797442515
iris,TSPmeans,grid_stddev,10,2227.44202498
iris,TSPmeans,grid_stddev,15,4177.09821814
iris,TSPmeans,grid_stddev,20,5761.803854
iris,TSPmeans,grid_stddev,30,11150.6439203
iris,EM,grid_entropy,5,63.0577783535
iris,EM,grid_entropy,10,196.650329855
iris,EM,grid_entropy,15,378.593809614
iris,EM,grid_entropy,20,573.695339309
iris,EM,grid_entropy,30,1069.01836323
iris,EM,grid_stddev,5,832.968594197
iris,EM,grid_stddev,10,2269.74697446
iris,EM,grid_stddev,15,4601.88771849
iris,EM,grid_stddev,20,5852.1787715
iris,EM,grid_stddev,30,11069.3156973
iris,EMmanhattan,grid_entropy,5,61.6532498729
iris,EMmanhattan,grid_entropy,10,191.862595514
iris,EMmanhattan,grid_entropy,15,375.6280035
iris,EMmanhattan,grid_entropy,20,551.440581656
iris,EMmanhattan,grid_entropy,30,1046.04055767
iris,EMmanhattan,grid_stddev,5,820.604517377
iris,EMmanhattan,grid_stddev,10,2288.00036201
iris,EMmanhattan,grid_stddev,15,4600.73753288
iris,EMmanhattan,grid_stddev,20,5994.30803014
iris,EMmanhattan,grid_stddev,30,11246.0212153
iris,HColo,grid_entropy,5,60.924472805
iris,HColo,grid_entropy,10,185.765500846
iris,HColo,grid_entropy,15,367.658483349
iris,HColo,grid_entropy,20,557.186133887
iris,HColo,grid_entropy,30,1040.18065956
iris,HColo,grid_stddev,5,753.43521774
iris,HColo,grid_stddev,10,1889.36964217
iris,HColo,grid_stddev,15,3814.67642611
iris,HColo,grid_stddev,20,5193.06929924
iris,HColo,grid_stddev,30,10175.464678
iris,LK,grid_entropy,5,63.1801901817
iris,LK,grid_entropy,10,196.544108778
iris,LK,grid_entropy,15,377.103842278
iris,LK,grid_entropy,20,567.043880527
iris,LK,grid_entropy,30,1072.02348429
iris,LK,grid_stddev,5,818.933810017
iris,LK,grid_stddev,10,2153.50273536
iris,LK,grid_stddev,15,4527.93451994
iris,LK,grid_stddev,20,5561.68792556
iris,LK,grid_stddev,30,10970.9177283
iris,MDS,grid_entropy,5,61.2983060295
iris,MDS,grid_entropy,10,190.722442122
iris,MDS,grid_entropy,15,382.740864209
iris,MDS,grid_entropy,20,590.281862918
iris,MDS,grid_entropy,30,1104.80491995
iris,MDS,grid_stddev,5,754.043284977
iris,MDS,grid_stddev,10,2104.7801293
iris,MDS,grid_stddev,15,4382.77705197
iris,MDS,grid_stddev,20,6728.08871598
iris,MDS,grid_stddev,30,13389.1407865
