dataset,ordering,metric,parameter,value
magic,TSNE,grid_entropy,5,106.34482339
magic,TSNE,grid_entropy,10,382.805409443
magic,TSNE,grid_entropy,15,862.010272882
magic,TSNE,grid_entropy,20,1447.48787911
magic,TSNE,grid_entropy,30,3104.97359622
magic,TSNE,grid_stddev,5,791.700809152
magic,TSNE,grid_stddev,10,2741.89786402
magic,TSNE,grid_stddev,15,6394.62580375
magic,TSNE,grid_stddev,20,10765.7468604
magic,TSNE,grid_stddev,30,23905.6613498
magic,random,grid_entropy,5,107.355347577
magic,random,grid_entropy,10,392.478941355
magic,random,grid_entropy,15,883.650786018
magic,random,grid_entropy,20,1488.50780037
magic,random,grid_entropy,30,3200.91755623
magic,random,grid_stddev,5,797.94277335
magic,random,grid_stddev,10,2845.64465464
magic,random,grid_stddev,15,6647.42335966
magic,random,grid_stddev,20,11308.9333956
magic,random,grid_stddev,30,25392.0551732
magic,TSPmeans,grid_entropy,5,103.783275202
magic,TSPmeans,grid_entropy,10,364.573387792
magic,TSPmeans,grid_entropy,15,822.185499634
magic,TSPmeans,grid_entropy,20,1363.04734656
magic,TSPmeans,grid_entropy,30,2917.17089752
magic,TSPmeans,grid_stddev,5,736.254262083
magic,TSPmeans,grid_stddev,10,2107.88459193
magic,TSPmeans,grid_stddev,15,5065.99507753
magic,TSPmeans,grid_stddev,20,7662.47370244
magic,TSPmeans,grid_stddev,30,16265.1570601
magic,EM,grid_entropy,5,100.877303075
magic,EM,grid_entropy,10,346.524278371
magic,EM,grid_entropy,15,779.079945631
magic,EM,grid_entropy,20,1295.54731992
magic,EM,grid_entropy,30,2757.38582699
magic,EM,grid_stddev,5,701.889314846
magic,EM,grid_stddev,10,1737.63585984
magic,EM,grid_stddev,15,4218.94211636
magic,EM,grid_stddev,20,6124.99799519
magic,EM,grid_stddev,30,12283.6675991
magic,EMmanhattan,grid_entropy,5,100.546632748
magic,EMmanhattan,grid_entropy,10,343.826409652
magic,EMmanhattan,grid_entropy,15,774.560468523
magic,EMmanhattan,grid_entropy,20,1276.28865825
magic,EMmanhattan,grid_entropy,30,2746.84875715
magic,EMmanhattan,grid_stddev,5,699.074389587
magic,EMmanhattan,grid_stddev,10,1842.59095241
magic,EMmanhattan,grid_stddev,15,4421.41235084
magic,EMmanhattan,grid_stddev,20,6176.1943698
magic,EMmanhattan,grid_stddev,30,12816.4330631
