dataset,ordering,metric,parameter,value
noisy_wave,TSNE,grid_entropy,5,116.86397231
noisy_wave,TSNE,grid_entropy,10,454.008102716
noisy_wave,TSNE,grid_entropy,15,998.56107237
noisy_wave,TSNE,grid_entropy,20,1712.449437
noisy_wave,TSNE,grid_entropy,30,3696.44782638
noisy_wave,TSNE,grid_stddev,5,783.09995621
noisy_wave,TSNE,grid_stddev,10,2924.88449553
noisy_wave,TSNE,grid_stddev,15,6400.85712479
noisy_wave,TSNE,grid_stddev,20,11192.2450163
noisy_wave,TSNE,grid_stddev,30,24886.3056126
noisy_wave,random,grid_entropy,5,118.666790065
noisy_wave,random,grid_entropy,10,467.198551316
noisy_wave,random,grid_entropy,15,1031.19982654
noisy_wave,random,grid_entropy,20,1765.95648511
noisy_wave,random,grid_entropy,30,3801.07900543
noisy_wave,random,grid_stddev,5,839.148229287
noisy_wave,random,grid_stddev,10,3348.90356721
noisy_wave,random,grid_stddev,15,7506.5800109
noisy_wave,random,grid_stddev,20,13318.0158582
noisy_wave,random,grid_stddev,30,29808.2278954
noisy_wave,TSPmeans,grid_entropy,5,117.103461259
noisy_wave,TSPmeans,grid_entropy,10,453.831898585
noisy_wave,TSPmeans,grid_entropy,15,999.812787826
noisy_wave,TSPmeans,grid_entropy,20,1711.49581818
noisy_wave,TSPmeans,grid_entropy,30,3694.59260396
noisy_wave,TSPmeans,grid_stddev,5,787.479902809
noisy_wave,TSPmeans,grid_stddev,10,2905.01863495
noisy_wave,TSPmeans,grid_stddev,15,6397.5366456
noisy_wave,TSPmeans,grid_stddev,20,11128.6580153
noisy_wave,TSPmeans,grid_stddev,30,24688.8163935
noisy_wave,EM,grid_entropy,5,117.115252434
noisy_wave,EM,grid_entropy,10,454.171615495
noisy_wave,EM,grid_entropy,15,999.166017058
noisy_wave,EM,grid_entropy,20,1710.7111682
noisy_wave,EM,grid_entropy,30,3696.29689868
noisy_wave,EM,grid_stddev,5,787.870297218
noisy_wave,EM,grid_stddev,10,2918.28195912
noisy_wave,EM,grid_stddev,15,6393.47714724
noisy_wave,EM,grid_stddev,20,11130.263669
noisy_wave,EM,grid_stddev,30,24722.1644668
noisy_wave,EMmanhattan,grid_entropy,5,116.982174792
noisy_wave,EMmanhattan,grid_entropy,10,453.357662621
noisy_wave,EMmanhattan,grid_entropy,15,998.823788968
noisy_wave,EMmanhattan,grid_entropy,20,1710.28559986
noisy_wave,EMmanhattan,grid_entropy,30,3694.24846783
noisy_wave,EMmanhattan,grid_stddev,5,785.615447692
noisy_wave,EMmanhattan,grid_stddev,10,2900.04102303
noisy_wave,EMmanhattan,grid_stddev,15,6381.51573216
noisy_wave,EMmanhattan,grid_stddev,20,11109.230887
noisy_wave,EMmanhattan,grid_stddev,30,24675.7251047
noisy_wave,HColo,grid_entropy,5,117.659340341
noisy_wave,HColo,grid_entropy,10,456.228261849
noisy_wave,HColo,grid_entropy,15,1004.55947445
noisy_wave,HColo,grid_entropy,20,1719.75697382
noisy_wave,HColo,grid_entropy,30,3710.52570878
noisy_wave,HColo,grid_stddev,5,805.571828687
noisy_wave,HColo,grid_stddev,10,2981.44204731
noisy_wave,HColo,grid_stddev,15,6553.43276603
noisy_wave,HColo,grid_stddev,20,11422.6906571
noisy_wave,HColo,grid_stddev,30,25255.8518288
noisy_wave,LK,grid_entropy,5,118.575516924
noisy_wave,LK,grid_entropy,10,465.165715589
noisy_wave,LK,grid_entropy,15,1025.53804637
noisy_wave,LK,grid_entropy,20,1753.98804985
noisy_wave,LK,grid_entropy,30,3775.68454208
noisy_wave,LK,grid_stddev,5,836.168962396
noisy_wave,LK,grid_stddev,10,3275.24419394
noisy_wave,LK,grid_stddev,15,7265.39347074
noisy_wave,LK,grid_stddev,20,12744.0785769
noisy_wave,LK,grid_stddev,30,28290.2436611
noisy_wave,MDS,grid_entropy,5,117.362494946
noisy_wave,MDS,grid_entropy,10,457.318831563
noisy_wave,MDS,grid_entropy,15,1007.53531083
noisy_wave,MDS,grid_entropy,20,1725.73977368
noisy_wave,MDS,grid_entropy,30,3724.09283082
noisy_wave,MDS,grid_stddev,5,801.204470885
noisy_wave,MDS,grid_stddev,10,3054.23719222
noisy_wave,MDS,grid_stddev,15,6739.33898128
noisy_wave,MDS,grid_stddev,20,11779.2678088
noisy_wave,MDS,grid_stddev,30,26228.9648459
