dataset,ordering,metric,parameter,value
olive,TSNE,grid_entropy,5,93.2107467354
olive,TSNE,grid_entropy,10,301.787801987
olive,TSNE,grid_entropy,15,606.741298483
olive,TSNE,grid_entropy,20,972.420630971
olive,TSNE,grid_entropy,30,1954.01966905
olive,TSNE,grid_stddev,5,1050.09206196
olive,TSNE,grid_stddev,10,2977.22474885
olive,TSNE,grid_stddev,15,6132.20685026
olive,TSNE,grid_stddev,20,9142.88088148
olive,TSNE,grid_stddev,30,18384.7271535
olive,random,grid_entropy,5,99.7892865725
olive,random,grid_entropy,10,338.518832724
olive,random,grid_entropy,15,688.746496681
olive,random,grid_entropy,20,1108.2784671
olive,random,grid_entropy,30,2211.77369312
olive,random,grid_stddev,5,1173.00543877
olive,random,grid_stddev,10,4448.16007577
olive,random,grid_stddev,15,9781.3353902
olive,random,grid_stddev,20,17187.8820024
olive,random,grid_stddev,30,37461.1707843
olive,TSPmeans,grid_entropy,5,90.7206206772
olive,TSPmeans,grid_entropy,10,295.592715119
olive,TSPmeans,grid_entropy,15,595.358809141
olive,TSPmeans,grid_entropy,20,943.528579242
olive,TSPmeans,grid_entropy,30,1899.88641609
olive,TSPmeans,grid_stddev,5,997.905596053
olive,TSPmeans,grid_stddev,10,2654.76061305
olive,TSPmeans,grid_stddev,15,5378.01808123
olive,TSPmeans,grid_stddev,20,7930.33088316
olive,TSPmeans,grid_stddev,30,15550.5816288
olive,EM,grid_entropy,5,91.1880584235
olive,EM,grid_entropy,10,296.939699689
olive,EM,grid_entropy,15,598.592151301
olive,EM,grid_entropy,20,944.633031155
olive,EM,grid_entropy,30,1895.27703577
olive,EM,grid_stddev,5,994.840422997
olive,EM,grid_stddev,10,2729.34309019
olive,EM,grid_stddev,15,5522.15323831
olive,EM,grid_stddev,20,8073.75329547
olive,EM,grid_stddev,30,15784.2902764
olive,EMmanhattan,grid_entropy,5,91.7976268434
olive,EMmanhattan,grid_entropy,10,297.221902758
olive,EMmanhattan,grid_entropy,15,593.295428528
olive,EMmanhattan,grid_entropy,20,947.434412619
olive,EMmanhattan,grid_entropy,30,1880.74354444
olive,EMmanhattan,grid_stddev,5,1019.46555824
olive,EMmanhattan,grid_stddev,10,2852.93680375
olive,EMmanhattan,grid_stddev,15,5594.84656322
olive,EMmanhattan,grid_stddev,20,8258.2293444
olive,EMmanhattan,grid_stddev,30,15666.0418433
olive,HColo,grid_entropy,5,91.9355127407
olive,HColo,grid_entropy,10,299.302311626
olive,HColo,grid_entropy,15,596.53847579
olive,HColo,grid_entropy,20,949.383391496
olive,HColo,grid_entropy,30,1900.74055316
olive,HColo,grid_stddev,5,1013.91294003
olive,HColo,grid_stddev,10,2890.73554302
olive,HColo,grid_stddev,15,5625.39870425
olive,HColo,grid_stddev,20,8171.70175773
olive,HColo,grid_stddev,30,15973.6393938
olive,LK,grid_entropy,5,92.2000349627
olive,LK,grid_entropy,10,300.397680156
olive,LK,grid_entropy,15,597.711908214
olive,LK,grid_entropy,20,946.404304523
olive,LK,grid_entropy,30,1883.36499401
olive,LK,grid_stddev,5,1002.22849416
olive,LK,grid_stddev,10,2904.14982311
olive,LK,grid_stddev,15,5740.54575243
olive,LK,grid_stddev,20,8424.70864792
olive,LK,grid_stddev,30,16143.3067656
olive,MDS,grid_entropy,5,95.788396076
olive,MDS,grid_entropy,10,314.776144167
olive,MDS,grid_entropy,15,631.535107198
olive,MDS,grid_entropy,20,1014.4521653
olive,MDS,grid_entropy,30,2023.80090981
olive,MDS,grid_stddev,5,1110.7162043
olive,MDS,grid_stddev,10,3707.62333248
olive,MDS,grid_stddev,15,7548.29384874
olive,MDS,grid_stddev,20,12795.487625
olive,MDS,grid_stddev,30,25367.1520884
