dataset,ordering,metric,parameter,value
parkinson,TSNE,grid_entropy,5,103.181600783
parkinson,TSNE,grid_entropy,10,348.825941951
parkinson,TSNE,grid_entropy,15,671.118211843
parkinson,TSNE,grid_entropy,20,1058.3339104
parkinson,TSNE,grid_entropy,30,1952.56844156
parkinson,TSNE,grid_stddev,5,1127.24617702
parkinson,TSNE,grid_stddev,10,4130.4309441
parkinson,TSNE,grid_stddev,15,8834.75696503
parkinson,TSNE,grid_stddev,20,15223.1260107
parkinson,TSNE,grid_stddev,30,31893.050792
parkinson,random,grid_entropy,5,103.136829161
parkinson,random,grid_entropy,10,348.379109562
parkinson,random,grid_entropy,15,669.883273177
parkinson,random,grid_entropy,20,1054.59851479
parkinson,random,grid_entropy,30,1950.33960996
parkinson,random,grid_stddev,5,1117.76542814
parkinson,random,grid_stddev,10,4057.04820048
parkinson,random,grid_stddev,15,8729.07332275
parkinson,random,grid_stddev,20,15059.871112
parkinson,random,grid_stddev,30,31463.5356087
parkinson,TSPmeans,grid_entropy,5,101.466720198
parkinson,TSPmeans,grid_entropy,10,339.558331791
parkinson,TSPmeans,grid_entropy,15,649.180025232
parkinson,TSPmeans,grid_entropy,20,1019.63067652
parkinson,TSPmeans,grid_entropy,30,1878.64645437
parkinson,TSPmeans,grid_stddev,5,1057.93667649
parkinson,TSPmeans,grid_stddev,10,3663.37243201
parkinson,TSPmeans,grid_stddev,15,7463.12640745
parkinson,TSPmeans,grid_stddev,20,12261.8136586
parkinson,TSPmeans,grid_stddev,30,24931.7423572
parkinson,EM,grid_entropy,5,97.7317380722
parkinson,EM,grid_entropy,10,325.998389537
parkinson,EM,grid_entropy,15,625.672720775
parkinson,EM,grid_entropy,20,983.303206911
parkinson,EM,grid_entropy,30,1803.8496839
parkinson,EM,grid_stddev,5,895.149042448
parkinson,EM,grid_stddev,10,3077.38850421
parkinson,EM,grid_stddev,15,5801.44692596
parkinson,EM,grid_stddev,20,9659.22361021
parkinson,EM,grid_stddev,30,18061.6233502
parkinson,EMmanhattan,grid_entropy,5,98.0981073692
parkinson,EMmanhattan,grid_entropy,10,327.293313885
parkinson,EMmanhattan,grid_entropy,15,624.486995641
parkinson,EMmanhattan,grid_entropy,20,983.701517926
parkinson,EMmanhattan,grid_entropy,30,1801.30621306
parkinson,EMmanhattan,grid_stddev,5,939.290105477
parkinson,EMmanhattan,grid_stddev,10,3111.94971163
parkinson,EMmanhattan,grid_stddev,15,5869.21863332
parkinson,EMmanhattan,grid_stddev,20,9721.4414504
parkinson,EMmanhattan,grid_stddev,30,17949.4492459
parkinson,HColo,grid_entropy,5,101.666699522
parkinson,HColo,grid_entropy,10,338.118257993
parkinson,HColo,grid_entropy,15,647.689316787
parkinson,HColo,grid_entropy,20,1017.77550525
parkinson,HColo,grid_entropy,30,1871.64177409
parkinson,HColo,grid_stddev,5,1048.62197348
parkinson,HColo,grid_stddev,10,3643.7231875
parkinson,HColo,grid_stddev,15,7508.03762875
parkinson,HColo,grid_stddev,20,12132.2774203
parkinson,HColo,grid_stddev,30,24683.7014779
parkinson,LK,grid_entropy,5,101.920861058
parkinson,LK,grid_entropy,10,339.719569576
parkinson,LK,grid_entropy,15,647.914703328
parkinson,LK,grid_entropy,20,1022.53961232
parkinson,LK,grid_entropy,30,1872.83399966
parkinson,LK,grid_stddev,5,1053.36188773
parkinson,LK,grid_stddev,10,3597.0051339
parkinson,LK,grid_stddev,15,7216.40404913
parkinson,LK,grid_stddev,20,11946.0548998
parkinson,LK,grid_stddev,30,23819.1766251
parkinson,MDS,grid_entropy,5,101.711962991
parkinson,MDS,grid_entropy,10,340.497027468
parkinson,MDS,grid_entropy,15,653.482755687
parkinson,MDS,grid_entropy,20,1023.65721342
parkinson,MDS,grid_entropy,30,1894.51058255
parkinson,MDS,grid_stddev,5,1076.73936885
parkinson,MDS,grid_stddev,10,3709.94178193
parkinson,MDS,grid_stddev,15,7808.75377975
parkinson,MDS,grid_stddev,20,13311.9017665
parkinson,MDS,grid_stddev,30,27121.4616997
