dataset,ordering,metric,parameter,value
subway,TSNE,grid_entropy,5,78.1860125378
subway,TSNE,grid_entropy,10,276.876856887
subway,TSNE,grid_entropy,15,582.850598871
subway,TSNE,grid_entropy,20,969.172371635
subway,TSNE,grid_entropy,30,1977.6198047
subway,TSNE,grid_stddev,5,917.118818109
subway,TSNE,grid_stddev,10,2779.26958387
subway,TSNE,grid_stddev,15,5472.33842708
subway,TSNE,grid_stddev,20,8540.85314523
subway,TSNE,grid_stddev,30,17241.3449457
subway,random,grid_entropy,5,86.1915351874
subway,random,grid_entropy,10,326.026022665
subway,random,grid_entropy,15,695.190705507
subway,random,grid_entropy,20,1176.02422422
subway,random,grid_entropy,30,2371.52958275
subway,random,grid_stddev,5,1146.80168109
subway,random,grid_stddev,10,4266.96017216
subway,random,grid_stddev,15,9396.48327181
subway,random,grid_stddev,20,16245.6754582
subway,random,grid_stddev,30,35434.088235
subway,TSPmeans,grid_entropy,5,76.2771194116
subway,TSPmeans,grid_entropy,10,272.296716967
subway,TSPmeans,grid_entropy,15,558.895271824
subway,TSPmeans,grid_entropy,20,945.293697338
subway,TSPmeans,grid_entropy,30,1915.93896915
subway,TSPmeans,grid_stddev,5,949.616483125
subway,TSPmeans,grid_stddev,10,2987.71774694
subway,TSPmeans,grid_stddev,15,5632.85821381
subway,TSPmeans,grid_stddev,20,9923.06728618
subway,TSPmeans,grid_stddev,30,18685.2927811
subway,EM,grid_entropy,5,77.6895930223
subway,EM,grid_entropy,10,272.213924881
subway,EM,grid_entropy,15,565.919068584
subway,EM,grid_entropy,20,947.918672426
subway,EM,grid_entropy,30,1916.30543396
subway,EM,grid_stddev,5,1007.20030168
subway,EM,grid_stddev,10,3381.36829562
subway,EM,grid_stddev,15,6187.87252748
subway,EM,grid_stddev,20,10443.3277614
subway,EM,grid_stddev,30,19594.3709354
subway,EMmanhattan,grid_entropy,5,76.3738338113
subway,EMmanhattan,grid_entropy,10,266.590373722
subway,EMmanhattan,grid_entropy,15,542.863341941
subway,EMmanhattan,grid_entropy,20,928.145251918
subway,EMmanhattan,grid_entropy,30,1871.84305121
subway,EMmanhattan,grid_stddev,5,950.399966402
subway,EMmanhattan,grid_stddev,10,2895.63586822
subway,EMmanhattan,grid_stddev,15,5378.49092445
subway,EMmanhattan,grid_stddev,20,9306.00033089
subway,EMmanhattan,grid_stddev,30,17471.6461068
subway,HColo,grid_entropy,5,76.1174370011
subway,HColo,grid_entropy,10,267.750940228
subway,HColo,grid_entropy,15,552.05706839
subway,HColo,grid_entropy,20,927.291273261
subway,HColo,grid_entropy,30,1888.5495747
subway,HColo,grid_stddev,5,945.702060684
subway,HColo,grid_stddev,10,3035.92959865
subway,HColo,grid_stddev,15,5575.73188031
subway,HColo,grid_stddev,20,7984.656227
subway,HColo,grid_stddev,30,16808.0550229
subway,LK,grid_entropy,5,78.167879672
subway,LK,grid_entropy,10,279.20313686
subway,LK,grid_entropy,15,582.03500114
subway,LK,grid_entropy,20,964.912258666
subway,LK,grid_entropy,30,1968.42113867
subway,LK,grid_stddev,5,974.77729747
subway,LK,grid_stddev,10,2904.86479134
subway,LK,grid_stddev,15,6068.60461834
subway,LK,grid_stddev,20,9750.57338318
subway,LK,grid_stddev,30,17870.8767298
subway,MDS,grid_entropy,5,74.8354873487
subway,MDS,grid_entropy,10,270.762354454
subway,MDS,grid_entropy,15,569.972045915
subway,MDS,grid_entropy,20,964.095249702
subway,MDS,grid_entropy,30,1990.9977282
subway,MDS,grid_stddev,5,993.633028633
subway,MDS,grid_stddev,10,3278.11418077
subway,MDS,grid_stddev,15,6843.72686825
subway,MDS,grid_stddev,20,11593.4733744
subway,MDS,grid_stddev,30,24432.6693781
