dataset,ordering,metric,parameter,value
traffic,TSNE,grid_entropy,5,52.0349373247
traffic,TSNE,grid_entropy,10,196.871894728
traffic,TSNE,grid_entropy,15,423.640999172
traffic,TSNE,grid_entropy,20,744.152449686
traffic,TSNE,grid_entropy,30,1643.603329
traffic,TSNE,grid_stddev,5,440.418001261
traffic,TSNE,grid_stddev,10,1610.07024891
traffic,TSNE,grid_stddev,15,3127.26952299
traffic,TSNE,grid_stddev,20,5455.41712094
traffic,TSNE,grid_stddev,30,11644.3506601
traffic,random,grid_entropy,5,56.3036052538
traffic,random,grid_entropy,10,223.815359656
traffic,random,grid_entropy,15,500.958360474
traffic,random,grid_entropy,20,888.480162888
traffic,random,grid_entropy,30,1992.60326163
traffic,random,grid_stddev,5,521.390562237
traffic,random,grid_stddev,10,2051.61912711
traffic,random,grid_stddev,15,4543.1976818
traffic,random,grid_stddev,20,8036.48332125
traffic,random,grid_stddev,30,17963.6383313
traffic,TSPmeans,grid_entropy,5,48.9024168292
traffic,TSPmeans,grid_entropy,10,187.650311447
traffic,TSPmeans,grid_entropy,15,410.506179165
traffic,TSPmeans,grid_entropy,20,714.430730177
traffic,TSPmeans,grid_entropy,30,1580.39184075
traffic,TSPmeans,grid_stddev,5,378.514148224
traffic,TSPmeans,grid_stddev,10,1361.80978029
traffic,TSPmeans,grid_stddev,15,2862.65734598
traffic,TSPmeans,grid_stddev,20,4808.41956446
traffic,TSPmeans,grid_stddev,30,10521.3682256
traffic,EM,grid_entropy,5,48.5514544692
traffic,EM,grid_entropy,10,184.456022314
traffic,EM,grid_entropy,15,407.777947634
traffic,EM,grid_entropy,20,708.239646437
traffic,EM,grid_entropy,30,1574.46857996
traffic,EM,grid_stddev,5,374.195703051
traffic,EM,grid_stddev,10,1318.94808862
traffic,EM,grid_stddev,15,2798.42542491
traffic,EM,grid_stddev,20,4735.5912714
traffic,EM,grid_stddev,30,10402.8830445
traffic,EMmanhattan,grid_entropy,5,53.6982353036
traffic,EMmanhattan,grid_entropy,10,203.905177621
traffic,EMmanhattan,grid_entropy,15,445.120693671
traffic,EMmanhattan,grid_entropy,20,784.398055339
traffic,EMmanhattan,grid_entropy,30,1701.18407143
traffic,EMmanhattan,grid_stddev,5,487.852040245
traffic,EMmanhattan,grid_stddev,10,1755.02693132
traffic,EMmanhattan,grid_stddev,15,3692.40533132
traffic,EMmanhattan,grid_stddev,20,6425.83474196
traffic,EMmanhattan,grid_stddev,30,13170.081084
traffic,HColo,grid_entropy,5,49.0898888647
traffic,HColo,grid_entropy,10,187.111994644
traffic,HColo,grid_entropy,15,410.028089222
traffic,HColo,grid_entropy,20,722.384957713
traffic,HColo,grid_entropy,30,1599.82896972
traffic,HColo,grid_stddev,5,383.598618518
traffic,HColo,grid_stddev,10,1357.02084781
traffic,HColo,grid_stddev,15,2859.39281645
traffic,HColo,grid_stddev,20,4977.45254124
traffic,HColo,grid_stddev,30,10783.7325565
traffic,LK,grid_entropy,5,51.6288492456
traffic,LK,grid_entropy,10,193.907839664
traffic,LK,grid_entropy,15,420.505311897
traffic,LK,grid_entropy,20,742.415759982
traffic,LK,grid_entropy,30,1640.56139267
traffic,LK,grid_stddev,5,430.162983767
traffic,LK,grid_stddev,10,1455.99061328
traffic,LK,grid_stddev,15,3002.08837637
traffic,LK,grid_stddev,20,5245.90749206
traffic,LK,grid_stddev,30,11278.1594031
traffic,MDS,grid_entropy,5,49.0764221498
traffic,MDS,grid_entropy,10,188.9086508
traffic,MDS,grid_entropy,15,412.983397893
traffic,MDS,grid_entropy,20,724.565502814
traffic,MDS,grid_entropy,30,1623.66664363
traffic,MDS,grid_stddev,5,380.684398653
traffic,MDS,grid_stddev,10,1375.32848358
traffic,MDS,grid_stddev,15,2873.90181538
traffic,MDS,grid_stddev,20,4999.09701138
traffic,MDS,grid_stddev,30,11064.4778646
