dataset,ordering,metric,parameter,value
waveform,TSNE,grid_entropy,5,114.564458236
waveform,TSNE,grid_entropy,10,438.798208332
waveform,TSNE,grid_entropy,15,953.262032068
waveform,TSNE,grid_entropy,20,1644.60497479
waveform,TSNE,grid_entropy,30,3511.22846506
waveform,TSNE,grid_stddev,5,727.798764132
waveform,TSNE,grid_stddev,10,2601.84896784
waveform,TSNE,grid_stddev,15,5524.85413734
waveform,TSNE,grid_stddev,20,9585.8173416
waveform,TSNE,grid_stddev,30,21014.326407
waveform,random,grid_entropy,5,119.015166024
waveform,random,grid_entropy,10,465.125482886
waveform,random,grid_entropy,15,1014.23350802
waveform,random,grid_entropy,20,1750.22658023
waveform,random,grid_entropy,30,3699.33659785
waveform,random,grid_stddev,5,872.0601414
waveform,random,grid_stddev,10,3464.68807622
waveform,random,grid_stddev,15,7742.88861781
waveform,random,grid_stddev,20,13744.5911018
waveform,random,grid_stddev,30,30784.1713926
waveform,TSPmeans,grid_entropy,5,113.955875644
waveform,TSPmeans,grid_entropy,10,437.514933659
waveform,TSPmeans,grid_entropy,15,952.208365457
waveform,TSPmeans,grid_entropy,20,1645.20352205
waveform,TSPmeans,grid_entropy,30,3509.93727408
waveform,TSPmeans,grid_stddev,5,701.43178232
waveform,TSPmeans,grid_stddev,10,2540.72919451
waveform,TSPmeans,grid_stddev,15,5445.34534521
waveform,TSPmeans,grid_stddev,20,9565.31784928
waveform,TSPmeans,grid_stddev,30,20867.8157183
waveform,EM,grid_entropy,5,114.073032091
waveform,EM,grid_entropy,10,438.614549414
waveform,EM,grid_entropy,15,952.970952766
waveform,EM,grid_entropy,20,1647.33267319
waveform,EM,grid_entropy,30,3510.7331143
waveform,EM,grid_stddev,5,705.242456503
waveform,EM,grid_stddev,10,2560.69784553
waveform,EM,grid_stddev,15,5458.70245409
waveform,EM,grid_stddev,20,9558.96289905
waveform,EM,grid_stddev,30,20841.1323815
waveform,EMmanhattan,grid_entropy,5,113.896496929
waveform,EMmanhattan,grid_entropy,10,436.771401871
waveform,EMmanhattan,grid_entropy,15,953.671831882
waveform,EMmanhattan,grid_entropy,20,1645.68086301
waveform,EMmanhattan,grid_entropy,30,3507.81655
waveform,EMmanhattan,grid_stddev,5,701.841792991
waveform,EMmanhattan,grid_stddev,10,2522.06277575
waveform,EMmanhattan,grid_stddev,15,5483.13213704
waveform,EMmanhattan,grid_stddev,20,9582.24062469
waveform,EMmanhattan,grid_stddev,30,20893.855859
waveform,HColo,grid_entropy,5,114.007431198
waveform,HColo,grid_entropy,10,438.573060039
waveform,HColo,grid_entropy,15,957.576331267
waveform,HColo,grid_entropy,20,1652.45984396
waveform,HColo,grid_entropy,30,3525.47291901
waveform,HColo,grid_stddev,5,702.81957407
waveform,HColo,grid_stddev,10,2566.77847166
waveform,HColo,grid_stddev,15,5599.82039349
waveform,HColo,grid_stddev,20,9768.36316355
waveform,HColo,grid_stddev,30,21502.314972
waveform,LK,grid_entropy,5,118.545242375
waveform,LK,grid_entropy,10,461.631855715
waveform,LK,grid_entropy,15,1004.33420025
waveform,LK,grid_entropy,20,1732.33737019
waveform,LK,grid_entropy,30,3630.91481493
waveform,LK,grid_stddev,5,853.864314813
waveform,LK,grid_stddev,10,3333.74540792
waveform,LK,grid_stddev,15,7344.55349008
waveform,LK,grid_stddev,20,12953.4270714
waveform,LK,grid_stddev,30,26599.8096922
waveform,MDS,grid_entropy,5,114.101934691
waveform,MDS,grid_entropy,10,441.394451578
waveform,MDS,grid_entropy,15,963.914415785
waveform,MDS,grid_entropy,20,1665.41627456
waveform,MDS,grid_entropy,30,3554.12822706
waveform,MDS,grid_stddev,5,717.404783344
waveform,MDS,grid_stddev,10,2706.77380235
waveform,MDS,grid_stddev,15,5929.1888286
waveform,MDS,grid_stddev,20,10426.4011102
waveform,MDS,grid_stddev,30,23146.3222423
