dataset,ordering,metric,parameter,value
wdbc,TSNE,grid_entropy,5,108.660468913
wdbc,TSNE,grid_entropy,10,391.035839995
wdbc,TSNE,grid_entropy,15,784.343306292
wdbc,TSNE,grid_entropy,20,1318.29124577
wdbc,TSNE,grid_entropy,30,2291.64007147
wdbc,TSNE,grid_stddev,5,810.008813667
wdbc,TSNE,grid_stddev,10,2907.571884
wdbc,TSNE,grid_stddev,15,5736.03281622
wdbc,TSNE,grid_stddev,20,10117.1438211
wdbc,TSNE,grid_stddev,30,18007.2509222
wdbc,random,grid_entropy,5,110.310676041
wdbc,random,grid_entropy,10,408.899614563
wdbc,random,grid_entropy,15,831.167715854
wdbc,random,grid_entropy,20,1401.56062549
wdbc,random,grid_entropy,30,2454.90080332
wdbc,random,grid_stddev,5,833.789614814
wdbc,random,grid_stddev,10,3252.62734644
wdbc,random,grid_stddev,15,6861.77280018
wdbc,random,grid_stddev,20,12230.6760432
wdbc,random,grid_stddev,30,24478.5379322
wdbc,TSPmeans,grid_entropy,5,107.392088679
wdbc,TSPmeans,grid_entropy,10,387.228711545
wdbc,TSPmeans,grid_entropy,15,779.612355418
wdbc,TSPmeans,grid_entropy,20,1309.0999759
wdbc,TSPmeans,grid_entropy,30,2262.53906071
wdbc,TSPmeans,grid_stddev,5,760.452486998
wdbc,TSPmeans,grid_stddev,10,2795.19238102
wdbc,TSPmeans,grid_stddev,15,5397.53735363
wdbc,TSPmeans,grid_stddev,20,9762.63684347
wdbc,TSPmeans,grid_stddev,30,16366.7879429
wdbc,EM,grid_entropy,5,106.597962668
wdbc,EM,grid_entropy,10,388.293759573
wdbc,EM,grid_entropy,15,781.837024372
wdbc,EM,grid_entropy,20,1318.3757743
wdbc,EM,grid_entropy,30,2288.47993103
wdbc,EM,grid_stddev,5,713.898827186
wdbc,EM,grid_stddev,10,2581.59935856
wdbc,EM,grid_stddev,15,4788.06467851
wdbc,EM,grid_stddev,20,8467.22173719
wdbc,EM,grid_stddev,30,12948.5868073
wdbc,EMmanhattan,grid_entropy,5,106.310963772
wdbc,EMmanhattan,grid_entropy,10,385.293046056
wdbc,EMmanhattan,grid_entropy,15,776.117718612
wdbc,EMmanhattan,grid_entropy,20,1311.270898
wdbc,EMmanhattan,grid_entropy,30,2276.57662869
wdbc,EMmanhattan,grid_stddev,5,710.045698206
wdbc,EMmanhattan,grid_stddev,10,2545.94057639
wdbc,EMmanhattan,grid_stddev,15,4731.8600838
wdbc,EMmanhattan,grid_stddev,20,8360.91708916
wdbc,EMmanhattan,grid_stddev,30,13011.3733977
wdbc,HColo,grid_entropy,5,106.749405947
wdbc,HColo,grid_entropy,10,387.104805327
wdbc,HColo,grid_entropy,15,778.262978838
wdbc,HColo,grid_entropy,20,1307.76132018
wdbc,HColo,grid_entropy,30,2264.96796348
wdbc,HColo,grid_stddev,5,743.392373057
wdbc,HColo,grid_stddev,10,2759.03243962
wdbc,HColo,grid_stddev,15,5354.33242888
wdbc,HColo,grid_stddev,20,9612.73989789
wdbc,HColo,grid_stddev,30,16339.8384684
wdbc,LK,grid_entropy,5,107.354189866
wdbc,LK,grid_entropy,10,388.19416422
wdbc,LK,grid_entropy,15,781.518016398
wdbc,LK,grid_entropy,20,1309.97608891
wdbc,LK,grid_entropy,30,2263.61118268
wdbc,LK,grid_stddev,5,750.722303893
wdbc,LK,grid_stddev,10,2748.05325729
wdbc,LK,grid_stddev,15,5340.16202282
wdbc,LK,grid_stddev,20,9695.03789561
wdbc,LK,grid_stddev,30,16474.0903399
wdbc,MDS,grid_entropy,5,107.442395312
wdbc,MDS,grid_entropy,10,387.187847349
wdbc,MDS,grid_entropy,15,782.216660101
wdbc,MDS,grid_entropy,20,1311.85509352
wdbc,MDS,grid_entropy,30,2275.02775972
wdbc,MDS,grid_stddev,5,764.710917174
wdbc,MDS,grid_stddev,10,2806.36222376
wdbc,MDS,grid_stddev,15,5528.58076371
wdbc,MDS,grid_stddev,20,9888.84064379
wdbc,MDS,grid_stddev,30,17175.4984483
