dataset,ordering,metric,parameter,value
wine,TSNE,grid_entropy,5,103.710120219
wine,TSNE,grid_entropy,10,330.692044034
wine,TSNE,grid_entropy,15,628.262854529
wine,TSNE,grid_entropy,20,983.239551327
wine,TSNE,grid_entropy,30,1807.83916637
wine,TSNE,grid_stddev,5,1166.04387426
wine,TSNE,grid_stddev,10,4511.09939117
wine,TSNE,grid_stddev,15,9821.75561885
wine,TSNE,grid_stddev,20,16828.2915295
wine,TSNE,grid_stddev,30,35914.941144
wine,random,grid_entropy,5,103.867297539
wine,random,grid_entropy,10,331.354817453
wine,random,grid_entropy,15,629.007533494
wine,random,grid_entropy,20,981.158924806
wine,random,grid_entropy,30,1805.95516373
wine,random,grid_stddev,5,1169.27300513
wine,random,grid_stddev,10,4519.33743007
wine,random,grid_stddev,15,9799.00871625
wine,random,grid_stddev,20,16921.9948005
wine,random,grid_stddev,30,36119.960941
wine,TSPmeans,grid_entropy,5,101.887397285
wine,TSPmeans,grid_entropy,10,321.967439437
wine,TSPmeans,grid_entropy,15,610.550425208
wine,TSPmeans,grid_entropy,20,955.021995051
wine,TSPmeans,grid_entropy,30,1761.05852523
wine,TSPmeans,grid_stddev,5,1110.08661123
wine,TSPmeans,grid_stddev,10,4086.601119
wine,TSPmeans,grid_stddev,15,8379.48595407
wine,TSPmeans,grid_stddev,20,14171.0998814
wine,TSPmeans,grid_stddev,30,29592.0188881
wine,EM,grid_entropy,5,100.769190595
wine,EM,grid_entropy,10,319.245996178
wine,EM,grid_entropy,15,609.666407079
wine,EM,grid_entropy,20,948.193933904
wine,EM,grid_entropy,30,1751.48383597
wine,EM,grid_stddev,5,1049.8778856
wine,EM,grid_stddev,10,3627.43551591
wine,EM,grid_stddev,15,7216.24334733
wine,EM,grid_stddev,20,11803.6986168
wine,EM,grid_stddev,30,22704.5245463
wine,EMmanhattan,grid_entropy,5,100.615556058
wine,EMmanhattan,grid_entropy,10,319.081367357
wine,EMmanhattan,grid_entropy,15,605.779081368
wine,EMmanhattan,grid_entropy,20,947.527368449
wine,EMmanhattan,grid_entropy,30,1747.87867438
wine,EMmanhattan,grid_stddev,5,1046.56687292
wine,EMmanhattan,grid_stddev,10,3612.17361041
wine,EMmanhattan,grid_stddev,15,7055.57566646
wine,EMmanhattan,grid_stddev,20,11430.8280904
wine,EMmanhattan,grid_stddev,30,22528.7869196
wine,HColo,grid_entropy,5,101.79731528
wine,HColo,grid_entropy,10,322.405247034
wine,HColo,grid_entropy,15,613.159261747
wine,HColo,grid_entropy,20,953.644690976
wine,HColo,grid_entropy,30,1757.2602512
wine,HColo,grid_stddev,5,1102.77506676
wine,HColo,grid_stddev,10,4055.0606647
wine,HColo,grid_stddev,15,8332.73478396
wine,HColo,grid_stddev,20,14175.9321141
wine,HColo,grid_stddev,30,29067.3919506
wine,LK,grid_entropy,5,102.004917362
wine,LK,grid_entropy,10,323.104010635
wine,LK,grid_entropy,15,613.759193152
wine,LK,grid_entropy,20,959.316433307
wine,LK,grid_entropy,30,1765.42490718
wine,LK,grid_stddev,5,1109.75894425
wine,LK,grid_stddev,10,4039.97206599
wine,LK,grid_stddev,15,8287.21626317
wine,LK,grid_stddev,20,14271.8973849
wine,LK,grid_stddev,30,28993.3575242
wine,MDS,grid_entropy,5,101.567344855
wine,MDS,grid_entropy,10,322.373009623
wine,MDS,grid_entropy,15,610.44858152
wine,MDS,grid_entropy,20,954.195399186
wine,MDS,grid_entropy,30,1752.26187923
wine,MDS,grid_stddev,5,1112.89815682
wine,MDS,grid_stddev,10,4105.99416285
wine,MDS,grid_stddev,15,8445.88169867
wine,MDS,grid_stddev,20,14479.5868023
wine,MDS,grid_stddev,30,29931.5808659
