dataset,ordering,metric,parameter,value
yeast,TSNE,grid_entropy,5,73.3420134334
yeast,TSNE,grid_entropy,10,247.317937734
yeast,TSNE,grid_entropy,15,523.658320943
yeast,TSNE,grid_entropy,20,862.224076243
yeast,TSNE,grid_entropy,30,1848.31366626
yeast,TSNE,grid_stddev,5,967.791942526
yeast,TSNE,grid_stddev,10,2587.53715276
yeast,TSNE,grid_stddev,15,4811.41207274
yeast,TSNE,grid_stddev,20,6419.68231616
yeast,TSNE,grid_stddev,30,14548.6678856
yeast,random,grid_entropy,5,76.0232654613
yeast,random,grid_entropy,10,264.696443922
yeast,random,grid_entropy,15,565.414831163
yeast,random,grid_entropy,20,942.70450944
yeast,random,grid_entropy,30,2024.41273415
yeast,random,grid_stddev,5,1039.56080448
yeast,random,grid_stddev,10,3265.59964918
yeast,random,grid_stddev,15,6584.54317037
yeast,random,grid_stddev,20,10094.8461373
yeast,random,grid_stddev,30,23228.6883912
yeast,TSPmeans,grid_entropy,5,72.9745756102
yeast,TSPmeans,grid_entropy,10,247.923961718
yeast,TSPmeans,grid_entropy,15,521.851978941
yeast,TSPmeans,grid_entropy,20,857.180705796
yeast,TSPmeans,grid_entropy,30,1844.58817386
yeast,TSPmeans,grid_stddev,5,966.10623236
yeast,TSPmeans,grid_stddev,10,2663.80390079
yeast,TSPmeans,grid_stddev,15,4888.94222266
yeast,TSPmeans,grid_stddev,20,6410.60504213
yeast,TSPmeans,grid_stddev,30,15042.9059038
yeast,EM,grid_entropy,5,72.9911053051
yeast,EM,grid_entropy,10,246.989306269
yeast,EM,grid_entropy,15,522.717187607
yeast,EM,grid_entropy,20,858.965466432
yeast,EM,grid_entropy,30,1838.6745591
yeast,EM,grid_stddev,5,966.850207215
yeast,EM,grid_stddev,10,2548.39370948
yeast,EM,grid_stddev,15,4786.40218127
yeast,EM,grid_stddev,20,6273.81133145
yeast,EM,grid_stddev,30,14669.6291867
yeast,EMmanhattan,grid_entropy,5,73.5458107243
yeast,EMmanhattan,grid_entropy,10,247.246007916
yeast,EMmanhattan,grid_entropy,15,520.358324166
yeast,EMmanhattan,grid_entropy,20,860.547934228
yeast,EMmanhattan,grid_entropy,30,1837.83757498
yeast,EMmanhattan,grid_stddev,5,987.920039756
yeast,EMmanhattan,grid_stddev,10,2611.03837792
yeast,EMmanhattan,grid_stddev,15,4764.83240122
yeast,EMmanhattan,grid_stddev,20,6291.80452792
yeast,EMmanhattan,grid_stddev,30,14592.7314687
yeast,HColo,grid_entropy,5,73.2281509857
yeast,HColo,grid_entropy,10,248.811668949
yeast,HColo,grid_entropy,15,527.209494013
yeast,HColo,grid_entropy,20,861.159381661
yeast,HColo,grid_entropy,30,1840.20742087
yeast,HColo,grid_stddev,5,962.503302668
yeast,HColo,grid_stddev,10,2588.98026934
yeast,HColo,grid_stddev,15,4881.14857707
yeast,HColo,grid_stddev,20,6304.76258286
yeast,HColo,grid_stddev,30,14616.0065282
yeast,LK,grid_entropy,5,74.3709032517
yeast,LK,grid_entropy,10,255.434754551
yeast,LK,grid_entropy,15,540.798948161
yeast,LK,grid_entropy,20,895.923741348
yeast,LK,grid_entropy,30,1889.40840625
yeast,LK,grid_stddev,5,1004.70844726
yeast,LK,grid_stddev,10,2734.16028002
yeast,LK,grid_stddev,15,5212.59334766
yeast,LK,grid_stddev,20,7428.53028387
yeast,LK,grid_stddev,30,15738.6054494
yeast,MDS,grid_entropy,5,73.8675030046
yeast,MDS,grid_entropy,10,254.361113792
yeast,MDS,grid_entropy,15,544.059110306
yeast,MDS,grid_entropy,20,903.542298909
yeast,MDS,grid_entropy,30,1945.08154313
yeast,MDS,grid_stddev,5,985.617376482
yeast,MDS,grid_stddev,10,2772.46647545
yeast,MDS,grid_stddev,15,5399.40098442
yeast,MDS,grid_stddev,20,7709.51956251
yeast,MDS,grid_stddev,30,18353.2995697
