dataset,ordering,metric,parameter,value
abalone,TSNE,outliers,0.5,0.00018698578908
abalone,TSNE,outliers,0.4,0.00018698578908
abalone,TSNE,outliers,0.3,0.00018698578908
abalone,TSNE,outliers,0.2,0.00028047868362
abalone,TSNE,outliers,0.1,0.00074794315632
abalone,TSNE,outliers,0.075,0.00177636499626
abalone,TSNE,outliers,0.05,0.00383320867614
abalone,TSNE,outliers,0.025,0.0167352281227
abalone,TSNE,outliers,0.01,0.100411368736
abalone,TSNE,outliers,0.005,0.281039640987
abalone,TSNE,outliers,0.001,0.676047120419
abalone,random,outliers,0.5,0.00018698578908
abalone,random,outliers,0.4,0.00018698578908
abalone,random,outliers,0.3,0.00018698578908
abalone,random,outliers,0.2,0.00028047868362
abalone,random,outliers,0.1,0.00074794315632
abalone,random,outliers,0.075,0.00177636499626
abalone,random,outliers,0.05,0.0042071802543
abalone,random,outliers,0.025,0.0165482423336
abalone,random,outliers,0.01,0.0949887808527
abalone,random,outliers,0.005,0.272812266268
abalone,random,outliers,0.001,0.65856394914
abalone,TSPmeans,outliers,0.5,0.00018698578908
abalone,TSPmeans,outliers,0.4,0.00018698578908
abalone,TSPmeans,outliers,0.3,0.00018698578908
abalone,TSPmeans,outliers,0.2,0.00037397157816
abalone,TSPmeans,outliers,0.1,0.00084143605086
abalone,TSPmeans,outliers,0.075,0.00130890052356
abalone,TSPmeans,outliers,0.05,0.00336574420344
abalone,TSPmeans,outliers,0.025,0.0153328347046
abalone,TSPmeans,outliers,0.01,0.0959237097981
abalone,TSPmeans,outliers,0.005,0.268792071803
abalone,TSPmeans,outliers,0.001,0.6626776365
abalone,EM,outliers,0.5,0.00018698578908
abalone,EM,outliers,0.4,0.00018698578908
abalone,EM,outliers,0.3,0.00018698578908
abalone,EM,outliers,0.2,0.00028047868362
abalone,EM,outliers,0.1,0.00074794315632
abalone,EM,outliers,0.075,0.0014023934181
abalone,EM,outliers,0.05,0.00336574420344
abalone,EM,outliers,0.025,0.0154263275991
abalone,EM,outliers,0.01,0.0932124158564
abalone,EM,outliers,0.005,0.273747195213
abalone,EM,outliers,0.001,0.656881077038
abalone,EMmanhattan,outliers,0.5,0.00018698578908
abalone,EMmanhattan,outliers,0.4,0.00018698578908
abalone,EMmanhattan,outliers,0.3,0.00018698578908
abalone,EMmanhattan,outliers,0.2,0.00028047868362
abalone,EMmanhattan,outliers,0.1,0.0009349289454
abalone,EMmanhattan,outliers,0.075,0.0014023934181
abalone,EMmanhattan,outliers,0.05,0.00448765893792
abalone,EMmanhattan,outliers,0.025,0.0168287210172
abalone,EMmanhattan,outliers,0.01,0.0964846671653
abalone,EMmanhattan,outliers,0.005,0.285901271503
abalone,EMmanhattan,outliers,0.001,0.692782348542
abalone,HColo,outliers,0.5,0.00018698578908
abalone,HColo,outliers,0.4,0.00018698578908
abalone,HColo,outliers,0.3,0.00018698578908
abalone,HColo,outliers,0.2,0.00028047868362
abalone,HColo,outliers,0.1,0.00074794315632
abalone,HColo,outliers,0.075,0.00177636499626
abalone,HColo,outliers,0.05,0.004674644727
abalone,HColo,outliers,0.025,0.0176701570681
abalone,HColo,outliers,0.01,0.100878833209
abalone,HColo,outliers,0.005,0.285527299925
abalone,HColo,outliers,0.001,0.681095736724
abalone,LK,outliers,0.5,0.00018698578908
abalone,LK,outliers,0.4,0.00018698578908
abalone,LK,outliers,0.3,0.00018698578908
abalone,LK,outliers,0.2,0.00028047868362
abalone,LK,outliers,0.1,0.00084143605086
abalone,LK,outliers,0.075,0.00196335078534
abalone,LK,outliers,0.05,0.0051421091997
abalone,LK,outliers,0.025,0.017483171279
abalone,LK,outliers,0.01,0.0936798803291
abalone,LK,outliers,0.005,0.285527299925
abalone,LK,outliers,0.001,0.646035901272
abalone,MDS,outliers,0.5,0.00018698578908
abalone,MDS,outliers,0.4,0.00018698578908
abalone,MDS,outliers,0.3,0.00018698578908
abalone,MDS,outliers,0.2,0.00028047868362
abalone,MDS,outliers,0.1,0.00074794315632
abalone,MDS,outliers,0.075,0.0014023934181
abalone,MDS,outliers,0.05,0.00299177262528
abalone,MDS,outliers,0.025,0.0149588631264
abalone,MDS,outliers,0.01,0.0953627524308
abalone,MDS,outliers,0.005,0.282348541511
abalone,MDS,outliers,0.001,0.670157068063
