dataset,ordering,metric,parameter,value
auto,TSNE,outliers,0.5,0.000980512317686
auto,TSNE,outliers,0.4,0.00122564039711
auto,TSNE,outliers,0.3,0.00134820443682
auto,TSNE,outliers,0.2,0.00257384483393
auto,TSNE,outliers,0.1,0.00735384238264
auto,TSNE,outliers,0.075,0.00943743105773
auto,TSNE,outliers,0.05,0.0144625566859
auto,TSNE,outliers,0.025,0.0335825468807
auto,TSNE,outliers,0.01,0.0557666380684
auto,TSNE,outliers,0.005,0.0791763696531
auto,TSNE,outliers,0.001,0.120112758917
auto,random,outliers,0.5,0.000980512317686
auto,random,outliers,0.4,0.00122564039711
auto,random,outliers,0.3,0.00134820443682
auto,random,outliers,0.2,0.00159333251624
auto,random,outliers,0.1,0.0068635862238
auto,random,outliers,0.075,0.00968255913715
auto,random,outliers,0.05,0.0153205049638
auto,random,outliers,0.025,0.0340728030396
auto,random,outliers,0.01,0.058463046942
auto,random,outliers,0.005,0.0824855987253
auto,random,outliers,0.001,0.118396862361
auto,TSPmeans,outliers,0.5,0.000980512317686
auto,TSPmeans,outliers,0.4,0.00122564039711
auto,TSPmeans,outliers,0.3,0.00147076847653
auto,TSPmeans,outliers,0.2,0.0023287167545
auto,TSPmeans,outliers,0.1,0.00943743105773
auto,TSPmeans,outliers,0.075,0.0125015320505
auto,TSPmeans,outliers,0.05,0.0214487069494
auto,TSPmeans,outliers,0.025,0.0437553621767
auto,TSPmeans,outliers,0.01,0.0773379090575
auto,TSPmeans,outliers,0.005,0.103076357397
auto,TSPmeans,outliers,0.001,0.128814805736
auto,EM,outliers,0.5,0.00122564039711
auto,EM,outliers,0.4,0.00147076847653
auto,EM,outliers,0.3,0.00183846059566
auto,EM,outliers,0.2,0.00269640887364
auto,EM,outliers,0.1,0.00919230297831
auto,EM,outliers,0.075,0.0123789680108
auto,EM,outliers,0.05,0.0197328103934
auto,EM,outliers,0.025,0.040691261184
auto,EM,outliers,0.01,0.0753768844221
auto,EM,outliers,0.005,0.0980512317686
auto,EM,outliers,0.001,0.122564039711
auto,EMmanhattan,outliers,0.5,0.00134820443682
auto,EMmanhattan,outliers,0.4,0.00159333251624
auto,EMmanhattan,outliers,0.3,0.00171589655595
auto,EMmanhattan,outliers,0.2,0.0023287167545
auto,EMmanhattan,outliers,0.1,0.00894717489888
auto,EMmanhattan,outliers,0.075,0.0140948645667
auto,EMmanhattan,outliers,0.05,0.023287167545
auto,EMmanhattan,outliers,0.025,0.0507415124403
auto,EMmanhattan,outliers,0.01,0.0849368795195
auto,EMmanhattan,outliers,0.005,0.104669689913
auto,EMmanhattan,outliers,0.001,0.121706091433
auto,HColo,outliers,0.5,0.000980512317686
auto,HColo,outliers,0.4,0.00122564039711
auto,HColo,outliers,0.3,0.00147076847653
auto,HColo,outliers,0.2,0.00220615271479
auto,HColo,outliers,0.1,0.00919230297831
auto,HColo,outliers,0.075,0.0122564039711
auto,HColo,outliers,0.05,0.0215712709891
auto,HColo,outliers,0.025,0.0438779262164
auto,HColo,outliers,0.01,0.0761122686604
auto,HColo,outliers,0.005,0.100625076603
auto,HColo,outliers,0.001,0.126731217061
auto,LK,outliers,0.5,0.0011030763574
auto,LK,outliers,0.4,0.00134820443682
auto,LK,outliers,0.3,0.00159333251624
auto,LK,outliers,0.2,0.00245128079421
auto,LK,outliers,0.1,0.00919230297831
auto,LK,outliers,0.075,0.0137271724476
auto,LK,outliers,0.05,0.0219389631082
auto,LK,outliers,0.025,0.0447358744944
auto,LK,outliers,0.01,0.0763573967398
auto,LK,outliers,0.005,0.0986640519672
auto,LK,outliers,0.001,0.117661478122
auto,MDS,outliers,0.5,0.00122564039711
auto,MDS,outliers,0.4,0.00147076847653
auto,MDS,outliers,0.3,0.00171589655595
auto,MDS,outliers,0.2,0.00269640887364
auto,MDS,outliers,0.1,0.00980512317686
auto,MDS,outliers,0.075,0.0129917882093
auto,MDS,outliers,0.05,0.0214487069494
auto,MDS,outliers,0.025,0.0466968991298
auto,MDS,outliers,0.01,0.0824855987253
auto,MDS,outliers,0.005,0.107366098787
auto,MDS,outliers,0.001,0.13151121461
