dataset,ordering,metric,parameter,value
magic,TSNE,outliers,0.5,0.0
magic,TSNE,outliers,0.4,0.0
magic,TSNE,outliers,0.3,0.0
magic,TSNE,outliers,0.2,5.25762355415e-06
magic,TSNE,outliers,0.1,5.78338590957e-05
magic,TSNE,outliers,0.075,0.000157728706625
magic,TSNE,outliers,0.05,0.000420609884332
magic,TSNE,outliers,0.025,0.0022818086225
magic,TSNE,outliers,0.01,0.0165667718191
magic,TSNE,outliers,0.005,0.0606046267087
magic,TSNE,outliers,0.001,0.494858044164
magic,random,outliers,0.5,0.0
magic,random,outliers,0.4,0.0
magic,random,outliers,0.3,0.0
magic,random,outliers,0.2,1.05152471083e-05
magic,random,outliers,0.1,8.93796004206e-05
magic,random,outliers,0.075,0.000199789695058
magic,random,outliers,0.05,0.000478443743428
magic,random,outliers,0.025,0.00227655099895
magic,random,outliers,0.01,0.0157097791798
magic,random,outliers,0.005,0.0557202944269
magic,random,outliers,0.001,0.486792849632
magic,TSPmeans,outliers,0.5,0.0
magic,TSPmeans,outliers,0.4,0.0
magic,TSPmeans,outliers,0.3,0.0
magic,TSPmeans,outliers,0.2,5.25762355415e-06
magic,TSPmeans,outliers,0.1,7.36067297581e-05
magic,TSPmeans,outliers,0.075,0.000162986330179
magic,TSPmeans,outliers,0.05,0.000457413249211
magic,TSPmeans,outliers,0.025,0.00192429022082
magic,TSPmeans,outliers,0.01,0.014269190326
magic,TSPmeans,outliers,0.005,0.0521135646688
magic,TSPmeans,outliers,0.001,0.459721345952
magic,EM,outliers,0.5,0.0
magic,EM,outliers,0.4,0.0
magic,EM,outliers,0.3,0.0
magic,EM,outliers,0.2,5.25762355415e-06
magic,EM,outliers,0.1,7.88643533123e-05
magic,EM,outliers,0.075,0.000168243953733
magic,EM,outliers,0.05,0.000452155625657
magic,EM,outliers,0.025,0.00196635120925
magic,EM,outliers,0.01,0.0148738170347
magic,EM,outliers,0.005,0.0516246056782
magic,EM,outliers,0.001,0.446529968454
magic,EMmanhattan,outliers,0.5,0.0
magic,EMmanhattan,outliers,0.4,0.0
magic,EMmanhattan,outliers,0.3,0.0
magic,EMmanhattan,outliers,0.2,1.05152471083e-05
magic,EMmanhattan,outliers,0.1,6.30914826498e-05
magic,EMmanhattan,outliers,0.075,0.00015247108307
magic,EMmanhattan,outliers,0.05,0.000462670872766
magic,EMmanhattan,outliers,0.025,0.00203995793901
magic,EMmanhattan,outliers,0.01,0.0144952681388
magic,EMmanhattan,outliers,0.005,0.0509568874869
magic,EMmanhattan,outliers,0.001,0.452991587802
