dataset,ordering,metric,parameter,value
noisy_wave,TSNE,outliers,0.5,0.0
noisy_wave,TSNE,outliers,0.4,0.0
noisy_wave,TSNE,outliers,0.3,0.0
noisy_wave,TSNE,outliers,0.2,5e-06
noisy_wave,TSNE,outliers,0.1,0.000215
noisy_wave,TSNE,outliers,0.075,0.00075
noisy_wave,TSNE,outliers,0.05,0.0023
noisy_wave,TSNE,outliers,0.025,0.011505
noisy_wave,TSNE,outliers,0.01,0.08082
noisy_wave,TSNE,outliers,0.005,0.326805
noisy_wave,TSNE,outliers,0.001,0.95743
noisy_wave,random,outliers,0.5,0.0
noisy_wave,random,outliers,0.4,0.0
noisy_wave,random,outliers,0.3,0.0
noisy_wave,random,outliers,0.2,0.0
noisy_wave,random,outliers,0.1,0.00025
noisy_wave,random,outliers,0.075,0.000805
noisy_wave,random,outliers,0.05,0.002575
noisy_wave,random,outliers,0.025,0.01159
noisy_wave,random,outliers,0.01,0.08005
noisy_wave,random,outliers,0.005,0.327275
noisy_wave,random,outliers,0.001,0.958675
noisy_wave,TSPmeans,outliers,0.5,0.0
noisy_wave,TSPmeans,outliers,0.4,0.0
noisy_wave,TSPmeans,outliers,0.3,0.0
noisy_wave,TSPmeans,outliers,0.2,1e-05
noisy_wave,TSPmeans,outliers,0.1,0.000215
noisy_wave,TSPmeans,outliers,0.075,0.000655
noisy_wave,TSPmeans,outliers,0.05,0.00214
noisy_wave,TSPmeans,outliers,0.025,0.01107
noisy_wave,TSPmeans,outliers,0.01,0.076745
noisy_wave,TSPmeans,outliers,0.005,0.30767
noisy_wave,TSPmeans,outliers,0.001,0.95836
noisy_wave,EM,outliers,0.5,0.0
noisy_wave,EM,outliers,0.4,0.0
noisy_wave,EM,outliers,0.3,0.0
noisy_wave,EM,outliers,0.2,5e-06
noisy_wave,EM,outliers,0.1,0.0002
noisy_wave,EM,outliers,0.075,0.0007
noisy_wave,EM,outliers,0.05,0.00225
noisy_wave,EM,outliers,0.025,0.010945
noisy_wave,EM,outliers,0.01,0.07624
noisy_wave,EM,outliers,0.005,0.31064
noisy_wave,EM,outliers,0.001,0.957685
noisy_wave,EMmanhattan,outliers,0.5,0.0
noisy_wave,EMmanhattan,outliers,0.4,0.0
noisy_wave,EMmanhattan,outliers,0.3,0.0
noisy_wave,EMmanhattan,outliers,0.2,5e-06
noisy_wave,EMmanhattan,outliers,0.1,0.000215
noisy_wave,EMmanhattan,outliers,0.075,0.0007
noisy_wave,EMmanhattan,outliers,0.05,0.002215
noisy_wave,EMmanhattan,outliers,0.025,0.011055
noisy_wave,EMmanhattan,outliers,0.01,0.076795
noisy_wave,EMmanhattan,outliers,0.005,0.308715
noisy_wave,EMmanhattan,outliers,0.001,0.957565
noisy_wave,HColo,outliers,0.5,0.0
noisy_wave,HColo,outliers,0.4,0.0
noisy_wave,HColo,outliers,0.3,0.0
noisy_wave,HColo,outliers,0.2,5e-06
noisy_wave,HColo,outliers,0.1,0.000195
noisy_wave,HColo,outliers,0.075,0.000715
noisy_wave,HColo,outliers,0.05,0.00225
noisy_wave,HColo,outliers,0.025,0.011035
noisy_wave,HColo,outliers,0.01,0.07639
noisy_wave,HColo,outliers,0.005,0.311625
noisy_wave,HColo,outliers,0.001,0.957145
noisy_wave,LK,outliers,0.5,0.0
noisy_wave,LK,outliers,0.4,0.0
noisy_wave,LK,outliers,0.3,0.0
noisy_wave,LK,outliers,0.2,0.0
noisy_wave,LK,outliers,0.1,0.000185
noisy_wave,LK,outliers,0.075,0.00071
noisy_wave,LK,outliers,0.05,0.00228
noisy_wave,LK,outliers,0.025,0.010755
noisy_wave,LK,outliers,0.01,0.07695
noisy_wave,LK,outliers,0.005,0.31296
noisy_wave,LK,outliers,0.001,0.95665
noisy_wave,MDS,outliers,0.5,0.0
noisy_wave,MDS,outliers,0.4,0.0
noisy_wave,MDS,outliers,0.3,0.0
noisy_wave,MDS,outliers,0.2,5e-06
noisy_wave,MDS,outliers,0.1,0.00028
noisy_wave,MDS,outliers,0.075,0.00079
noisy_wave,MDS,outliers,0.05,0.002385
noisy_wave,MDS,outliers,0.025,0.011385
noisy_wave,MDS,outliers,0.01,0.07772
noisy_wave,MDS,outliers,0.005,0.31881
noisy_wave,MDS,outliers,0.001,0.958125
