dataset,ordering,metric,parameter,value
olive,TSNE,outliers,0.5,0.0
olive,TSNE,outliers,0.4,0.0
olive,TSNE,outliers,0.3,0.000300480769231
olive,TSNE,outliers,0.2,0.00120192307692
olive,TSNE,outliers,0.1,0.00631009615385
olive,TSNE,outliers,0.075,0.0129206730769
olive,TSNE,outliers,0.05,0.0303485576923
olive,TSNE,outliers,0.025,0.151442307692
olive,TSNE,outliers,0.01,0.481971153846
olive,TSNE,outliers,0.005,0.632211538462
olive,TSNE,outliers,0.001,0.735276442308
olive,random,outliers,0.5,0.0
olive,random,outliers,0.4,0.0
olive,random,outliers,0.3,0.000300480769231
olive,random,outliers,0.2,0.00120192307692
olive,random,outliers,0.1,0.00721153846154
olive,random,outliers,0.075,0.0141225961538
olive,random,outliers,0.05,0.0354567307692
olive,random,outliers,0.025,0.158052884615
olive,random,outliers,0.01,0.477163461538
olive,random,outliers,0.005,0.637620192308
olive,random,outliers,0.001,0.744891826923
olive,TSPmeans,outliers,0.5,0.0
olive,TSPmeans,outliers,0.4,0.0
olive,TSPmeans,outliers,0.3,0.000300480769231
olive,TSPmeans,outliers,0.2,0.00180288461538
olive,TSPmeans,outliers,0.1,0.00901442307692
olive,TSPmeans,outliers,0.075,0.0150240384615
olive,TSPmeans,outliers,0.05,0.0360576923077
olive,TSPmeans,outliers,0.025,0.150540865385
olive,TSPmeans,outliers,0.01,0.460036057692
olive,TSPmeans,outliers,0.005,0.629807692308
olive,TSPmeans,outliers,0.001,0.728665865385
olive,EM,outliers,0.5,0.0
olive,EM,outliers,0.4,0.0
olive,EM,outliers,0.3,0.000600961538462
olive,EM,outliers,0.2,0.00150240384615
olive,EM,outliers,0.1,0.00661057692308
olive,EM,outliers,0.075,0.01171875
olive,EM,outliers,0.05,0.0330528846154
olive,EM,outliers,0.025,0.157451923077
olive,EM,outliers,0.01,0.4765625
olive,EM,outliers,0.005,0.626802884615
olive,EM,outliers,0.001,0.720552884615
olive,EMmanhattan,outliers,0.5,0.0
olive,EMmanhattan,outliers,0.4,0.0
olive,EMmanhattan,outliers,0.3,0.000300480769231
olive,EMmanhattan,outliers,0.2,0.00120192307692
olive,EMmanhattan,outliers,0.1,0.00540865384615
olive,EMmanhattan,outliers,0.075,0.0114182692308
olive,EMmanhattan,outliers,0.05,0.0348557692308
olive,EMmanhattan,outliers,0.025,0.160456730769
olive,EMmanhattan,outliers,0.01,0.480769230769
olive,EMmanhattan,outliers,0.005,0.619891826923
olive,EMmanhattan,outliers,0.001,0.717548076923
olive,HColo,outliers,0.5,0.0
olive,HColo,outliers,0.4,0.0
olive,HColo,outliers,0.3,0.000300480769231
olive,HColo,outliers,0.2,0.00150240384615
olive,HColo,outliers,0.1,0.00691105769231
olive,HColo,outliers,0.075,0.0126201923077
olive,HColo,outliers,0.05,0.0339543269231
olive,HColo,outliers,0.025,0.161959134615
olive,HColo,outliers,0.01,0.474459134615
olive,HColo,outliers,0.005,0.625600961538
olive,HColo,outliers,0.001,0.729266826923
olive,LK,outliers,0.5,0.0
olive,LK,outliers,0.4,0.0
olive,LK,outliers,0.3,0.000300480769231
olive,LK,outliers,0.2,0.00180288461538
olive,LK,outliers,0.1,0.00871394230769
olive,LK,outliers,0.075,0.0126201923077
olive,LK,outliers,0.05,0.0306490384615
olive,LK,outliers,0.025,0.146033653846
olive,LK,outliers,0.01,0.467848557692
olive,LK,outliers,0.005,0.631911057692
olive,LK,outliers,0.001,0.712139423077
olive,MDS,outliers,0.5,0.0
olive,MDS,outliers,0.4,0.0
olive,MDS,outliers,0.3,0.000300480769231
olive,MDS,outliers,0.2,0.00120192307692
olive,MDS,outliers,0.1,0.00631009615385
olive,MDS,outliers,0.075,0.0114182692308
olive,MDS,outliers,0.05,0.0324519230769
olive,MDS,outliers,0.025,0.151141826923
olive,MDS,outliers,0.01,0.463942307692
olive,MDS,outliers,0.005,0.614483173077
olive,MDS,outliers,0.001,0.709735576923
