dataset,ordering,metric,parameter,value
subway,TSNE,outliers,0.5,0.00125022731406
subway,TSNE,outliers,0.4,0.00165939261684
subway,TSNE,outliers,0.3,0.00195490089107
subway,TSNE,outliers,0.2,0.00445535551919
subway,TSNE,outliers,0.1,0.0103655210038
subway,TSNE,outliers,0.075,0.0139116202946
subway,TSNE,outliers,0.05,0.020390070922
subway,TSNE,outliers,0.025,0.0389616293872
subway,TSNE,outliers,0.01,0.0934488088743
subway,TSNE,outliers,0.005,0.169394435352
subway,TSNE,outliers,0.001,0.516071103837
subway,random,outliers,0.5,0.00115930169122
subway,random,outliers,0.4,0.00165939261684
subway,random,outliers,0.3,0.00229587197672
subway,random,outliers,0.2,0.00459174395345
subway,random,outliers,0.1,0.0106155664666
subway,random,outliers,0.075,0.0144344426259
subway,random,outliers,0.05,0.021094744499
subway,random,outliers,0.025,0.0388479723586
subway,random,outliers,0.01,0.0925395526459
subway,random,outliers,0.005,0.16516639389
subway,random,outliers,0.001,0.51695762866
subway,TSPmeans,outliers,0.5,0.00102291325696
subway,TSPmeans,outliers,0.4,0.00122749590835
subway,TSPmeans,outliers,0.3,0.001568466994
subway,TSPmeans,outliers,0.2,0.00265957446809
subway,TSPmeans,outliers,0.1,0.00556919439898
subway,TSPmeans,outliers,0.075,0.0071831242044
subway,TSPmeans,outliers,0.05,0.0100927441353
subway,TSPmeans,outliers,0.025,0.0180032733224
subway,TSPmeans,outliers,0.01,0.0401663938898
subway,TSPmeans,outliers,0.005,0.0720358246954
subway,TSPmeans,outliers,0.001,0.293076013821
subway,EM,outliers,0.5,0.00104564466267
subway,EM,outliers,0.4,0.00125022731406
subway,EM,outliers,0.3,0.00161392980542
subway,EM,outliers,0.2,0.00263684306237
subway,EM,outliers,0.1,0.00566012002182
subway,EM,outliers,0.075,0.00713766139298
subway,EM,outliers,0.05,0.0102518639753
subway,EM,outliers,0.025,0.0179350791053
subway,EM,outliers,0.01,0.0398254228041
subway,EM,outliers,0.005,0.0716493907983
subway,EM,outliers,0.001,0.292394071649
subway,EMmanhattan,outliers,0.5,0.00104564466267
subway,EMmanhattan,outliers,0.4,0.00125022731406
subway,EMmanhattan,outliers,0.3,0.00163666121113
subway,EMmanhattan,outliers,0.2,0.00265957446809
subway,EMmanhattan,outliers,0.1,0.00570558283324
subway,EMmanhattan,outliers,0.075,0.00725131842153
subway,EMmanhattan,outliers,0.05,0.0102291325696
subway,EMmanhattan,outliers,0.025,0.0182305873795
subway,EMmanhattan,outliers,0.01,0.0405755591926
subway,EMmanhattan,outliers,0.005,0.0717857792326
subway,EMmanhattan,outliers,0.001,0.291166575741
subway,HColo,outliers,0.5,0.00102291325696
subway,HColo,outliers,0.4,0.00122749590835
subway,HColo,outliers,0.3,0.00159119839971
subway,HColo,outliers,0.2,0.00259138025095
subway,HColo,outliers,0.1,0.00556919439898
subway,HColo,outliers,0.075,0.00716039279869
subway,HColo,outliers,0.05,0.00997908710675
subway,HColo,outliers,0.025,0.017798690671
subway,HColo,outliers,0.01,0.0393480632842
subway,HColo,outliers,0.005,0.0709901800327
subway,HColo,outliers,0.001,0.291939443535
subway,LK,outliers,0.5,0.00113657028551
subway,LK,outliers,0.4,0.00161392980542
subway,LK,outliers,0.3,0.00254591743953
subway,LK,outliers,0.2,0.00495544644481
subway,LK,outliers,0.1,0.0110020003637
subway,LK,outliers,0.075,0.0153209674486
subway,LK,outliers,0.05,0.0225722858702
subway,LK,outliers,0.025,0.0410983815239
subway,LK,outliers,0.01,0.0952445899254
subway,LK,outliers,0.005,0.175554646299
subway,LK,outliers,0.001,0.528209674486
subway,MDS,outliers,0.5,0.00104564466267
subway,MDS,outliers,0.4,0.00131842153119
subway,MDS,outliers,0.3,0.00170485542826
subway,MDS,outliers,0.2,0.00286415711948
subway,MDS,outliers,0.1,0.00713766139298
subway,MDS,outliers,0.075,0.00945626477541
subway,MDS,outliers,0.05,0.0143662484088
subway,MDS,outliers,0.025,0.0253227859611
subway,MDS,outliers,0.01,0.0597381342062
subway,MDS,outliers,0.005,0.106883069649
subway,MDS,outliers,0.001,0.400504637207
