dataset,ordering,metric,parameter,value
waveform,TSNE,outliers,0.5,0.0
waveform,TSNE,outliers,0.4,0.0
waveform,TSNE,outliers,0.3,0.0
waveform,TSNE,outliers,0.2,0.0
waveform,TSNE,outliers,0.1,0.000171428571429
waveform,TSNE,outliers,0.075,0.000657142857143
waveform,TSNE,outliers,0.05,0.00221904761905
waveform,TSNE,outliers,0.025,0.0103904761905
waveform,TSNE,outliers,0.01,0.0723047619048
waveform,TSNE,outliers,0.005,0.322142857143
waveform,TSNE,outliers,0.001,0.9466
waveform,random,outliers,0.5,0.0
waveform,random,outliers,0.4,0.0
waveform,random,outliers,0.3,0.0
waveform,random,outliers,0.2,0.0
waveform,random,outliers,0.1,0.000228571428571
waveform,random,outliers,0.075,0.000742857142857
waveform,random,outliers,0.05,0.00219047619048
waveform,random,outliers,0.025,0.00986666666667
waveform,random,outliers,0.01,0.0727047619048
waveform,random,outliers,0.005,0.316047619048
waveform,random,outliers,0.001,0.947295238095
waveform,TSPmeans,outliers,0.5,0.0
waveform,TSPmeans,outliers,0.4,0.0
waveform,TSPmeans,outliers,0.3,0.0
waveform,TSPmeans,outliers,0.2,0.0
waveform,TSPmeans,outliers,0.1,0.000228571428571
waveform,TSPmeans,outliers,0.075,0.000704761904762
waveform,TSPmeans,outliers,0.05,0.0021619047619
waveform,TSPmeans,outliers,0.025,0.00950476190476
waveform,TSPmeans,outliers,0.01,0.0691619047619
waveform,TSPmeans,outliers,0.005,0.293980952381
waveform,TSPmeans,outliers,0.001,0.944485714286
waveform,EM,outliers,0.5,0.0
waveform,EM,outliers,0.4,0.0
waveform,EM,outliers,0.3,0.0
waveform,EM,outliers,0.2,0.0
waveform,EM,outliers,0.1,0.000228571428571
waveform,EM,outliers,0.075,0.000695238095238
waveform,EM,outliers,0.05,0.00210476190476
waveform,EM,outliers,0.025,0.00960952380952
waveform,EM,outliers,0.01,0.0686285714286
waveform,EM,outliers,0.005,0.296961904762
waveform,EM,outliers,0.001,0.944466666667
waveform,EMmanhattan,outliers,0.5,0.0
waveform,EMmanhattan,outliers,0.4,0.0
waveform,EMmanhattan,outliers,0.3,0.0
waveform,EMmanhattan,outliers,0.2,0.0
waveform,EMmanhattan,outliers,0.1,0.000180952380952
waveform,EMmanhattan,outliers,0.075,0.000695238095238
waveform,EMmanhattan,outliers,0.05,0.00219047619048
waveform,EMmanhattan,outliers,0.025,0.00957142857143
waveform,EMmanhattan,outliers,0.01,0.0682666666667
waveform,EMmanhattan,outliers,0.005,0.297476190476
waveform,EMmanhattan,outliers,0.001,0.944276190476
waveform,HColo,outliers,0.5,0.0
waveform,HColo,outliers,0.4,0.0
waveform,HColo,outliers,0.3,0.0
waveform,HColo,outliers,0.2,0.0
waveform,HColo,outliers,0.1,0.000228571428571
waveform,HColo,outliers,0.075,0.000704761904762
waveform,HColo,outliers,0.05,0.0021619047619
waveform,HColo,outliers,0.025,0.00950476190476
waveform,HColo,outliers,0.01,0.0691619047619
waveform,HColo,outliers,0.005,0.293980952381
waveform,HColo,outliers,0.001,0.944485714286
waveform,LK,outliers,0.5,0.0
waveform,LK,outliers,0.4,0.0
waveform,LK,outliers,0.3,0.0
waveform,LK,outliers,0.2,0.0
waveform,LK,outliers,0.1,0.000228571428571
waveform,LK,outliers,0.075,0.000704761904762
waveform,LK,outliers,0.05,0.0021619047619
waveform,LK,outliers,0.025,0.00950476190476
waveform,LK,outliers,0.01,0.0691619047619
waveform,LK,outliers,0.005,0.293980952381
waveform,LK,outliers,0.001,0.944485714286
waveform,MDS,outliers,0.5,0.0
waveform,MDS,outliers,0.4,0.0
waveform,MDS,outliers,0.3,0.0
waveform,MDS,outliers,0.2,0.0
waveform,MDS,outliers,0.1,0.000228571428571
waveform,MDS,outliers,0.075,0.000666666666667
waveform,MDS,outliers,0.05,0.0020380952381
waveform,MDS,outliers,0.025,0.0100666666667
waveform,MDS,outliers,0.01,0.0722666666667
waveform,MDS,outliers,0.005,0.313466666667
waveform,MDS,outliers,0.001,0.94719047619
