dataset,ordering,metric,parameter,value
wdbc,TSNE,outliers,0.5,0.0
wdbc,TSNE,outliers,0.4,5.85823081429e-05
wdbc,TSNE,outliers,0.3,0.000527240773286
wdbc,TSNE,outliers,0.2,0.00199179847686
wdbc,TSNE,outliers,0.1,0.00849443468073
wdbc,TSNE,outliers,0.075,0.014352665495
wdbc,TSNE,outliers,0.05,0.0275336848272
wdbc,TSNE,outliers,0.025,0.0873462214411
wdbc,TSNE,outliers,0.01,0.346338605741
wdbc,TSNE,outliers,0.005,0.646572934974
wdbc,TSNE,outliers,0.001,0.964733450498
wdbc,random,outliers,0.5,0.0
wdbc,random,outliers,0.4,0.000234329232572
wdbc,random,outliers,0.3,0.000527240773286
wdbc,random,outliers,0.2,0.00210896309315
wdbc,random,outliers,0.1,0.00743995313415
wdbc,random,outliers,0.075,0.0130638547159
wdbc,random,outliers,0.05,0.0261862917399
wdbc,random,outliers,0.025,0.0853544229643
wdbc,random,outliers,0.01,0.34165202109
wdbc,random,outliers,0.005,0.659871118922
wdbc,random,outliers,0.001,0.975746924429
wdbc,TSPmeans,outliers,0.5,5.85823081429e-05
wdbc,TSPmeans,outliers,0.4,5.85823081429e-05
wdbc,TSPmeans,outliers,0.3,0.000585823081429
wdbc,TSPmeans,outliers,0.2,0.00234329232572
wdbc,TSPmeans,outliers,0.1,0.00702987697715
wdbc,TSPmeans,outliers,0.075,0.0106033977739
wdbc,TSPmeans,outliers,0.05,0.0223198594025
wdbc,TSPmeans,outliers,0.025,0.0704159343878
wdbc,TSPmeans,outliers,0.01,0.275454012888
wdbc,TSPmeans,outliers,0.005,0.571646162859
wdbc,TSPmeans,outliers,0.001,0.964499121265
wdbc,EM,outliers,0.5,5.85823081429e-05
wdbc,EM,outliers,0.4,0.000175746924429
wdbc,EM,outliers,0.3,0.000644405389572
wdbc,EM,outliers,0.2,0.00251903925015
wdbc,EM,outliers,0.1,0.00720562390158
wdbc,EM,outliers,0.075,0.0111306385472
wdbc,EM,outliers,0.05,0.0227885178676
wdbc,EM,outliers,0.025,0.0695957820738
wdbc,EM,outliers,0.01,0.282190978325
wdbc,EM,outliers,0.005,0.571353251318
wdbc,EM,outliers,0.001,0.962975981254
wdbc,EMmanhattan,outliers,0.5,0.0
wdbc,EMmanhattan,outliers,0.4,5.85823081429e-05
wdbc,EMmanhattan,outliers,0.3,0.000468658465144
wdbc,EMmanhattan,outliers,0.2,0.00234329232572
wdbc,EMmanhattan,outliers,0.1,0.00767428236673
wdbc,EMmanhattan,outliers,0.075,0.0118336262449
wdbc,EMmanhattan,outliers,0.05,0.0232571763327
wdbc,EMmanhattan,outliers,0.025,0.0728763913298
wdbc,EMmanhattan,outliers,0.01,0.286057410662
wdbc,EMmanhattan,outliers,0.005,0.580609256005
wdbc,EMmanhattan,outliers,0.001,0.964909197422
wdbc,HColo,outliers,0.5,0.0
wdbc,HColo,outliers,0.4,5.85823081429e-05
wdbc,HColo,outliers,0.3,0.000585823081429
wdbc,HColo,outliers,0.2,0.00240187463386
wdbc,HColo,outliers,0.1,0.00732278851787
wdbc,HColo,outliers,0.075,0.0113063854716
wdbc,HColo,outliers,0.05,0.0230228471002
wdbc,HColo,outliers,0.025,0.0721734036321
wdbc,HColo,outliers,0.01,0.282249560633
wdbc,HColo,outliers,0.005,0.581253661394
wdbc,HColo,outliers,0.001,0.965202108963
wdbc,LK,outliers,0.5,5.85823081429e-05
wdbc,LK,outliers,0.4,5.85823081429e-05
wdbc,LK,outliers,0.3,0.000585823081429
wdbc,LK,outliers,0.2,0.00234329232572
wdbc,LK,outliers,0.1,0.00702987697715
wdbc,LK,outliers,0.075,0.0106033977739
wdbc,LK,outliers,0.05,0.0223198594025
wdbc,LK,outliers,0.025,0.0704159343878
wdbc,LK,outliers,0.01,0.275454012888
wdbc,LK,outliers,0.005,0.571646162859
wdbc,LK,outliers,0.001,0.964499121265
wdbc,MDS,outliers,0.5,0.0
wdbc,MDS,outliers,0.4,5.85823081429e-05
wdbc,MDS,outliers,0.3,0.000585823081429
wdbc,MDS,outliers,0.2,0.00240187463386
wdbc,MDS,outliers,0.1,0.00679554774458
wdbc,MDS,outliers,0.075,0.0114235500879
wdbc,MDS,outliers,0.05,0.0247803163445
wdbc,MDS,outliers,0.025,0.0761570005858
wdbc,MDS,outliers,0.01,0.301288810779
wdbc,MDS,outliers,0.005,0.584827182191
wdbc,MDS,outliers,0.001,0.954774458114
