dataset,ordering,metric,parameter,value
wine,TSNE,outliers,0.5,0.0
wine,TSNE,outliers,0.4,0.0
wine,TSNE,outliers,0.3,0.00129645635264
wine,TSNE,outliers,0.2,0.00605012964564
wine,TSNE,outliers,0.1,0.0272255834054
wine,TSNE,outliers,0.075,0.0514261019879
wine,TSNE,outliers,0.05,0.113223854797
wine,TSNE,outliers,0.025,0.42955920484
wine,TSNE,outliers,0.01,0.832324978392
wine,TSNE,outliers,0.005,0.935177182368
wine,TSNE,outliers,0.001,0.970613656007
wine,random,outliers,0.5,0.0
wine,random,outliers,0.4,0.000432152117545
wine,random,outliers,0.3,0.00129645635264
wine,random,outliers,0.2,0.00518582541054
wine,random,outliers,0.1,0.0311149524633
wine,random,outliers,0.075,0.0548833189283
wine,random,outliers,0.05,0.135263612792
wine,random,outliers,0.025,0.444684528954
wine,random,outliers,0.01,0.835350043215
wine,random,outliers,0.005,0.932584269663
wine,random,outliers,0.001,0.964995678479
wine,TSPmeans,outliers,0.5,0.0
wine,TSPmeans,outliers,0.4,0.0
wine,TSPmeans,outliers,0.3,0.000432152117545
wine,TSPmeans,outliers,0.2,0.004753673293
wine,TSPmeans,outliers,0.1,0.028522039758
wine,TSPmeans,outliers,0.075,0.0501296456353
wine,TSPmeans,outliers,0.05,0.121002592913
wine,TSPmeans,outliers,0.025,0.439930855661
wine,TSPmeans,outliers,0.01,0.842264477096
wine,TSPmeans,outliers,0.005,0.943820224719
wine,TSPmeans,outliers,0.001,0.970613656007
wine,EM,outliers,0.5,0.0
wine,EM,outliers,0.4,0.0
wine,EM,outliers,0.3,0.000432152117545
wine,EM,outliers,0.2,0.004753673293
wine,EM,outliers,0.1,0.0280898876404
wine,EM,outliers,0.075,0.0561797752809
wine,EM,outliers,0.05,0.131374243734
wine,EM,outliers,0.025,0.435609334486
wine,EM,outliers,0.01,0.841400172861
wine,EM,outliers,0.005,0.940363007779
wine,EM,outliers,0.001,0.968885047537
wine,EMmanhattan,outliers,0.5,0.0
wine,EMmanhattan,outliers,0.4,0.0
wine,EMmanhattan,outliers,0.3,0.000432152117545
wine,EMmanhattan,outliers,0.2,0.00388936905791
wine,EMmanhattan,outliers,0.1,0.0259291270527
wine,EMmanhattan,outliers,0.075,0.0505617977528
wine,EMmanhattan,outliers,0.05,0.119273984443
wine,EMmanhattan,outliers,0.025,0.433448573898
wine,EMmanhattan,outliers,0.01,0.83621434745
wine,EMmanhattan,outliers,0.005,0.935177182368
wine,EMmanhattan,outliers,0.001,0.971477960242
wine,HColo,outliers,0.5,0.0
wine,HColo,outliers,0.4,0.0
wine,HColo,outliers,0.3,0.000432152117545
wine,HColo,outliers,0.2,0.004753673293
wine,HColo,outliers,0.1,0.028522039758
wine,HColo,outliers,0.075,0.0501296456353
wine,HColo,outliers,0.05,0.121002592913
wine,HColo,outliers,0.025,0.439930855661
wine,HColo,outliers,0.01,0.842264477096
wine,HColo,outliers,0.005,0.943820224719
wine,HColo,outliers,0.001,0.970613656007
wine,LK,outliers,0.5,0.0
wine,LK,outliers,0.4,0.0
wine,LK,outliers,0.3,0.000432152117545
wine,LK,outliers,0.2,0.004753673293
wine,LK,outliers,0.1,0.028522039758
wine,LK,outliers,0.075,0.0501296456353
wine,LK,outliers,0.05,0.121002592913
wine,LK,outliers,0.025,0.439930855661
wine,LK,outliers,0.01,0.842264477096
wine,LK,outliers,0.005,0.943820224719
wine,LK,outliers,0.001,0.970613656007
wine,MDS,outliers,0.5,0.0
wine,MDS,outliers,0.4,0.0
wine,MDS,outliers,0.3,0.000432152117545
wine,MDS,outliers,0.2,0.00388936905791
wine,MDS,outliers,0.1,0.0254969749352
wine,MDS,outliers,0.075,0.0514261019879
wine,MDS,outliers,0.05,0.124459809853
wine,MDS,outliers,0.025,0.446413137424
wine,MDS,outliers,0.01,0.847882454624
wine,MDS,outliers,0.005,0.950302506482
wine,MDS,outliers,0.001,0.975799481417
