dataset,ordering,metric,parameter,value
yeast,TSNE,outliers,0.5,0.0
yeast,TSNE,outliers,0.4,0.0
yeast,TSNE,outliers,0.3,0.0
yeast,TSNE,outliers,0.2,8.42318059299e-05
yeast,TSNE,outliers,0.1,0.00126347708895
yeast,TSNE,outliers,0.075,0.00202156334232
yeast,TSNE,outliers,0.05,0.00572776280323
yeast,TSNE,outliers,0.025,0.0177729110512
yeast,TSNE,outliers,0.01,0.123568059299
yeast,TSNE,outliers,0.005,0.141088274933
yeast,TSNE,outliers,0.001,0.141088274933
yeast,random,outliers,0.5,0.0
yeast,random,outliers,0.4,0.0
yeast,random,outliers,0.3,0.0
yeast,random,outliers,0.2,0.00016846361186
yeast,random,outliers,0.1,0.00134770889488
yeast,random,outliers,0.075,0.00235849056604
yeast,random,outliers,0.05,0.00589622641509
yeast,random,outliers,0.025,0.0201314016173
yeast,random,outliers,0.01,0.126347708895
yeast,random,outliers,0.005,0.13409703504
yeast,random,outliers,0.001,0.13409703504
yeast,TSPmeans,outliers,0.5,0.0
yeast,TSPmeans,outliers,0.4,0.0
yeast,TSPmeans,outliers,0.3,0.0
yeast,TSPmeans,outliers,0.2,0.00016846361186
yeast,TSPmeans,outliers,0.1,0.00151617250674
yeast,TSPmeans,outliers,0.075,0.00235849056604
yeast,TSPmeans,outliers,0.05,0.00606469002695
yeast,TSPmeans,outliers,0.025,0.0209737196765
yeast,TSPmeans,outliers,0.01,0.138055929919
yeast,TSPmeans,outliers,0.005,0.145973719677
yeast,TSPmeans,outliers,0.001,0.145973719677
yeast,EM,outliers,0.5,0.0
yeast,EM,outliers,0.4,0.0
yeast,EM,outliers,0.3,0.0
yeast,EM,outliers,0.2,0.00016846361186
yeast,EM,outliers,0.1,0.00151617250674
yeast,EM,outliers,0.075,0.00235849056604
yeast,EM,outliers,0.05,0.00606469002695
yeast,EM,outliers,0.025,0.0209737196765
yeast,EM,outliers,0.01,0.138055929919
yeast,EM,outliers,0.005,0.145973719677
yeast,EM,outliers,0.001,0.145973719677
yeast,EMmanhattan,outliers,0.5,0.0
yeast,EMmanhattan,outliers,0.4,0.0
yeast,EMmanhattan,outliers,0.3,0.0
yeast,EMmanhattan,outliers,0.2,0.00016846361186
yeast,EMmanhattan,outliers,0.1,0.00151617250674
yeast,EMmanhattan,outliers,0.075,0.00235849056604
yeast,EMmanhattan,outliers,0.05,0.00606469002695
yeast,EMmanhattan,outliers,0.025,0.0209737196765
yeast,EMmanhattan,outliers,0.01,0.138055929919
yeast,EMmanhattan,outliers,0.005,0.145973719677
yeast,EMmanhattan,outliers,0.001,0.145973719677
yeast,HColo,outliers,0.5,0.0
yeast,HColo,outliers,0.4,0.0
yeast,HColo,outliers,0.3,0.0
yeast,HColo,outliers,0.2,0.00016846361186
yeast,HColo,outliers,0.1,0.00151617250674
yeast,HColo,outliers,0.075,0.00235849056604
yeast,HColo,outliers,0.05,0.00606469002695
yeast,HColo,outliers,0.025,0.0209737196765
yeast,HColo,outliers,0.01,0.138055929919
yeast,HColo,outliers,0.005,0.145973719677
yeast,HColo,outliers,0.001,0.145973719677
yeast,LK,outliers,0.5,0.0
yeast,LK,outliers,0.4,0.0
yeast,LK,outliers,0.3,0.0
yeast,LK,outliers,0.2,0.00016846361186
yeast,LK,outliers,0.1,0.00143194070081
yeast,LK,outliers,0.075,0.00219002695418
yeast,LK,outliers,0.05,0.00555929919137
yeast,LK,outliers,0.025,0.0196260107817
yeast,LK,outliers,0.01,0.162483153639
yeast,LK,outliers,0.005,0.175370619946
yeast,LK,outliers,0.001,0.175370619946
yeast,MDS,outliers,0.5,0.0
yeast,MDS,outliers,0.4,0.0
yeast,MDS,outliers,0.3,0.0
yeast,MDS,outliers,0.2,0.00016846361186
yeast,MDS,outliers,0.1,0.00151617250674
yeast,MDS,outliers,0.075,0.00227425876011
yeast,MDS,outliers,0.05,0.00572776280323
yeast,MDS,outliers,0.025,0.0190363881402
yeast,MDS,outliers,0.01,0.133591644205
yeast,MDS,outliers,0.005,0.145636792453
yeast,MDS,outliers,0.001,0.145636792453
