dataset,ordering,metric,parameter,value
aaup,TSNE,lambda,pearson,51.1792469036
aaup,TSNE,lambda,stringy,7.82815691506
aaup,TSNE,lambda,monotonic,67.0338143394
aaup,TSNE,lambda,skewed,33.1360056166
aaup,TSNE,lambda,clumpy,0.573702831643
aaup,TSNE,lambda,sparse,0.0484248058
aaup,TSNE,lambda,convex,10.3167652385
aaup,TSNE,lambda,striated,0.34292633565
aaup,TSNE,lambda,outlying,9.1571018969
aaup,TSNE,lambda,skinny,15.8995600983
aaup,random,lambda,pearson,53.6963215169
aaup,random,lambda,stringy,7.73627447672
aaup,random,lambda,monotonic,78.4196334501
aaup,random,lambda,skewed,34.2160278733
aaup,random,lambda,clumpy,0.551946995285
aaup,random,lambda,sparse,0.050562262092
aaup,random,lambda,convex,11.0453918922
aaup,random,lambda,striated,0.303707031961
aaup,random,lambda,outlying,9.09366617627
aaup,random,lambda,skinny,15.6677750082
aaup,original,lambda,pearson,43.2301011191
aaup,original,lambda,stringy,7.89208312272
aaup,original,lambda,monotonic,50.4498544797
aaup,original,lambda,skewed,34.5957587294
aaup,original,lambda,clumpy,0.612163924222
aaup,original,lambda,sparse,0.0503967085138
aaup,original,lambda,convex,9.1567052504
aaup,original,lambda,striated,0.332964724704
aaup,original,lambda,outlying,10.1520075898
aaup,original,lambda,skinny,16.1131646578
aaup,TSPmeans,lambda,pearson,44.5501780142
aaup,TSPmeans,lambda,stringy,7.21430535818
aaup,TSPmeans,lambda,monotonic,50.6343027712
aaup,TSPmeans,lambda,skewed,33.5579265529
aaup,TSPmeans,lambda,clumpy,0.512426892543
aaup,TSPmeans,lambda,sparse,0.0478897781559
aaup,TSPmeans,lambda,convex,9.37395716284
aaup,TSPmeans,lambda,striated,0.282179832772
aaup,TSPmeans,lambda,outlying,9.60241018895
aaup,TSPmeans,lambda,skinny,16.4002853219
aaup,EM,lambda,pearson,46.3377935141
aaup,EM,lambda,stringy,6.99651019204
aaup,EM,lambda,monotonic,53.4100346367
aaup,EM,lambda,skewed,33.351697556
aaup,EM,lambda,clumpy,0.552398206147
aaup,EM,lambda,sparse,0.0458508304335
aaup,EM,lambda,convex,9.43878363307
aaup,EM,lambda,striated,0.304144793375
aaup,EM,lambda,outlying,9.67311236642
aaup,EM,lambda,skinny,16.1344645224
aaup,EMmanhattan,lambda,pearson,43.9704921707
aaup,EMmanhattan,lambda,stringy,6.97289409241
aaup,EMmanhattan,lambda,monotonic,51.5345477612
aaup,EMmanhattan,lambda,skewed,33.5090114176
aaup,EMmanhattan,lambda,clumpy,0.564011045924
aaup,EMmanhattan,lambda,sparse,0.0464645169906
aaup,EMmanhattan,lambda,convex,9.73016513947
aaup,EMmanhattan,lambda,striated,0.293651854957
aaup,EMmanhattan,lambda,outlying,9.20839391565
aaup,EMmanhattan,lambda,skinny,15.4877715098
aaup,HColo,lambda,pearson,46.6291626262
aaup,HColo,lambda,stringy,7.4984653242
aaup,HColo,lambda,monotonic,53.9153176785
aaup,HColo,lambda,skewed,33.2855450945
aaup,HColo,lambda,clumpy,0.562093527556
aaup,HColo,lambda,sparse,0.0457225325546
aaup,HColo,lambda,convex,9.62374364188
aaup,HColo,lambda,striated,0.3059371242
aaup,HColo,lambda,outlying,9.72622443749
aaup,HColo,lambda,skinny,16.0607749848
aaup,LK,lambda,pearson,46.6291626262
aaup,LK,lambda,stringy,7.4984653242
aaup,LK,lambda,monotonic,53.9153176785
aaup,LK,lambda,skewed,33.2855450945
aaup,LK,lambda,clumpy,0.562093527556
aaup,LK,lambda,sparse,0.0457225325546
aaup,LK,lambda,convex,9.62374364188
aaup,LK,lambda,striated,0.3059371242
aaup,LK,lambda,outlying,9.72622443749
aaup,LK,lambda,skinny,16.0607749848
aaup,MDS,lambda,pearson,48.3682701345
aaup,MDS,lambda,stringy,7.57061078188
aaup,MDS,lambda,monotonic,64.4672486305
aaup,MDS,lambda,skewed,34.3631567375
aaup,MDS,lambda,clumpy,0.592593026645
aaup,MDS,lambda,sparse,0.0498076923607
aaup,MDS,lambda,convex,10.3466343153
aaup,MDS,lambda,striated,0.304664108205
aaup,MDS,lambda,outlying,9.38329430841
aaup,MDS,lambda,skinny,15.7325718121
