dataset,ordering,metric,parameter,value
abalone,TSNE,lambda,pearson,22.4629108718
abalone,TSNE,lambda,stringy,3.72929905082
abalone,TSNE,lambda,monotonic,20.4166063016
abalone,TSNE,lambda,skewed,15.0078905913
abalone,TSNE,lambda,clumpy,0.0230507234974
abalone,TSNE,lambda,sparse,0.0111561749771
abalone,TSNE,lambda,convex,4.23312270051
abalone,TSNE,lambda,striated,0.0743487811392
abalone,TSNE,lambda,outlying,1.52940182647
abalone,TSNE,lambda,skinny,10.3892184595
abalone,random,lambda,pearson,22.5681762596
abalone,random,lambda,stringy,3.96372685729
abalone,random,lambda,monotonic,20.3202171038
abalone,random,lambda,skewed,15.1233262547
abalone,random,lambda,clumpy,0.0234608998487
abalone,random,lambda,sparse,0.0111106096959
abalone,random,lambda,convex,4.56186189094
abalone,random,lambda,striated,0.0840376531741
abalone,random,lambda,outlying,1.47881119115
abalone,random,lambda,skinny,9.95566466842
abalone,original,lambda,pearson,22.8554425986
abalone,original,lambda,stringy,3.72986368508
abalone,original,lambda,monotonic,20.3631996712
abalone,original,lambda,skewed,14.8807795287
abalone,original,lambda,clumpy,0.0206449936377
abalone,original,lambda,sparse,0.0111929512999
abalone,original,lambda,convex,4.57662565423
abalone,original,lambda,striated,0.0582128697784
abalone,original,lambda,outlying,1.63679065646
abalone,original,lambda,skinny,10.1130062821
abalone,TSPmeans,lambda,pearson,22.8105421349
abalone,TSPmeans,lambda,stringy,3.8332400844
abalone,TSPmeans,lambda,monotonic,20.7390691012
abalone,TSPmeans,lambda,skewed,15.1483785082
abalone,TSPmeans,lambda,clumpy,0.0239761981462
abalone,TSPmeans,lambda,sparse,0.0111159302734
abalone,TSPmeans,lambda,convex,4.098474367
abalone,TSPmeans,lambda,striated,0.0666496104806
abalone,TSPmeans,lambda,outlying,1.56327396649
abalone,TSPmeans,lambda,skinny,10.0507873616
abalone,EM,lambda,pearson,22.9331819616
abalone,EM,lambda,stringy,4.06196903559
abalone,EM,lambda,monotonic,20.7707296529
abalone,EM,lambda,skewed,15.0174372122
abalone,EM,lambda,clumpy,0.0225947384299
abalone,EM,lambda,sparse,0.0107938300014
abalone,EM,lambda,convex,4.23334517825
abalone,EM,lambda,striated,0.0750645478803
abalone,EM,lambda,outlying,1.52447298915
abalone,EM,lambda,skinny,9.98201252899
abalone,EMmanhattan,lambda,pearson,21.8465928279
abalone,EMmanhattan,lambda,stringy,3.30186329665
abalone,EMmanhattan,lambda,monotonic,19.9019197933
abalone,EMmanhattan,lambda,skewed,15.0702393457
abalone,EMmanhattan,lambda,clumpy,0.0189346821022
abalone,EMmanhattan,lambda,sparse,0.0114388672052
abalone,EMmanhattan,lambda,convex,4.45351685076
abalone,EMmanhattan,lambda,striated,0.0679832506386
abalone,EMmanhattan,lambda,outlying,1.65409107995
abalone,EMmanhattan,lambda,skinny,9.78492583469
abalone,HColo,lambda,pearson,21.8869216767
abalone,HColo,lambda,stringy,3.54192049845
abalone,HColo,lambda,monotonic,19.5119431963
abalone,HColo,lambda,skewed,15.2024848895
abalone,HColo,lambda,clumpy,0.0231040654432
abalone,HColo,lambda,sparse,0.0115653139916
abalone,HColo,lambda,convex,4.34835901943
abalone,HColo,lambda,striated,0.0660356573788
abalone,HColo,lambda,outlying,1.60319511145
abalone,HColo,lambda,skinny,9.95833504641
abalone,LK,lambda,pearson,22.4557711691
abalone,LK,lambda,stringy,3.64303646255
abalone,LK,lambda,monotonic,19.7574033389
abalone,LK,lambda,skewed,15.0011633222
abalone,LK,lambda,clumpy,0.0218838499259
abalone,LK,lambda,sparse,0.0115150596713
abalone,LK,lambda,convex,5.04119351711
abalone,LK,lambda,striated,0.0647957717082
abalone,LK,lambda,outlying,1.6071289163
abalone,LK,lambda,skinny,9.72387033522
abalone,MDS,lambda,pearson,22.9242289955
abalone,MDS,lambda,stringy,3.9714549373
abalone,MDS,lambda,monotonic,20.7717021019
abalone,MDS,lambda,skewed,14.6257709148
abalone,MDS,lambda,clumpy,0.0221427977648
abalone,MDS,lambda,sparse,0.010606625598
abalone,MDS,lambda,convex,4.08954568882
abalone,MDS,lambda,striated,0.0653853929799
abalone,MDS,lambda,outlying,1.46176870169
abalone,MDS,lambda,skinny,10.1863707731
