dataset,ordering,metric,parameter,value
auto,TSNE,lambda,pearson,3065.35106903
auto,TSNE,lambda,stringy,2288.57412337
auto,TSNE,lambda,monotonic,3696.60949792
auto,TSNE,lambda,skewed,4700.96828059
auto,TSNE,lambda,clumpy,2013.11077523
auto,TSNE,lambda,sparse,5727.94545047
auto,TSNE,lambda,convex,824.915404512
auto,TSNE,lambda,striated,5334.81798252
auto,TSNE,lambda,outlying,2310.4183153
auto,TSNE,lambda,skinny,1886.08295075
auto,random,lambda,pearson,3179.38412655
auto,random,lambda,stringy,2383.27749724
auto,random,lambda,monotonic,3788.9961603
auto,random,lambda,skewed,4850.76164894
auto,random,lambda,clumpy,2049.85990468
auto,random,lambda,sparse,6021.68765396
auto,random,lambda,convex,822.203255987
auto,random,lambda,striated,5496.66633469
auto,random,lambda,outlying,2316.73737072
auto,random,lambda,skinny,1946.7828686
auto,original,lambda,pearson,2876.18151493
auto,original,lambda,stringy,1567.42516146
auto,original,lambda,monotonic,2767.25583357
auto,original,lambda,skewed,1779.02924994
auto,original,lambda,clumpy,1349.53201031
auto,original,lambda,sparse,2392.16644569
auto,original,lambda,convex,310.255317424
auto,original,lambda,striated,1820.75549138
auto,original,lambda,outlying,1542.07947591
auto,original,lambda,skinny,1105.71533598
auto,TSPmeans,lambda,pearson,2601.10699667
auto,TSPmeans,lambda,stringy,1376.02489396
auto,TSPmeans,lambda,monotonic,1186.42920248
auto,TSPmeans,lambda,skewed,1169.88212235
auto,TSPmeans,lambda,clumpy,708.362197836
auto,TSPmeans,lambda,sparse,2119.39654549
auto,TSPmeans,lambda,convex,312.438334593
auto,TSPmeans,lambda,striated,1391.83633893
auto,TSPmeans,lambda,outlying,1242.24901861
auto,TSPmeans,lambda,skinny,1104.07957355
auto,EM,lambda,pearson,2554.45846611
auto,EM,lambda,stringy,1376.12020143
auto,EM,lambda,monotonic,1266.06813726
auto,EM,lambda,skewed,1187.25146381
auto,EM,lambda,clumpy,676.476323321
auto,EM,lambda,sparse,2032.33825177
auto,EM,lambda,convex,267.724071964
auto,EM,lambda,striated,1374.65173256
auto,EM,lambda,outlying,1331.79368667
auto,EM,lambda,skinny,1100.48316216
auto,EMmanhattan,lambda,pearson,2824.02419425
auto,EMmanhattan,lambda,stringy,1382.48652015
auto,EMmanhattan,lambda,monotonic,1278.60446556
auto,EMmanhattan,lambda,skewed,1198.61108468
auto,EMmanhattan,lambda,clumpy,680.448480487
auto,EMmanhattan,lambda,sparse,2040.88787008
auto,EMmanhattan,lambda,convex,280.807939225
auto,EMmanhattan,lambda,striated,1391.68803774
auto,EMmanhattan,lambda,outlying,1377.59826621
auto,EMmanhattan,lambda,skinny,1097.29317599
auto,HColo,lambda,pearson,2433.47087008
auto,HColo,lambda,stringy,1348.24566687
auto,HColo,lambda,monotonic,1125.84106907
auto,HColo,lambda,skewed,1189.00674607
auto,HColo,lambda,clumpy,648.121420262
auto,HColo,lambda,sparse,2114.88153995
auto,HColo,lambda,convex,304.725969628
auto,HColo,lambda,striated,1373.87312378
auto,HColo,lambda,outlying,1226.16314133
auto,HColo,lambda,skinny,1114.40096225
auto,LK,lambda,pearson,2562.89027505
auto,LK,lambda,stringy,1393.25190301
auto,LK,lambda,monotonic,1295.90790169
auto,LK,lambda,skewed,1190.11782773
auto,LK,lambda,clumpy,693.955385579
auto,LK,lambda,sparse,2138.70763376
auto,LK,lambda,convex,306.705329183
auto,LK,lambda,striated,1414.70990887
auto,LK,lambda,outlying,1318.73257708
auto,LK,lambda,skinny,1108.81854928
auto,MDS,lambda,pearson,2922.11621848
auto,MDS,lambda,stringy,1450.57243007
auto,MDS,lambda,monotonic,1262.86348185
auto,MDS,lambda,skewed,1587.48443131
auto,MDS,lambda,clumpy,807.972521431
auto,MDS,lambda,sparse,2129.46898137
auto,MDS,lambda,convex,324.959268161
auto,MDS,lambda,striated,1586.93517723
auto,MDS,lambda,outlying,1497.56127334
auto,MDS,lambda,skinny,1110.7591791
