dataset,ordering,metric,parameter,value
bike,TSNE,lambda,pearson,36.8442162452
bike,TSNE,lambda,stringy,89.074674134
bike,TSNE,lambda,monotonic,21.3262161149
bike,TSNE,lambda,skewed,38.2993912727
bike,TSNE,lambda,clumpy,45.941994508
bike,TSNE,lambda,sparse,29.5374383298
bike,TSNE,lambda,convex,42.9194212275
bike,TSNE,lambda,striated,137.243795088
bike,TSNE,lambda,outlying,4.33848836566
bike,TSNE,lambda,skinny,83.5669861247
bike,random,lambda,pearson,47.0194809164
bike,random,lambda,stringy,88.1756070903
bike,random,lambda,monotonic,24.4836217086
bike,random,lambda,skewed,46.8462982197
bike,random,lambda,clumpy,67.9827325171
bike,random,lambda,sparse,34.5964648826
bike,random,lambda,convex,41.7699934139
bike,random,lambda,striated,141.150846227
bike,random,lambda,outlying,4.12712534887
bike,random,lambda,skinny,82.7508187731
bike,original,lambda,pearson,38.7523649023
bike,original,lambda,stringy,53.7461701364
bike,original,lambda,monotonic,22.2219391169
bike,original,lambda,skewed,49.4775422602
bike,original,lambda,clumpy,43.5961625589
bike,original,lambda,sparse,23.4423991525
bike,original,lambda,convex,26.0920118141
bike,original,lambda,striated,57.946779285
bike,original,lambda,outlying,4.25565043056
bike,original,lambda,skinny,69.1393100827
bike,TSPmeans,lambda,pearson,36.1299306713
bike,TSPmeans,lambda,stringy,56.3070061036
bike,TSPmeans,lambda,monotonic,21.7048864855
bike,TSPmeans,lambda,skewed,40.7422058638
bike,TSPmeans,lambda,clumpy,45.2647672269
bike,TSPmeans,lambda,sparse,18.6733056823
bike,TSPmeans,lambda,convex,24.2849108413
bike,TSPmeans,lambda,striated,57.7675964838
bike,TSPmeans,lambda,outlying,4.32796129801
bike,TSPmeans,lambda,skinny,72.1187774452
bike,EM,lambda,pearson,35.7004721272
bike,EM,lambda,stringy,53.7630723994
bike,EM,lambda,monotonic,21.5830676037
bike,EM,lambda,skewed,39.7723289183
bike,EM,lambda,clumpy,48.3538071946
bike,EM,lambda,sparse,19.3135953532
bike,EM,lambda,convex,23.6905254692
bike,EM,lambda,striated,60.7652155
bike,EM,lambda,outlying,4.28011899631
bike,EM,lambda,skinny,67.6478492372
bike,EMmanhattan,lambda,pearson,35.7004721272
bike,EMmanhattan,lambda,stringy,53.7630723994
bike,EMmanhattan,lambda,monotonic,21.5830676037
bike,EMmanhattan,lambda,skewed,39.7723289183
bike,EMmanhattan,lambda,clumpy,48.3538071946
bike,EMmanhattan,lambda,sparse,19.3135953532
bike,EMmanhattan,lambda,convex,23.6905254692
bike,EMmanhattan,lambda,striated,60.7652155
bike,EMmanhattan,lambda,outlying,4.28011899631
bike,EMmanhattan,lambda,skinny,67.6478492372
