dataset,ordering,metric,parameter,value
cars,TSNE,lambda,pearson,70.9405707521
cars,TSNE,lambda,stringy,15.6192672127
cars,TSNE,lambda,monotonic,16.3897107576
cars,TSNE,lambda,skewed,17.3808268859
cars,TSNE,lambda,clumpy,2.9085549382
cars,TSNE,lambda,sparse,1.62441451937
cars,TSNE,lambda,convex,9.15901653136
cars,TSNE,lambda,striated,16.6870354325
cars,TSNE,lambda,outlying,2.86035051786
cars,TSNE,lambda,skinny,16.4891711502
cars,random,lambda,pearson,93.2059907403
cars,random,lambda,stringy,11.2487927801
cars,random,lambda,monotonic,17.0564208463
cars,random,lambda,skewed,16.5923920512
cars,random,lambda,clumpy,3.04885174326
cars,random,lambda,sparse,1.57331149267
cars,random,lambda,convex,9.53887026465
cars,random,lambda,striated,11.271064176
cars,random,lambda,outlying,2.98962128771
cars,random,lambda,skinny,19.7848279587
cars,original,lambda,pearson,44.7694104881
cars,original,lambda,stringy,20.4985953308
cars,original,lambda,monotonic,14.0033940009
cars,original,lambda,skewed,19.1384727829
cars,original,lambda,clumpy,5.28948338982
cars,original,lambda,sparse,1.30488197351
cars,original,lambda,convex,11.3424372721
cars,original,lambda,striated,22.6675567707
cars,original,lambda,outlying,3.19769552981
cars,original,lambda,skinny,21.5342651938
cars,TSPmeans,lambda,pearson,66.8236966671
cars,TSPmeans,lambda,stringy,15.4658797632
cars,TSPmeans,lambda,monotonic,18.3513682729
cars,TSPmeans,lambda,skewed,15.9685922686
cars,TSPmeans,lambda,clumpy,3.10350713974
cars,TSPmeans,lambda,sparse,1.62807455811
cars,TSPmeans,lambda,convex,9.30872004977
cars,TSPmeans,lambda,striated,16.8391774075
cars,TSPmeans,lambda,outlying,2.67563100621
cars,TSPmeans,lambda,skinny,17.7169164938
cars,EM,lambda,pearson,40.9256384215
cars,EM,lambda,stringy,15.7031698864
cars,EM,lambda,monotonic,16.7085503517
cars,EM,lambda,skewed,17.1859666567
cars,EM,lambda,clumpy,2.87937421138
cars,EM,lambda,sparse,1.63178020828
cars,EM,lambda,convex,8.90766288983
cars,EM,lambda,striated,16.5350354299
cars,EM,lambda,outlying,2.74182999849
cars,EM,lambda,skinny,16.1866634268
cars,EMmanhattan,lambda,pearson,69.565471959
cars,EMmanhattan,lambda,stringy,12.0643494962
cars,EMmanhattan,lambda,monotonic,15.5300957174
cars,EMmanhattan,lambda,skewed,15.7423588682
cars,EMmanhattan,lambda,clumpy,2.97232823647
cars,EMmanhattan,lambda,sparse,1.47812176402
cars,EMmanhattan,lambda,convex,9.11747363001
cars,EMmanhattan,lambda,striated,11.4830852599
cars,EMmanhattan,lambda,outlying,2.57037831543
cars,EMmanhattan,lambda,skinny,19.8593037289
cars,HColo,lambda,pearson,66.8236966671
cars,HColo,lambda,stringy,15.4658797632
cars,HColo,lambda,monotonic,18.3513682729
cars,HColo,lambda,skewed,15.9685922686
cars,HColo,lambda,clumpy,3.10350713974
cars,HColo,lambda,sparse,1.62807455811
cars,HColo,lambda,convex,9.30872004977
cars,HColo,lambda,striated,16.8391774075
cars,HColo,lambda,outlying,2.67563100621
cars,HColo,lambda,skinny,17.7169164938
cars,LK,lambda,pearson,66.8236966671
cars,LK,lambda,stringy,15.4658797632
cars,LK,lambda,monotonic,18.3513682729
cars,LK,lambda,skewed,15.9685922686
cars,LK,lambda,clumpy,3.10350713974
cars,LK,lambda,sparse,1.62807455811
cars,LK,lambda,convex,9.30872004977
cars,LK,lambda,striated,16.8391774075
cars,LK,lambda,outlying,2.67563100621
cars,LK,lambda,skinny,17.7169164938
cars,MDS,lambda,pearson,66.8236966671
cars,MDS,lambda,stringy,15.4658797632
cars,MDS,lambda,monotonic,18.3513682729
cars,MDS,lambda,skewed,15.9685922686
cars,MDS,lambda,clumpy,3.10350713974
cars,MDS,lambda,sparse,1.62807455811
cars,MDS,lambda,convex,9.30872004977
cars,MDS,lambda,striated,16.8391774075
cars,MDS,lambda,outlying,2.67563100621
cars,MDS,lambda,skinny,17.7169164938
