dataset,ordering,metric,parameter,value
community,TSNE,lambda,pearson,61129.2648018
community,TSNE,lambda,stringy,6590.63990644
community,TSNE,lambda,monotonic,18465.9789612
community,TSNE,lambda,skewed,5450.69388277
community,TSNE,lambda,clumpy,5166.33000106
community,TSNE,lambda,sparse,35.8109002296
community,TSNE,lambda,convex,7107.09300702
community,TSNE,lambda,striated,12214.6604007
community,TSNE,lambda,outlying,8468.83590544
community,TSNE,lambda,skinny,5749.44899908
community,random,lambda,pearson,62122.6882478
community,random,lambda,stringy,5696.09968046
community,random,lambda,monotonic,18708.9871147
community,random,lambda,skewed,5384.92687
community,random,lambda,clumpy,4873.88494099
community,random,lambda,sparse,35.2217128335
community,random,lambda,convex,7435.99794841
community,random,lambda,striated,9996.23420568
community,random,lambda,outlying,8294.53247806
community,random,lambda,skinny,5585.48125456
community,original,lambda,pearson,55941.0386165
community,original,lambda,stringy,6253.59674711
community,original,lambda,monotonic,14519.6738861
community,original,lambda,skewed,5133.45077097
community,original,lambda,clumpy,5156.275154
community,original,lambda,sparse,31.3004997883
community,original,lambda,convex,6338.66403431
community,original,lambda,striated,11536.2828369
community,original,lambda,outlying,7702.64903177
community,original,lambda,skinny,5478.99258912
community,TSPmeans,lambda,pearson,24096.3284431
community,TSPmeans,lambda,stringy,6208.34863358
community,TSPmeans,lambda,monotonic,11204.3475544
community,TSPmeans,lambda,skewed,4448.16693081
community,TSPmeans,lambda,clumpy,5140.51597053
community,TSPmeans,lambda,sparse,22.6184539063
community,TSPmeans,lambda,convex,4621.68586377
community,TSPmeans,lambda,striated,11466.2977948
community,TSPmeans,lambda,outlying,3841.33294553
community,TSPmeans,lambda,skinny,4914.06247433
community,EM,lambda,pearson,24322.6878294
community,EM,lambda,stringy,6214.63739345
community,EM,lambda,monotonic,11621.4040182
community,EM,lambda,skewed,4462.42546539
community,EM,lambda,clumpy,5136.12385675
community,EM,lambda,sparse,22.9342786731
community,EM,lambda,convex,4544.60324494
community,EM,lambda,striated,11465.5726741
community,EM,lambda,outlying,3870.70361641
community,EM,lambda,skinny,4901.88447763
community,EMmanhattan,lambda,pearson,27188.8921348
community,EMmanhattan,lambda,stringy,5717.88606592
community,EMmanhattan,lambda,monotonic,11660.9654426
community,EMmanhattan,lambda,skewed,4404.4304444
community,EMmanhattan,lambda,clumpy,4992.74798991
community,EMmanhattan,lambda,sparse,19.1694723343
community,EMmanhattan,lambda,convex,4018.91381554
community,EMmanhattan,lambda,striated,10537.5676645
community,EMmanhattan,lambda,outlying,4031.98789057
community,EMmanhattan,lambda,skinny,4882.91866561
community,HColo,lambda,pearson,24001.5038337
community,HColo,lambda,stringy,5846.46025004
community,HColo,lambda,monotonic,10413.0918927
community,HColo,lambda,skewed,4375.72099763
community,HColo,lambda,clumpy,5017.76839892
community,HColo,lambda,sparse,20.2212349254
community,HColo,lambda,convex,3988.99254606
community,HColo,lambda,striated,10655.8074089
community,HColo,lambda,outlying,3674.25887762
community,HColo,lambda,skinny,4799.53288568
community,LK,lambda,pearson,24814.6688519
community,LK,lambda,stringy,6136.153444
community,LK,lambda,monotonic,10479.2586644
community,LK,lambda,skewed,4387.7601425
community,LK,lambda,clumpy,5097.62993586
community,LK,lambda,sparse,22.0683174478
community,LK,lambda,convex,4194.41780533
community,LK,lambda,striated,11300.3820939
community,LK,lambda,outlying,3729.95328424
community,LK,lambda,skinny,4740.31954967
community,MDS,lambda,pearson,44961.7055442
community,MDS,lambda,stringy,6034.94643403
community,MDS,lambda,monotonic,15682.9325698
community,MDS,lambda,skewed,4550.06627646
community,MDS,lambda,clumpy,5077.42313422
community,MDS,lambda,sparse,22.5010706833
community,MDS,lambda,convex,4524.9757544
community,MDS,lambda,striated,11050.7595088
community,MDS,lambda,outlying,4282.55900316
community,MDS,lambda,skinny,4882.90234304
