dataset,ordering,metric,parameter,value
income,TSNE,lambda,pearson,2196.91088937
income,TSNE,lambda,stringy,2756.51569244
income,TSNE,lambda,monotonic,2404.39383104
income,TSNE,lambda,skewed,2326.17030959
income,TSNE,lambda,clumpy,1898.58092717
income,TSNE,lambda,sparse,2734.19988854
income,TSNE,lambda,convex,350.66144311
income,TSNE,lambda,striated,2743.70337057
income,TSNE,lambda,outlying,2883.19873952
income,TSNE,lambda,skinny,2732.03367507
income,random,lambda,pearson,2172.90867799
income,random,lambda,stringy,2704.40954115
income,random,lambda,monotonic,2149.01600491
income,random,lambda,skewed,2087.22732479
income,random,lambda,clumpy,1801.04869937
income,random,lambda,sparse,2435.35298843
income,random,lambda,convex,328.847444796
income,random,lambda,striated,2605.37623489
income,random,lambda,outlying,2858.22003978
income,random,lambda,skinny,2532.53513285
income,original,lambda,pearson,1878.16643884
income,original,lambda,stringy,2671.59990701
income,original,lambda,monotonic,2060.01674188
income,original,lambda,skewed,2207.90721341
income,original,lambda,clumpy,1728.70934282
income,original,lambda,sparse,2553.63816078
income,original,lambda,convex,341.106039822
income,original,lambda,striated,2722.31539664
income,original,lambda,outlying,2827.41870255
income,original,lambda,skinny,2477.2122407
income,TSPmeans,lambda,pearson,1463.8081601
income,TSPmeans,lambda,stringy,2340.07810218
income,TSPmeans,lambda,monotonic,1353.30587473
income,TSPmeans,lambda,skewed,1994.00611182
income,TSPmeans,lambda,clumpy,1326.11186009
income,TSPmeans,lambda,sparse,1584.16106289
income,TSPmeans,lambda,convex,277.583279582
income,TSPmeans,lambda,striated,1543.49873578
income,TSPmeans,lambda,outlying,2475.10033946
income,TSPmeans,lambda,skinny,2156.84820793
income,EM,lambda,pearson,1384.13733011
income,EM,lambda,stringy,2374.39523274
income,EM,lambda,monotonic,1374.65971004
income,EM,lambda,skewed,2028.30061565
income,EM,lambda,clumpy,1403.21642333
income,EM,lambda,sparse,1501.30658627
income,EM,lambda,convex,298.783256293
income,EM,lambda,striated,1583.64392681
income,EM,lambda,outlying,2513.32723496
income,EM,lambda,skinny,2167.59478417
income,EMmanhattan,lambda,pearson,1457.74953985
income,EMmanhattan,lambda,stringy,2469.58777369
income,EMmanhattan,lambda,monotonic,1513.99751506
income,EMmanhattan,lambda,skewed,2018.65266919
income,EMmanhattan,lambda,clumpy,1482.40383702
income,EMmanhattan,lambda,sparse,1492.63707865
income,EMmanhattan,lambda,convex,285.100325056
income,EMmanhattan,lambda,striated,1672.58539568
income,EMmanhattan,lambda,outlying,2564.61046937
income,EMmanhattan,lambda,skinny,2120.4764648
income,HColo,lambda,pearson,1593.21426313
income,HColo,lambda,stringy,2400.74038121
income,HColo,lambda,monotonic,1528.56051039
income,HColo,lambda,skewed,2061.18820334
income,HColo,lambda,clumpy,1498.56989977
income,HColo,lambda,sparse,1559.63050065
income,HColo,lambda,convex,285.216434964
income,HColo,lambda,striated,1542.23908802
income,HColo,lambda,outlying,2545.15581042
income,HColo,lambda,skinny,2089.40478753
income,LK,lambda,pearson,1397.63475864
income,LK,lambda,stringy,2436.77391517
income,LK,lambda,monotonic,1564.49489844
income,LK,lambda,skewed,2009.97832461
income,LK,lambda,clumpy,1392.76786906
income,LK,lambda,sparse,1635.26456867
income,LK,lambda,convex,285.122993426
income,LK,lambda,striated,1731.86247393
income,LK,lambda,outlying,2585.37539103
income,LK,lambda,skinny,2165.41057215
income,MDS,lambda,pearson,1715.14101184
income,MDS,lambda,stringy,2486.31783735
income,MDS,lambda,monotonic,1806.30210704
income,MDS,lambda,skewed,2154.44744345
income,MDS,lambda,clumpy,1521.54526617
income,MDS,lambda,sparse,1900.36996623
income,MDS,lambda,convex,326.616145501
income,MDS,lambda,striated,1893.28372494
income,MDS,lambda,outlying,2535.84760364
income,MDS,lambda,skinny,2092.88344042
