dataset,ordering,metric,parameter,value
magic,TSNE,lambda,pearson,73.9076795404
magic,TSNE,lambda,stringy,5.43476526487
magic,TSNE,lambda,monotonic,21.7837595319
magic,TSNE,lambda,skewed,18.7685861478
magic,TSNE,lambda,clumpy,0.0872304550183
magic,TSNE,lambda,sparse,0.0201380687908
magic,TSNE,lambda,convex,10.4878460252
magic,TSNE,lambda,striated,0.0570238345239
magic,TSNE,lambda,outlying,1.573742232
magic,TSNE,lambda,skinny,14.571219068
magic,random,lambda,pearson,65.6031768245
magic,random,lambda,stringy,5.15215354504
magic,random,lambda,monotonic,21.6114765928
magic,random,lambda,skewed,18.0828357978
magic,random,lambda,clumpy,0.0764495129977
magic,random,lambda,sparse,0.0225110922904
magic,random,lambda,convex,11.0127766428
magic,random,lambda,striated,0.0595741664602
magic,random,lambda,outlying,1.78557974852
magic,random,lambda,skinny,14.3941745087
magic,original,lambda,pearson,36.5865509059
magic,original,lambda,stringy,5.13205812757
magic,original,lambda,monotonic,14.8861640572
magic,original,lambda,skewed,18.0524650402
magic,original,lambda,clumpy,0.0842681852056
magic,original,lambda,sparse,0.0177797413362
magic,original,lambda,convex,9.23204916279
magic,original,lambda,striated,0.0514810041649
magic,original,lambda,outlying,1.48975538349
magic,original,lambda,skinny,14.8259555259
magic,TSPmeans,lambda,pearson,48.9578276991
magic,TSPmeans,lambda,stringy,5.28506107185
magic,TSPmeans,lambda,monotonic,20.4235180651
magic,TSPmeans,lambda,skewed,17.5858331417
magic,TSPmeans,lambda,clumpy,0.0896439658079
magic,TSPmeans,lambda,sparse,0.0190244112264
magic,TSPmeans,lambda,convex,10.0352493199
magic,TSPmeans,lambda,striated,0.0496270294592
magic,TSPmeans,lambda,outlying,1.49609901811
magic,TSPmeans,lambda,skinny,14.8617386702
magic,EM,lambda,pearson,48.0412507096
magic,EM,lambda,stringy,5.14055923189
magic,EM,lambda,monotonic,18.9984272154
magic,EM,lambda,skewed,17.7386754258
magic,EM,lambda,clumpy,0.0935729110246
magic,EM,lambda,sparse,0.0184323288354
magic,EM,lambda,convex,9.89307674974
magic,EM,lambda,striated,0.0488701370954
magic,EM,lambda,outlying,1.59206977358
magic,EM,lambda,skinny,14.9570887082
magic,EMmanhattan,lambda,pearson,57.2550507277
magic,EMmanhattan,lambda,stringy,5.13381926094
magic,EMmanhattan,lambda,monotonic,23.550601474
magic,EMmanhattan,lambda,skewed,18.2796166992
magic,EMmanhattan,lambda,clumpy,0.0935607898236
magic,EMmanhattan,lambda,sparse,0.0187661026706
magic,EMmanhattan,lambda,convex,9.93827414797
magic,EMmanhattan,lambda,striated,0.0445935132227
magic,EMmanhattan,lambda,outlying,1.69289928615
magic,EMmanhattan,lambda,skinny,14.4133654577
