dataset,ordering,metric,parameter,value
noisy_wave,TSNE,lambda,pearson,1494.23653895
noisy_wave,TSNE,lambda,stringy,143.742985008
noisy_wave,TSNE,lambda,monotonic,401.193112835
noisy_wave,TSNE,lambda,skewed,398.959436827
noisy_wave,TSNE,lambda,clumpy,0.10659733824
noisy_wave,TSNE,lambda,sparse,0.547159297752
noisy_wave,TSNE,lambda,convex,308.081015307
noisy_wave,TSNE,lambda,striated,2.18130989103
noisy_wave,TSNE,lambda,outlying,23.051015393
noisy_wave,TSNE,lambda,skinny,257.457331063
noisy_wave,random,lambda,pearson,1397.41379118
noisy_wave,random,lambda,stringy,143.277010909
noisy_wave,random,lambda,monotonic,376.867366832
noisy_wave,random,lambda,skewed,401.969149153
noisy_wave,random,lambda,clumpy,0.10697636121
noisy_wave,random,lambda,sparse,0.550503607471
noisy_wave,random,lambda,convex,305.672250606
noisy_wave,random,lambda,striated,2.12423113154
noisy_wave,random,lambda,outlying,22.8687048472
noisy_wave,random,lambda,skinny,258.23869176
noisy_wave,original,lambda,pearson,372.572440863
noisy_wave,original,lambda,stringy,143.363246816
noisy_wave,original,lambda,monotonic,136.320046733
noisy_wave,original,lambda,skewed,396.434093248
noisy_wave,original,lambda,clumpy,0.105780700576
noisy_wave,original,lambda,sparse,0.542771707357
noisy_wave,original,lambda,convex,301.995615971
noisy_wave,original,lambda,striated,2.11453551233
noisy_wave,original,lambda,outlying,20.529410045
noisy_wave,original,lambda,skinny,261.814854042
noisy_wave,TSPmeans,lambda,pearson,385.421087329
noisy_wave,TSPmeans,lambda,stringy,141.624949852
noisy_wave,TSPmeans,lambda,monotonic,143.51753605
noisy_wave,TSPmeans,lambda,skewed,398.837332946
noisy_wave,TSPmeans,lambda,clumpy,0.105082850401
noisy_wave,TSPmeans,lambda,sparse,0.544903240807
noisy_wave,TSPmeans,lambda,convex,303.604793753
noisy_wave,TSPmeans,lambda,striated,2.08287483582
noisy_wave,TSPmeans,lambda,outlying,20.1592967314
noisy_wave,TSPmeans,lambda,skinny,258.908719974
noisy_wave,EM,lambda,pearson,383.416325442
noisy_wave,EM,lambda,stringy,140.852888641
noisy_wave,EM,lambda,monotonic,143.513999572
noisy_wave,EM,lambda,skewed,398.027979375
noisy_wave,EM,lambda,clumpy,0.10384520437
noisy_wave,EM,lambda,sparse,0.543522472799
noisy_wave,EM,lambda,convex,303.712108892
noisy_wave,EM,lambda,striated,2.08585075898
noisy_wave,EM,lambda,outlying,20.4882396606
noisy_wave,EM,lambda,skinny,258.486219868
noisy_wave,EMmanhattan,lambda,pearson,396.171992079
noisy_wave,EMmanhattan,lambda,stringy,142.446918126
noisy_wave,EMmanhattan,lambda,monotonic,151.668100701
noisy_wave,EMmanhattan,lambda,skewed,401.126216845
noisy_wave,EMmanhattan,lambda,clumpy,0.104213058127
noisy_wave,EMmanhattan,lambda,sparse,0.544762989018
noisy_wave,EMmanhattan,lambda,convex,302.000864057
noisy_wave,EMmanhattan,lambda,striated,2.04191124066
noisy_wave,EMmanhattan,lambda,outlying,20.4878078089
noisy_wave,EMmanhattan,lambda,skinny,259.480300839
noisy_wave,HColo,lambda,pearson,371.0562982
noisy_wave,HColo,lambda,stringy,142.560465708
noisy_wave,HColo,lambda,monotonic,136.311649185
noisy_wave,HColo,lambda,skewed,401.68138117
noisy_wave,HColo,lambda,clumpy,0.106773595086
noisy_wave,HColo,lambda,sparse,0.546805169023
noisy_wave,HColo,lambda,convex,303.367464988
noisy_wave,HColo,lambda,striated,2.07763221954
noisy_wave,HColo,lambda,outlying,20.7180589228
noisy_wave,HColo,lambda,skinny,259.817238783
noisy_wave,LK,lambda,pearson,371.107280074
noisy_wave,LK,lambda,stringy,142.681620765
noisy_wave,LK,lambda,monotonic,136.315187333
noisy_wave,LK,lambda,skewed,396.123834531
noisy_wave,LK,lambda,clumpy,0.107381707608
noisy_wave,LK,lambda,sparse,0.542110279383
noisy_wave,LK,lambda,convex,303.7371639
noisy_wave,LK,lambda,striated,2.08321400433
noisy_wave,LK,lambda,outlying,20.5386867757
noisy_wave,LK,lambda,skinny,261.804312656
noisy_wave,MDS,lambda,pearson,857.965321522
noisy_wave,MDS,lambda,stringy,143.546445615
noisy_wave,MDS,lambda,monotonic,212.399261659
noisy_wave,MDS,lambda,skewed,399.021085818
noisy_wave,MDS,lambda,clumpy,0.104952262281
noisy_wave,MDS,lambda,sparse,0.543684185465
noisy_wave,MDS,lambda,convex,305.896036696
noisy_wave,MDS,lambda,striated,2.10843858751
noisy_wave,MDS,lambda,outlying,20.9379049632
noisy_wave,MDS,lambda,skinny,259.385970513
