dataset,ordering,metric,parameter,value
olive,TSNE,lambda,pearson,29.8679146137
olive,TSNE,lambda,stringy,5.48310650927
olive,TSNE,lambda,monotonic,7.57623931144
olive,TSNE,lambda,skewed,17.941415743
olive,TSNE,lambda,clumpy,4.82684734267
olive,TSNE,lambda,sparse,0.0708781807319
olive,TSNE,lambda,convex,6.6093015355
olive,TSNE,lambda,striated,1.06397211317
olive,TSNE,lambda,outlying,1.58786483989
olive,TSNE,lambda,skinny,12.8603910716
olive,random,lambda,pearson,23.3352256142
olive,random,lambda,stringy,5.39097815931
olive,random,lambda,monotonic,8.94908498681
olive,random,lambda,skewed,17.9538243464
olive,random,lambda,clumpy,4.57290045736
olive,random,lambda,sparse,0.0656148249629
olive,random,lambda,convex,7.13335957754
olive,random,lambda,striated,1.12496191348
olive,random,lambda,outlying,1.29728683509
olive,random,lambda,skinny,12.528349855
olive,original,lambda,pearson,25.150229397
olive,original,lambda,stringy,4.7275771318
olive,original,lambda,monotonic,9.60439751727
olive,original,lambda,skewed,18.3195466674
olive,original,lambda,clumpy,5.36930433806
olive,original,lambda,sparse,0.0656232679431
olive,original,lambda,convex,7.74812990148
olive,original,lambda,striated,0.937599769799
olive,original,lambda,outlying,1.69197615439
olive,original,lambda,skinny,10.7740409034
olive,TSPmeans,lambda,pearson,24.588602167
olive,TSPmeans,lambda,stringy,5.16182781591
olive,TSPmeans,lambda,monotonic,8.54006031496
olive,TSPmeans,lambda,skewed,18.052278007
olive,TSPmeans,lambda,clumpy,4.26924454373
olive,TSPmeans,lambda,sparse,0.0699452972855
olive,TSPmeans,lambda,convex,8.0790215557
olive,TSPmeans,lambda,striated,1.10038039994
olive,TSPmeans,lambda,outlying,1.9101622708
olive,TSPmeans,lambda,skinny,10.4444673027
olive,EM,lambda,pearson,27.7821313878
olive,EM,lambda,stringy,5.22691998127
olive,EM,lambda,monotonic,8.3188448387
olive,EM,lambda,skewed,16.8386018847
olive,EM,lambda,clumpy,4.73082802451
olive,EM,lambda,sparse,0.0676403977724
olive,EM,lambda,convex,8.02203235594
olive,EM,lambda,striated,1.12893556371
olive,EM,lambda,outlying,1.71580257754
olive,EM,lambda,skinny,10.4635939879
olive,EMmanhattan,lambda,pearson,31.8075507327
olive,EMmanhattan,lambda,stringy,5.39281465248
olive,EMmanhattan,lambda,monotonic,8.07382764786
olive,EMmanhattan,lambda,skewed,16.7666422872
olive,EMmanhattan,lambda,clumpy,5.41966335665
olive,EMmanhattan,lambda,sparse,0.0684225666848
olive,EMmanhattan,lambda,convex,8.03497646377
olive,EMmanhattan,lambda,striated,1.08467016049
olive,EMmanhattan,lambda,outlying,1.5311597168
olive,EMmanhattan,lambda,skinny,11.6955874414
olive,HColo,lambda,pearson,28.3588541035
olive,HColo,lambda,stringy,5.45078144734
olive,HColo,lambda,monotonic,8.18477385492
olive,HColo,lambda,skewed,17.4635211435
olive,HColo,lambda,clumpy,5.14317043856
olive,HColo,lambda,sparse,0.0691317409818
olive,HColo,lambda,convex,7.17431080724
olive,HColo,lambda,striated,1.17694452593
olive,HColo,lambda,outlying,1.57692651946
olive,HColo,lambda,skinny,12.0860762186
olive,LK,lambda,pearson,26.6697917989
olive,LK,lambda,stringy,4.95656523969
olive,LK,lambda,monotonic,7.71851856508
olive,LK,lambda,skewed,17.1488355551
olive,LK,lambda,clumpy,5.16348710989
olive,LK,lambda,sparse,0.0638152410925
olive,LK,lambda,convex,8.4899554522
olive,LK,lambda,striated,0.98132821833
olive,LK,lambda,outlying,1.75041265042
olive,LK,lambda,skinny,10.7986103427
olive,MDS,lambda,pearson,24.6388468173
olive,MDS,lambda,stringy,4.82578781116
olive,MDS,lambda,monotonic,8.7083246274
olive,MDS,lambda,skewed,17.4504647115
olive,MDS,lambda,clumpy,4.80306012568
olive,MDS,lambda,sparse,0.0657501149882
olive,MDS,lambda,convex,7.77545796977
olive,MDS,lambda,striated,1.01203116702
olive,MDS,lambda,outlying,1.5903186518
olive,MDS,lambda,skinny,10.1417292023
