dataset,ordering,metric,parameter,value
parkinson,TSNE,lambda,pearson,358.77937823
parkinson,TSNE,lambda,stringy,27.1937657427
parkinson,TSNE,lambda,monotonic,118.433490718
parkinson,TSNE,lambda,skewed,61.6924853954
parkinson,TSNE,lambda,clumpy,2.26434492752
parkinson,TSNE,lambda,sparse,0.568520029315
parkinson,TSNE,lambda,convex,58.1792112341
parkinson,TSNE,lambda,striated,15.30699704
parkinson,TSNE,lambda,outlying,52.4510872681
parkinson,TSNE,lambda,skinny,38.4635949047
parkinson,random,lambda,pearson,251.929795915
parkinson,random,lambda,stringy,25.257001039
parkinson,random,lambda,monotonic,117.583425285
parkinson,random,lambda,skewed,60.5026875824
parkinson,random,lambda,clumpy,2.32844320298
parkinson,random,lambda,sparse,0.55409143335
parkinson,random,lambda,convex,55.705680929
parkinson,random,lambda,striated,14.9012572626
parkinson,random,lambda,outlying,50.0851186465
parkinson,random,lambda,skinny,38.7424859963
parkinson,original,lambda,pearson,242.329058683
parkinson,original,lambda,stringy,26.6315371165
parkinson,original,lambda,monotonic,80.5707900154
parkinson,original,lambda,skewed,63.4404139345
parkinson,original,lambda,clumpy,2.30851760368
parkinson,original,lambda,sparse,0.579111150017
parkinson,original,lambda,convex,55.8738247025
parkinson,original,lambda,striated,14.8671513345
parkinson,original,lambda,outlying,42.7001541068
parkinson,original,lambda,skinny,41.9248526235
parkinson,TSPmeans,lambda,pearson,149.238808459
parkinson,TSPmeans,lambda,stringy,26.5188967658
parkinson,TSPmeans,lambda,monotonic,86.9637570849
parkinson,TSPmeans,lambda,skewed,59.4280907539
parkinson,TSPmeans,lambda,clumpy,2.21736484455
parkinson,TSPmeans,lambda,sparse,0.547497888498
parkinson,TSPmeans,lambda,convex,50.5016102404
parkinson,TSPmeans,lambda,striated,15.0069744983
parkinson,TSPmeans,lambda,outlying,39.808449761
parkinson,TSPmeans,lambda,skinny,39.026986788
parkinson,EM,lambda,pearson,148.812265898
parkinson,EM,lambda,stringy,26.5453639602
parkinson,EM,lambda,monotonic,86.7618298562
parkinson,EM,lambda,skewed,58.9845724028
parkinson,EM,lambda,clumpy,2.21560722371
parkinson,EM,lambda,sparse,0.547511573286
parkinson,EM,lambda,convex,49.6326566878
parkinson,EM,lambda,striated,14.9704423689
parkinson,EM,lambda,outlying,39.1813051488
parkinson,EM,lambda,skinny,38.8794137461
parkinson,EMmanhattan,lambda,pearson,182.995151614
parkinson,EMmanhattan,lambda,stringy,26.8580191274
parkinson,EMmanhattan,lambda,monotonic,84.3686187983
parkinson,EMmanhattan,lambda,skewed,59.1209409763
parkinson,EMmanhattan,lambda,clumpy,2.24734845447
parkinson,EMmanhattan,lambda,sparse,0.5113475926
parkinson,EMmanhattan,lambda,convex,50.8472176654
parkinson,EMmanhattan,lambda,striated,14.5434124558
parkinson,EMmanhattan,lambda,outlying,36.9322521194
parkinson,EMmanhattan,lambda,skinny,38.408156061
parkinson,HColo,lambda,pearson,149.238808459
parkinson,HColo,lambda,stringy,26.5188967658
parkinson,HColo,lambda,monotonic,86.9637570849
parkinson,HColo,lambda,skewed,59.4280907539
parkinson,HColo,lambda,clumpy,2.21736484455
parkinson,HColo,lambda,sparse,0.547497888498
parkinson,HColo,lambda,convex,50.5016102404
parkinson,HColo,lambda,striated,15.0069744983
parkinson,HColo,lambda,outlying,39.808449761
parkinson,HColo,lambda,skinny,39.026986788
parkinson,LK,lambda,pearson,149.238808459
parkinson,LK,lambda,stringy,26.5188967658
parkinson,LK,lambda,monotonic,86.9637570849
parkinson,LK,lambda,skewed,59.4280907539
parkinson,LK,lambda,clumpy,2.21736484455
parkinson,LK,lambda,sparse,0.547497888498
parkinson,LK,lambda,convex,50.5016102404
parkinson,LK,lambda,striated,15.0069744983
parkinson,LK,lambda,outlying,39.808449761
parkinson,LK,lambda,skinny,39.026986788
parkinson,MDS,lambda,pearson,174.663251831
parkinson,MDS,lambda,stringy,26.3988194322
parkinson,MDS,lambda,monotonic,98.5836997314
parkinson,MDS,lambda,skewed,58.2900570531
parkinson,MDS,lambda,clumpy,2.27509539413
parkinson,MDS,lambda,sparse,0.513053863829
parkinson,MDS,lambda,convex,49.5523044082
parkinson,MDS,lambda,striated,14.8482012032
parkinson,MDS,lambda,outlying,41.0741397659
parkinson,MDS,lambda,skinny,39.8551128525
