dataset,ordering,metric,parameter,value
subway,TSNE,lambda,pearson,44968.251998
subway,TSNE,lambda,stringy,12196.3793056
subway,TSNE,lambda,monotonic,75718.4416881
subway,TSNE,lambda,skewed,5836.27887296
subway,TSNE,lambda,clumpy,5208.02817923
subway,TSNE,lambda,sparse,439.00904285
subway,TSNE,lambda,convex,23879.2328035
subway,TSNE,lambda,striated,7956.95116092
subway,TSNE,lambda,outlying,11000.1223135
subway,TSNE,lambda,skinny,17318.9000016
subway,random,lambda,pearson,46158.2030177
subway,random,lambda,stringy,12259.5933755
subway,random,lambda,monotonic,77691.8851404
subway,random,lambda,skewed,5871.16566478
subway,random,lambda,clumpy,5273.97080971
subway,random,lambda,sparse,467.186510196
subway,random,lambda,convex,24594.3244204
subway,random,lambda,striated,8145.30266065
subway,random,lambda,outlying,11167.3936998
subway,random,lambda,skinny,17319.0504584
subway,original,lambda,pearson,21270.4664157
subway,original,lambda,stringy,8974.35634743
subway,original,lambda,monotonic,10395.9284658
subway,original,lambda,skewed,5479.76195656
subway,original,lambda,clumpy,3763.13901224
subway,original,lambda,sparse,308.419242913
subway,original,lambda,convex,14081.289384
subway,original,lambda,striated,4378.39241977
subway,original,lambda,outlying,8370.19824508
subway,original,lambda,skinny,9662.22403977
subway,TSPmeans,lambda,pearson,18465.3957466
subway,TSPmeans,lambda,stringy,8945.0563851
subway,TSPmeans,lambda,monotonic,12768.7175095
subway,TSPmeans,lambda,skewed,5514.63470787
subway,TSPmeans,lambda,clumpy,3876.62715498
subway,TSPmeans,lambda,sparse,314.667920624
subway,TSPmeans,lambda,convex,12816.1227342
subway,TSPmeans,lambda,striated,4153.86031236
subway,TSPmeans,lambda,outlying,8661.61180295
subway,TSPmeans,lambda,skinny,9514.82805841
subway,EM,lambda,pearson,18605.0592855
subway,EM,lambda,stringy,9118.72466306
subway,EM,lambda,monotonic,12223.7529472
subway,EM,lambda,skewed,5517.94960693
subway,EM,lambda,clumpy,3860.17154996
subway,EM,lambda,sparse,320.867991777
subway,EM,lambda,convex,14000.9199384
subway,EM,lambda,striated,4414.97121414
subway,EM,lambda,outlying,8787.51194134
subway,EM,lambda,skinny,10293.2062056
subway,EMmanhattan,lambda,pearson,18179.0201845
subway,EMmanhattan,lambda,stringy,9032.55883682
subway,EMmanhattan,lambda,monotonic,12693.8838975
subway,EMmanhattan,lambda,skewed,5505.82270306
subway,EMmanhattan,lambda,clumpy,3909.69886144
subway,EMmanhattan,lambda,sparse,318.903850951
subway,EMmanhattan,lambda,convex,14193.2888188
subway,EMmanhattan,lambda,striated,4233.37163499
subway,EMmanhattan,lambda,outlying,8770.66963604
subway,EMmanhattan,lambda,skinny,10385.3620027
subway,HColo,lambda,pearson,21496.7406814
subway,HColo,lambda,stringy,8988.6994402
subway,HColo,lambda,monotonic,11220.4955012
subway,HColo,lambda,skewed,5493.04885058
subway,HColo,lambda,clumpy,3738.92903972
subway,HColo,lambda,sparse,314.618810343
subway,HColo,lambda,convex,13516.1544315
subway,HColo,lambda,striated,4399.43837083
subway,HColo,lambda,outlying,8596.99679906
subway,HColo,lambda,skinny,9318.44679303
subway,LK,lambda,pearson,48430.25119
subway,LK,lambda,stringy,12532.867004
subway,LK,lambda,monotonic,82621.4557611
subway,LK,lambda,skewed,5854.71594424
subway,LK,lambda,clumpy,5331.79266595
subway,LK,lambda,sparse,476.058138554
subway,LK,lambda,convex,25353.4464257
subway,LK,lambda,striated,8647.40309303
subway,LK,lambda,outlying,11512.0708446
subway,LK,lambda,skinny,17784.8491398
subway,MDS,lambda,pearson,20907.8169113
subway,MDS,lambda,stringy,10164.7347777
subway,MDS,lambda,monotonic,26352.3787069
subway,MDS,lambda,skewed,5640.1869222
subway,MDS,lambda,clumpy,4458.53791403
subway,MDS,lambda,sparse,317.934581746
subway,MDS,lambda,convex,18093.0270735
subway,MDS,lambda,striated,4868.64056553
subway,MDS,lambda,outlying,9309.45243701
subway,MDS,lambda,skinny,11948.1533625
