dataset,ordering,metric,parameter,value
waveform,TSNE,lambda,pearson,262.242890859
waveform,TSNE,lambda,stringy,11.1651840619
waveform,TSNE,lambda,monotonic,34.6944091833
waveform,TSNE,lambda,skewed,32.4407523441
waveform,TSNE,lambda,clumpy,0.00619569798441
waveform,TSNE,lambda,sparse,0.0468063943253
waveform,TSNE,lambda,convex,27.5079952736
waveform,TSNE,lambda,striated,0.1045933482
waveform,TSNE,lambda,outlying,1.4003391022
waveform,TSNE,lambda,skinny,18.6229808412
waveform,random,lambda,pearson,238.234964725
waveform,random,lambda,stringy,11.4874059571
waveform,random,lambda,monotonic,34.0245578297
waveform,random,lambda,skewed,31.8446544574
waveform,random,lambda,clumpy,0.00663762366391
waveform,random,lambda,sparse,0.0459544069132
waveform,random,lambda,convex,26.5870078931
waveform,random,lambda,striated,0.10908615803
waveform,random,lambda,outlying,1.33206421591
waveform,random,lambda,skinny,19.0811657463
waveform,original,lambda,pearson,38.0223511356
waveform,original,lambda,stringy,11.7242103074
waveform,original,lambda,monotonic,16.0569962569
waveform,original,lambda,skewed,33.0644316794
waveform,original,lambda,clumpy,0.00671621497443
waveform,original,lambda,sparse,0.0433460086398
waveform,original,lambda,convex,26.3057540747
waveform,original,lambda,striated,0.10333327361
waveform,original,lambda,outlying,1.28489380753
waveform,original,lambda,skinny,19.5223054005
waveform,TSPmeans,lambda,pearson,38.21382291
waveform,TSPmeans,lambda,stringy,11.7745640837
waveform,TSPmeans,lambda,monotonic,16.056269585
waveform,TSPmeans,lambda,skewed,32.4494290551
waveform,TSPmeans,lambda,clumpy,0.00676464191578
waveform,TSPmeans,lambda,sparse,0.0438028778736
waveform,TSPmeans,lambda,convex,26.4388801094
waveform,TSPmeans,lambda,striated,0.105039941307
waveform,TSPmeans,lambda,outlying,1.26003754857
waveform,TSPmeans,lambda,skinny,19.3273548012
waveform,EM,lambda,pearson,60.2076517864
waveform,EM,lambda,stringy,11.5871041666
waveform,EM,lambda,monotonic,17.125379586
waveform,EM,lambda,skewed,33.1466050503
waveform,EM,lambda,clumpy,0.00676496985935
waveform,EM,lambda,sparse,0.0450188554107
waveform,EM,lambda,convex,26.1694599807
waveform,EM,lambda,striated,0.100564229127
waveform,EM,lambda,outlying,1.31039327968
waveform,EM,lambda,skinny,18.8583455331
waveform,EMmanhattan,lambda,pearson,58.1546876742
waveform,EMmanhattan,lambda,stringy,11.7667993109
waveform,EMmanhattan,lambda,monotonic,16.9172152835
waveform,EMmanhattan,lambda,skewed,33.7321345711
waveform,EMmanhattan,lambda,clumpy,0.00666401982865
waveform,EMmanhattan,lambda,sparse,0.0438389713307
waveform,EMmanhattan,lambda,convex,26.7703140148
waveform,EMmanhattan,lambda,striated,0.105655265046
waveform,EMmanhattan,lambda,outlying,1.33171340271
waveform,EMmanhattan,lambda,skinny,18.8384683993
waveform,HColo,lambda,pearson,38.21382291
waveform,HColo,lambda,stringy,11.7745640837
waveform,HColo,lambda,monotonic,16.056269585
waveform,HColo,lambda,skewed,32.4494290551
waveform,HColo,lambda,clumpy,0.00676464191578
waveform,HColo,lambda,sparse,0.0438028778736
waveform,HColo,lambda,convex,26.4388801094
waveform,HColo,lambda,striated,0.105039941307
waveform,HColo,lambda,outlying,1.26003754857
waveform,HColo,lambda,skinny,19.3273548012
waveform,LK,lambda,pearson,38.21382291
waveform,LK,lambda,stringy,11.7745640837
waveform,LK,lambda,monotonic,16.056269585
waveform,LK,lambda,skewed,32.4494290551
waveform,LK,lambda,clumpy,0.00676464191578
waveform,LK,lambda,sparse,0.0438028778736
waveform,LK,lambda,convex,26.4388801094
waveform,LK,lambda,striated,0.105039941307
waveform,LK,lambda,outlying,1.26003754857
waveform,LK,lambda,skinny,19.3273548012
waveform,MDS,lambda,pearson,177.829840497
waveform,MDS,lambda,stringy,11.0574978057
waveform,MDS,lambda,monotonic,28.05936538
waveform,MDS,lambda,skewed,32.193901495
waveform,MDS,lambda,clumpy,0.00665550775136
waveform,MDS,lambda,sparse,0.0473820946984
waveform,MDS,lambda,convex,27.2173568358
waveform,MDS,lambda,striated,0.100613751182
waveform,MDS,lambda,outlying,1.29960090708
waveform,MDS,lambda,skinny,18.2003516178
