dataset,ordering,metric,parameter,value
wdbc,TSNE,lambda,pearson,282.942722897
wdbc,TSNE,lambda,stringy,24.3410717556
wdbc,TSNE,lambda,monotonic,236.988160001
wdbc,TSNE,lambda,skewed,78.0093281996
wdbc,TSNE,lambda,clumpy,0.452702488376
wdbc,TSNE,lambda,sparse,0.18017124449
wdbc,TSNE,lambda,convex,47.3758895246
wdbc,TSNE,lambda,striated,2.42315573583
wdbc,TSNE,lambda,outlying,33.6395261846
wdbc,TSNE,lambda,skinny,46.8048478799
wdbc,random,lambda,pearson,276.017550431
wdbc,random,lambda,stringy,23.3956931666
wdbc,random,lambda,monotonic,212.510526535
wdbc,random,lambda,skewed,77.4888056113
wdbc,random,lambda,clumpy,0.445165778388
wdbc,random,lambda,sparse,0.180421576538
wdbc,random,lambda,convex,48.1701281141
wdbc,random,lambda,striated,2.45979565732
wdbc,random,lambda,outlying,36.2693952615
wdbc,random,lambda,skinny,47.7369218414
wdbc,original,lambda,pearson,258.05520614
wdbc,original,lambda,stringy,23.351305938
wdbc,original,lambda,monotonic,210.604057888
wdbc,original,lambda,skewed,78.6764124881
wdbc,original,lambda,clumpy,0.454124028364
wdbc,original,lambda,sparse,0.181340738126
wdbc,original,lambda,convex,48.3030671522
wdbc,original,lambda,striated,2.37135131853
wdbc,original,lambda,outlying,31.8248079164
wdbc,original,lambda,skinny,43.7921047043
wdbc,TSPmeans,lambda,pearson,154.134319075
wdbc,TSPmeans,lambda,stringy,22.9519993948
wdbc,TSPmeans,lambda,monotonic,123.418333441
wdbc,TSPmeans,lambda,skewed,79.1744556972
wdbc,TSPmeans,lambda,clumpy,0.413148777208
wdbc,TSPmeans,lambda,sparse,0.166191299441
wdbc,TSPmeans,lambda,convex,45.1726966659
wdbc,TSPmeans,lambda,striated,2.41482601953
wdbc,TSPmeans,lambda,outlying,34.2308422993
wdbc,TSPmeans,lambda,skinny,44.4650102873
wdbc,EM,lambda,pearson,173.655543094
wdbc,EM,lambda,stringy,23.2914206533
wdbc,EM,lambda,monotonic,133.22485132
wdbc,EM,lambda,skewed,79.711237096
wdbc,EM,lambda,clumpy,0.413010720889
wdbc,EM,lambda,sparse,0.169593240933
wdbc,EM,lambda,convex,47.0536453935
wdbc,EM,lambda,striated,2.39728556289
wdbc,EM,lambda,outlying,32.3086618355
wdbc,EM,lambda,skinny,45.6717849418
wdbc,EMmanhattan,lambda,pearson,199.414427241
wdbc,EMmanhattan,lambda,stringy,23.5303217717
wdbc,EMmanhattan,lambda,monotonic,151.304688975
wdbc,EMmanhattan,lambda,skewed,79.5545933183
wdbc,EMmanhattan,lambda,clumpy,0.415406774271
wdbc,EMmanhattan,lambda,sparse,0.166205686463
wdbc,EMmanhattan,lambda,convex,46.4635723032
wdbc,EMmanhattan,lambda,striated,2.42332058201
wdbc,EMmanhattan,lambda,outlying,33.2398400505
wdbc,EMmanhattan,lambda,skinny,44.0003018785
wdbc,HColo,lambda,pearson,193.312869797
wdbc,HColo,lambda,stringy,23.3443986859
wdbc,HColo,lambda,monotonic,145.610642453
wdbc,HColo,lambda,skewed,79.1472802226
wdbc,HColo,lambda,clumpy,0.411875820162
wdbc,HColo,lambda,sparse,0.165665449917
wdbc,HColo,lambda,convex,46.3636083504
wdbc,HColo,lambda,striated,2.41550891511
wdbc,HColo,lambda,outlying,32.7575386276
wdbc,HColo,lambda,skinny,44.5465596211
wdbc,LK,lambda,pearson,154.134319075
wdbc,LK,lambda,stringy,22.9519993948
wdbc,LK,lambda,monotonic,123.418333441
wdbc,LK,lambda,skewed,79.1744556972
wdbc,LK,lambda,clumpy,0.413148777208
wdbc,LK,lambda,sparse,0.166191299441
wdbc,LK,lambda,convex,45.1726966659
wdbc,LK,lambda,striated,2.41482601953
wdbc,LK,lambda,outlying,34.2308422993
wdbc,LK,lambda,skinny,44.4650102873
wdbc,MDS,lambda,pearson,204.406254908
wdbc,MDS,lambda,stringy,23.8893149142
wdbc,MDS,lambda,monotonic,169.737700147
wdbc,MDS,lambda,skewed,77.7423054916
wdbc,MDS,lambda,clumpy,0.416406195053
wdbc,MDS,lambda,sparse,0.169135901675
wdbc,MDS,lambda,convex,44.8419305343
wdbc,MDS,lambda,striated,2.41488576473
wdbc,MDS,lambda,outlying,31.3496374098
wdbc,MDS,lambda,skinny,45.6518655084
